time [sec],V [mV],I [mA]
2 08:49:25.40,3198.081,2.505
2 08:49:25.45,3203.405,-553.529
2 08:49:25.47,3208.908,-1032.476
2 08:49:25.49,3213.767,-1412.091
2 08:49:25.51,3217.3,-1653.929
2 08:49:25.55,3220.811,-1820.726
2 08:49:25.86,3223.861,-1747.828
2 08:49:26.50,3226.923,-1748.666
2 08:49:27.15,3230.011,-1749.181
2 08:49:28.05,3233.02,-1748.552
2 08:49:28.88,3236.056,-1748.47
2 08:49:29.77,3239.065,-1748.743
2 08:49:30.77,3242.136,-1748.498
2 08:49:31.80,3245.15,-1748.955
2 08:49:32.85,3248.176,-1749.094
2 08:49:33.80,3251.23,-1748.309
2 08:49:34.80,3254.288,-1747.907
2 08:49:36.04,3257.323,-1749.549
2 08:49:37.08,3260.328,-1749.262
2 08:49:38.18,3263.353,-1748.987
2 08:49:39.39,3266.361,-1748.687
2 08:49:40.57,3269.384,-1748.592
2 08:49:41.77,3272.407,-1749.604
2 08:49:43.06,3275.443,-1749.135
2 08:49:44.22,3278.465,-1749.833
2 08:49:45.58,3281.504,-1747.459
2 08:49:46.78,3284.557,-1748.305
2 08:49:48.11,3287.633,-1747.461
2 08:49:49.53,3290.64,-1749.798
2 08:49:50.93,3293.692,-1748.939
2 08:49:52.31,3296.744,-1748.958
2 08:49:53.61,3299.762,-1747.677
2 08:49:54.96,3302.811,-1749.776
2 08:49:56.50,3305.899,-1748.579
2 08:49:57.91,3308.945,-1748.824
2 08:49:59.40,3312.011,-1748.41
2 08:50:00.87,3315.048,-1748.423
2 08:50:02.49,3318.071,-1748.785
2 08:50:03.94,3321.097,-1748.351
2 08:50:05.69,3324.122,-1748.985
2 08:50:07.22,3327.176,-1749.101
2 08:50:08.84,3330.194,-1749.166
2 08:50:10.52,3333.233,-1748.888
2 08:50:12.12,3336.234,-1748.847
2 08:50:13.89,3339.312,-1748.613
2 08:50:15.50,3342.382,-1748.524
2 08:50:17.29,3345.416,-1748.846
2 08:50:19.07,3348.488,-1749.025
2 08:50:20.81,3351.514,-1748.583
2 08:50:22.73,3354.594,-1748.681
2 08:50:24.49,3357.636,-1748.631
2 08:50:26.34,3360.653,-1748.833
2 08:50:28.24,3363.711,-1748.267
2 08:50:30.18,3366.712,-1748.004
2 08:50:32.13,3369.771,-1748.602
2 08:50:34.01,3372.82,-1747.548
2 08:50:36.10,3375.823,-1749.031
2 08:50:38.07,3378.928,-1749.408
2 08:50:39.86,3381.949,-1748.918
2 08:50:41.96,3384.97,-1749.043
2 08:50:43.96,3387.99,-1749.377
2 08:50:46.15,3390.996,-1748.493
2 08:50:48.35,3394.001,-1748.574
2 08:50:50.48,3397.047,-1749.159
2 08:50:52.74,3400.092,-1749.384
2 08:50:54.77,3403.116,-1747.988
2 08:50:57.17,3406.132,-1749.197
2 08:50:59.46,3409.147,-1748.815
2 08:51:01.82,3412.205,-1750.13
2 08:51:04.23,3415.262,-1748.183
2 08:51:06.65,3418.263,-1750.095
2 08:51:08.86,3421.275,-1749.094
2 08:51:11.34,3424.312,-1748.68
2 08:51:13.85,3427.334,-1747.896
2 08:51:16.32,3430.342,-1749.585
2 08:51:18.52,3433.345,-1748.359
2 08:51:21.42,3436.35,-1748.048
2 08:51:24.05,3439.357,-1747.984
2 08:51:26.45,3442.373,-1748.577
2 08:51:29.05,3445.427,-1749.689
2 08:51:31.88,3448.433,-1749.795
2 08:51:34.53,3451.458,-1748.233
2 08:51:37.33,3454.558,-1748.721
2 08:51:39.86,3457.561,-1749.12
2 08:51:42.85,3460.588,-1748.061
2 08:51:45.53,3463.631,-1748.299
2 08:51:48.41,3466.632,-1748.673
2 08:51:51.24,3469.639,-1748.899
2 08:51:54.32,3472.687,-1748.459
2 08:51:57.34,3475.74,-1748.878
2 08:52:00.17,3478.742,-1748.05
2 08:52:03.30,3481.783,-1748.543
2 08:52:06.76,3484.824,-1748.666
2 08:52:09.80,3487.884,-1748.502
2 08:52:12.79,3490.917,-1748.596
2 08:52:16.02,3493.95,-1749.309
