time [sec],V [mV],I [mA]
8192.98,3197.333813,-2.760368
8193.02,3200.758219,-317.470878
8193.04,3206.314802,-795.125782
8193.06,3212.111473,-1235.412717
8193.08,3216.717958,-1547.693729
8193.10,3219.925880,-1727.280736
8193.14,3223.122120,-1823.700786
8193.53,3226.233721,-1748.727322
8194.09,3229.274035,-1748.809934
8194.89,3232.321024,-1748.909950
8195.65,3235.331297,-1749.413252
8196.42,3238.350630,-1748.771429
8197.42,3241.448879,-1749.335289
8198.35,3244.544983,-1749.369025
8199.41,3247.605801,-1749.185085
8200.35,3250.636578,-1749.098659
8201.32,3253.648520,-1749.324799
8202.40,3256.671429,-1748.852134
8203.45,3259.721041,-1749.224901
8204.55,3262.725115,-1748.753428
8205.62,3265.727758,-1749.301076
8206.82,3268.770695,-1749.234796
8207.86,3271.778345,-1749.159575
8209.03,3274.780035,-1749.211192
8210.24,3277.808905,-1749.015927
8211.52,3280.828238,-1748.751760
8212.59,3283.844471,-1749.512911
8213.81,3286.863804,-1749.438643
8215.08,3289.864063,-1749.033332
8216.23,3292.899847,-1749.486208
8217.56,3295.934677,-1749.158025
8218.86,3298.959494,-1748.903275
8220.21,3301.977873,-1749.226928
8221.49,3305.001259,-1749.185920
8222.89,3308.045626,-1748.673677
8224.42,3311.105967,-1749.401331
8225.74,3314.131498,-1748.916864
8227.14,3317.150831,-1749.428034
8228.50,3320.184231,-1749.141812
8230.02,3323.211193,-1749.398112
8231.51,3326.229334,-1748.797536
8233.09,3329.263687,-1749.115348
8234.46,3332.265139,-1748.848915
8236.03,3335.287571,-1749.363899
8237.71,3338.303804,-1749.401689
8239.31,3341.420412,-1749.690294
8240.85,3344.467878,-1749.376655
8242.56,3347.535610,-1749.156356
8244.34,3350.546360,-1749.077320
8245.85,3353.631258,-1749.007702
8247.70,3356.682777,-1749.306321
8249.34,3359.702826,-1749.141574
8251.19,3362.784624,-1749.294162
8252.77,3365.792274,-1749.117970
8254.50,3368.794918,-1749.025106
8256.56,3371.810675,-1749.502063
8258.25,3374.828100,-1749.090672
8260.22,3377.843142,-1749.401450
8262.00,3380.861044,-1749.242663
8263.91,3383.872747,-1749.272227
8266.11,3386.884451,-1749.306202
8267.96,3389.947653,-1749.008656
8270.02,3392.976761,-1748.867512
8272.14,3395.983696,-1749.149919
8274.08,3399.028063,-1749.181509
8276.03,3402.040243,-1748.920202
8278.12,3405.059576,-1749.099493
8280.32,3408.092976,-1749.341607
8282.36,3411.119223,-1749.461889
8284.50,3414.186478,-1748.911619
8286.68,3417.216301,-1749.208927
8288.75,3420.239210,-1749.174833
8291.32,3423.281431,-1749.130845
8293.61,3426.288605,-1748.997927
8295.81,3429.338932,-1749.108911
8298.06,3432.341099,-1749.200344
8300.37,3435.358286,-1749.302387
8302.74,3438.498497,-1749.075413
8305.35,3441.545725,-1749.199986
8307.79,3444.583178,-1748.507738
8310.14,3447.654009,-1749.572396
8312.88,3450.701952,-1749.199033
8315.21,3453.726530,-1749.235272
8317.95,3456.748962,-1748.872519
8320.48,3459.754229,-1749.320745
8322.99,3462.772608,-1749.464154
8325.45,3465.815544,-1749.076128
8328.27,3468.840361,-1749.041319
8330.80,3471.841097,-1748.881936
8333.71,3474.843979,-1749.053955
8336.40,3477.891445,-1749.326348
8339.18,3480.909348,-1749.239802
8341.94,3483.936548,-1749.226570
8344.77,3486.947060,-1749.076843
8347.77,3489.971638,-1749.328017
8350.54,3492.973804,-1749.022841
8353.28,3496.021509,-1748.743653
8356.37,3499.038935,-1749.272108
8359.75,3502.072334,-1749.135971
8362.41,3505.122423,-1749.208331
8365.84,3508.203030,-1749.014497
8368.76,3511.272430,-1748.925805
8371.92,3514.285564,-1749.285340
8375.20,3517.361403,-1748.901486
8378.47,3520.377159,-1749.133825
8381.75,3523.420811,-1749.326706
8384.96,3526.431084,-1749.371886
8388.10,3529.433727,-1749.231458
8391.55,3532.484531,-1749.274373
8395.21,3535.551310,-1748.743415
8398.39,3538.584232,-1749.292374
8402.22,3541.619301,-1749.058008
8405.32,3544.694662,-1749.305487
8409.30,3547.757626,-1749.287724
8412.80,3550.786734,-1749.243975
8416.19,3553.862572,-1749.319911
8420.21,3556.905270,-1748.601437
8423.96,3559.941292,-1749.015450
8427.55,3562.981129,-1749.024510
8431.42,3565.989256,-1749.268413
8434.99,3569.025040,-1749.384165
8439.11,3572.044134,-1749.002934
8443.09,3575.085163,-1748.806238
8446.90,3578.151941,-1748.983026
8451.27,3581.204176,-1749.028802
8455.09,3584.238529,-1749.172807
8459.13,3587.288141,-1749.247789
8463.56,3590.348005,-1748.925328
8467.63,3593.376398,-1748.871803
8471.79,3596.403360,-1749.330401
8476.30,3599.441290,-1748.669982
8480.46,3602.461338,-1749.131560
8485.09,3605.468035,-1748.913884
8489.20,3608.477116,-1748.921752
8493.53,3611.485004,-1749.414444
8498.15,3614.495754,-1749.205947
8502.87,3617.525101,-1749.439836
8507.29,3620.567322,-1749.233842
8512.03,3623.653650,-1749.058247
8517.19,3626.675129,-1749.277115
8521.46,3629.675150,-1749.128342
8526.70,3632.685423,-1748.892784
8531.20,3635.701895,-1749.206781
8536.34,3638.734818,-1749.039888
8541.54,3641.768456,-1749.091625
8546.86,3644.785404,-1749.669433
8552.60,3647.822857,-1749.087334
8557.77,3650.864124,-1749.194384
8562.61,3653.920174,-1749.400496
8568.61,3656.968355,-1749.289870
8574.20,3659.988403,-1749.309659
8579.93,3663.018703,-1749.144435
8584.98,3666.062117,-1748.955846
8590.65,3669.064522,-1748.970747
8596.71,3672.103882,-1748.853445
8602.37,3675.119877,-1748.962522
8608.60,3678.140879,-1749.557376
8614.63,3681.149244,-1749.250531
8620.93,3684.175730,-1749.052882
8626.42,3687.213421,-1749.125481
8632.98,3690.232992,-1749.140382
8638.95,3693.292379,-1748.816252
8646.32,3696.327209,-1749.479055
8652.62,3699.335098,-1749.294877
8659.60,3702.353716,-1748.991847
8666.31,3705.369234,-1749.344707
8673.22,3708.411217,-1749.199867
8680.57,3711.444378,-1749.208093
8687.57,3714.449644,-1749.572873
8694.69,3717.488050,-1749.224067
8702.60,3720.543385,-1749.057293
8710.29,3723.567963,-1749.386430
8719.46,3726.620674,-1749.119759
8727.41,3729.622126,-1748.968601
8736.65,3732.622623,-1748.795867
8745.52,3735.655308,-1749.272585
8754.21,3738.664389,-1749.350786
8764.26,3741.734743,-1749.126196
8775.02,3744.744062,-1749.055982
8785.62,3747.747898,-1749.047875
8796.25,3750.786781,-1748.922467
8809.65,3753.789663,-1749.246120
8823.28,3756.804466,-1748.844028
8838.08,3759.836197,-1749.387264
8856.80,3762.866974,-1748.970985
8876.62,3765.874624,-1749.040008
8901.23,3768.903255,-1749.110341
8926.39,3771.933556,-1749.221087
8955.26,3774.969101,-1749.052286
8986.29,3777.987242,-1749.159336
9021.47,3781.044245,-1749.305844
9052.95,3784.052372,-1749.126434
9088.04,3787.081957,-1749.546409
9124.06,3790.121794,-1749.418855
9159.49,3793.168545,-1749.392509
9194.72,3796.183109,-1749.238133
9229.14,3799.193382,-1748.861194
9266.25,3802.194595,-1749.297500
9300.96,3805.263281,-1749.250174
9338.78,3808.359861,-1748.773336
9373.57,3811.390162,-1748.975158
9408.32,3814.415693,-1749.129295
9443.08,3817.432642,-1749.330044
9476.90,3820.441961,-1749.477983
9508.61,3823.473692,-1749.337435
9545.22,3826.485157,-1749.279499
9578.88,3829.526186,-1749.126434
9610.05,3832.540274,-1748.873949
9639.98,3835.557938,-1749.250412
9672.28,3838.579655,-1749.253392
9703.63,3841.615915,-1749.644756
9733.26,3844.654322,-1749.168396
9764.35,3847.693920,-1748.765588
9793.24,3850.696564,-1749.034762
9821.43,3853.715897,-1749.051452
9848.96,3856.732368,-1749.417067
9879.99,3859.734535,-1749.060750
9907.19,3862.769604,-1748.981833
9934.64,3865.827084,-1749.074340
9965.04,3868.872404,-1749.047399
9993.11,3871.886253,-1749.727964
10024.29,3874.949455,-1749.225497
10053.55,3878.019571,-1749.142528
10083.19,3881.030321,-1749.163270
10113.56,3884.046316,-1749.523997
10143.61,3887.063026,-1749.132752
10171.84,3890.065670,-1749.286532
10205.38,3893.104553,-1749.071836
10237.20,3896.108150,-1749.486923
10268.98,3899.180174,-1749.413610
10299.78,3902.189732,-1748.978972
10332.69,3905.212641,-1749.131680
10369.67,3908.218384,-1749.474883
10401.81,3911.239624,-1749.526501
10434.63,3914.288044,-1749.018550
10466.63,3917.307138,-1748.998404
10499.01,3920.352459,-1749.544024
10535.05,3923.393250,-1749.475479
10568.73,3926.440239,-1748.901367
10600.34,3929.467201,-1749.431252
10638.43,3932.481289,-1749.566197
10670.84,3935.482025,-1748.708844
10702.59,3938.512087,-1749.155879
10741.02,3941.534996,-1749.213457
10776.12,3944.555521,-1749.067783
10812.30,3947.584391,-1748.817563
10848.21,3950.584888,-1749.053240
10885.86,3953.674555,-1749.416351
10923.66,3956.674814,-1749.214292
10962.72,3959.682226,-1749.268055
10999.96,3962.725639,-1748.968124
11035.74,3965.726852,-1749.111652
11074.57,3968.758106,-1749.234557
11114.64,3971.762180,-1749.069691
11154.13,3974.791765,-1749.234676
11190.27,3977.813482,-1749.403715
11231.83,3980.851889,-1749.497533
11268.63,3983.866453,-1749.282002
11304.68,3986.894846,-1749.075413
11343.64,3989.902735,-1749.516129
11380.90,3992.990971,-1749.222279
11418.90,3996.019125,-1748.936772
11456.32,3999.042034,-1749.094009
11491.04,4002.058029,-1749.495268
11530.88,4005.058765,-1749.488354
11568.99,4008.105755,-1749.138236
11605.09,4011.120319,-1749.147534
11642.79,4014.131069,-1749.030590
11680.98,4017.150402,-1749.024510
11719.43,4020.172119,-1749.219894
11762.24,4023.182392,-1748.694420
11801.89,4026.183605,-1748.918891
11845.03,4029.188633,-1748.192549
11887.28,4032.190323,-1748.953938
11929.73,4035.233498,-1749.214172
11982.70,4038.264275,-1749.174833
12032.22,4041.271210,-1749.004483
12081.59,4044.283867,-1749.191880
12138.01,4047.303200,-1749.164104
12195.39,4050.354004,-1749.130964
12255.39,4052.974224,-1749.175072
12313.08,4056.004524,-1749.340296
12373.08,4058.668137,-1749.155164
12433.08,4061.251640,-1749.302745
12493.08,4063.763142,-1749.116063
12553.08,4066.144466,-1749.204159
12613.08,4068.788528,-1749.312758
12673.08,4070.782661,-1749.106884
12733.08,4073.199272,-1749.121428
12793.08,4075.542927,-1749.406576
12853.08,4077.754974,-1749.029636
12905.03,4080.780983,-1749.466300
12965.03,4082.379818,-1749.045014
13024.86,4085.389614,-1749.282241
13084.86,4087.170124,-1749.332428
13144.86,4089.615345,-1749.101996
13204.86,4092.205048,-1749.313474
13264.86,4094.307899,-1749.444842
13324.86,4096.807957,-1749.169827
13384.86,4099.158764,-1749.254107
13443.58,4102.170467,-1749.122858
13503.58,4104.102135,-1749.124646
13558.37,4107.119560,-1749.118924
13618.37,4109.477043,-1749.021411
13674.69,4112.503529,-1749.405026
13734.69,4114.778042,-1748.999357
13784.72,4117.778778,-1749.269605
13844.72,4120.790005,-1749.294519
13904.44,4123.801231,-1748.815656
13962.47,4126.836777,-1749.210358
14016.24,4129.856110,-1749.284625
14066.06,4132.901669,-1749.071002
14121.23,4135.966778,-1749.330878
14171.35,4138.969421,-1749.484301
14217.74,4141.993523,-1749.128342
14264.57,4145.038128,-1749.182820
14308.60,4148.073196,-1749.658704
14353.76,4151.096821,-1749.218941
14393.47,4154.112816,-1749.075890
14433.01,4157.130718,-1748.992801
14473.46,4160.142422,-1749.114275
14509.13,4163.143635,-1749.452233
14546.95,4166.184902,-1749.047518
14575.44,4169.267178,-1749.115467
14610.63,4172.274113,-1749.292850
14644.74,4175.296307,-1749.140263
14675.10,4178.408146,-1749.029636
14705.78,4181.430817,-1748.618007
14738.00,4184.478283,-1749.056339
14765.94,4187.555313,-1749.215722
14792.57,4190.568447,-1749.120712
14821.85,4193.606377,-1749.154687
14848.47,4196.618557,-1749.200702
14866.52,4199.088573,-1749.132156
14866.53,4198.935509,-1717.032313
14866.56,4194.089413,-1158.410430
14866.58,4189.357281,-679.928660
14866.60,4185.283184,-309.107244
14866.63,4181.383133,-8.456457
14866.90,4178.338528,-3.172603
14868.13,4175.264835,-2.875309
14871.04,4172.259808,-2.509821
14875.38,4169.239521,-2.325859
14880.45,4166.230679,-2.717727
14888.53,4163.176060,-2.939888
14899.28,4160.137653,-2.719727
14912.40,4157.130718,-2.518424
14928.40,4154.129505,-2.758251
14948.17,4151.127815,-2.020341
14974.82,4148.106575,-2.738515
15006.90,4145.090103,-2.674955
15046.30,4142.045975,-3.051404
15096.53,4138.999462,-2.977489
15153.83,4135.963440,-2.973884
15213.83,4134.115219,-3.117258
15273.83,4132.173538,-2.767217
15333.83,4130.158424,-3.221558
15393.83,4128.784657,-2.852808
15453.83,4127.672672,-2.913461
15466.52,4127.311707,-2.869385
15466.53,4127.382278,-2.944641
15466.58,4122.383595,603.304029
15466.60,4117.655277,1077.312231
15466.62,4113.505363,1444.033384
15466.65,4109.620571,1741.697669
15466.87,4106.603622,1746.802807
15467.88,4103.541851,1749.559164
15470.10,4100.527287,1749.747276
15472.87,4097.522259,1749.602914
15476.61,4094.474792,1749.372602
15481.49,4091.444492,1749.750733
15486.80,4088.434219,1750.100970
15492.45,4085.384846,1749.995470
15499.14,4082.380772,1750.126243
15506.28,4079.380035,1749.750137
15514.02,4076.354504,1749.825835
15522.05,4073.338032,1750.018835
15532.30,4070.335388,1749.811292
15541.80,4067.334652,1749.468803
15552.53,4064.315319,1749.620438
15565.18,4061.304569,1749.844670
15579.17,4058.271885,1750.032187
15593.32,4055.264473,1748.990178
15609.49,4052.197456,1750.330567
15627.63,4049.152374,1749.500513
15646.20,4046.092033,1749.624491
15666.44,4043.076038,1749.814391
15689.13,4040.074348,1749.898672
15712.59,4036.987782,1750.087738
15742.18,4033.918381,1749.898791
15773.05,4030.913353,1749.746084
15804.61,4027.861595,1749.856710
15837.26,4024.807453,1749.786496
15875.52,4021.788120,1749.767780
15917.09,4018.775940,1749.914885
15958.89,4015.738964,1749.575853
16001.88,4012.731552,1749.739766
16048.94,4009.638309,1749.638677
16099.35,4006.605625,1749.768615
16148.11,4003.552914,1749.512076
16200.75,4000.531197,1750.305772
16252.75,3997.522831,1749.532104
16306.92,3994.515419,1749.987245
16364.82,3991.501331,1749.882460
16424.82,3988.663435,1749.914408
16484.82,3985.874653,1749.746323
16542.58,3982.867002,1749.689698
16602.58,3980.655432,1749.980450
16662.58,3977.945566,1749.983311
16722.58,3975.571156,1749.870658
16778.84,3972.559452,1749.587297
16838.84,3970.471859,1750.022292
16898.84,3967.996597,1750.087261
16958.84,3965.545893,1749.624968
17018.84,3963.176489,1750.321507
17078.84,3960.490704,1749.754548
17138.84,3958.111286,1749.572992
17198.84,3955.882072,1749.915361
17258.84,3953.074932,1750.037551
17318.84,3950.744152,1750.009656
17378.76,3947.719097,1749.963045
17438.76,3945.287228,1749.672413
17498.76,3942.681313,1749.756098
17553.52,3939.653158,1749.286294
17613.52,3937.079430,1749.870300
17668.49,3934.060812,1749.445558
17726.65,3931.048393,1749.700427
17782.20,3928.020954,1749.722838
17836.79,3925.014973,1749.449015
17888.26,3921.990633,1749.528408
