time [sec],V [mV],I [mA]
0.0,3156.839,4.942
0.05,3161.721,-547.062
0.07,3166.676,-1027.325
0.09,3170.979,-1409.462
0.11,3174.089,-1653.304
0.16,3177.097,-1824.086
0.61,3180.107,-1748.965
1.31,3183.11,-1749.369
1.97,3186.119,-1749.384
2.83,3189.119,-1749.626
3.89,3192.172,-1749.615
4.76,3195.186,-1749.36
5.85,3198.194,-1749.815
6.91,3201.201,-1749.578
7.94,3204.202,-1749.711
9.01,3207.238,-1749.747
10.24,3210.319,-1749.667
11.38,3213.361,-1749.457
12.61,3216.432,-1749.704
13.9,3219.459,-1749.719
15.01,3222.481,-1749.655
16.42,3225.563,-1749.655
17.64,3228.596,-1749.445
19.07,3231.666,-1749.603
20.5,3234.7,-1749.372
21.91,3237.73,-1749.293
23.31,3240.748,-1749.684
24.72,3243.763,-1749.681
26.13,3246.773,-1749.679
27.52,3249.782,-1749.762
29.07,3252.797,-1749.531
30.6,3255.822,-1749.493
32.0,3258.861,-1749.601
33.72,3261.87,-1749.457
35.23,3264.877,-1749.462
36.83,3267.898,-1749.836
38.43,3270.973,-1749.613
40.17,3274.043,-1749.69
41.77,3277.068,-1749.686
43.52,3280.094,-1749.483
45.31,3283.117,-1749.268
47.01,3286.145,-1749.81
48.78,3289.2,-1749.691
50.53,3292.208,-1749.452
52.52,3295.213,-1749.524
54.17,3298.257,-1749.363
56.1,3301.262,-1749.58
58.08,3304.263,-1749.944
59.9,3307.359,-1749.316
61.94,3310.359,-1749.64
63.84,3313.372,-1749.213
65.81,3316.393,-1749.458
67.91,3319.455,-1749.465
69.93,3322.46,-1749.424
72.14,3325.471,-1749.325
74.23,3328.496,-1749.791
76.29,3331.522,-1749.534
78.48,3334.548,-1749.799
80.56,3337.556,-1749.542
82.83,3340.569,-1749.578
84.94,3343.587,-1749.55
87.23,3346.627,-1749.763
89.57,3349.637,-1749.927
91.83,3352.664,-1749.329
94.23,3355.7,-1749.961
96.78,3358.735,-1750.024
99.22,3361.771,-1749.656
101.52,3364.783,-1749.578
103.69,3367.803,-1749.6
106.69,3370.822,-1749.909
109.24,3373.833,-1749.665
111.64,3376.84,-1749.627
114.18,3379.86,-1749.407
116.86,3382.92,-1749.789
119.41,3386.041,-1749.626
122.28,3389.05,-1749.268
124.85,3392.055,-1749.75
127.53,3395.125,-1749.681
130.61,3398.134,-1749.794
133.02,3401.214,-1749.631
