time [sec],V [mV],I [mA]
0.0,3179.42,0.275
0.05,3184.746,-564.668
0.07,3189.965,-1042.199
0.09,3194.457,-1419.587
0.11,3197.586,-1658.294
0.16,3200.639,-1823.138
0.6,3203.692,-1747.678
1.17,3206.72,-1748.576
1.82,3209.731,-1747.953
2.62,3212.742,-1747.687
3.62,3215.781,-1748.373
4.44,3218.852,-1747.954
5.37,3221.931,-1748.052
6.32,3225.013,-1748.114
7.38,3228.056,-1747.859
8.42,3231.065,-1748.237
9.45,3234.096,-1748.302
10.38,3237.109,-1747.839
11.6,3240.161,-1748.302
12.77,3243.188,-1748.214
13.9,3246.238,-1748.344
14.95,3249.253,-1747.985
16.29,3252.285,-1747.837
17.39,3255.344,-1748.4
18.71,3258.355,-1748.299
19.85,3261.379,-1748.019
21.19,3264.388,-1748.247
22.36,3267.492,-1748.433
23.73,3270.576,-1748.278
25.08,3273.59,-1748.575
26.4,3276.641,-1748.07
27.58,3279.654,-1747.854
29.16,3282.685,-1748.391
30.47,3285.694,-1748.05
32.05,3288.696,-1748.519
33.4,3291.72,-1748.378
34.86,3294.739,-1748.084
36.46,3297.76,-1748.312
37.86,3300.76,-1748.211
39.34,3303.814,-1748.715
40.91,3306.869,-1748.19
42.42,3309.91,-1748.028
44.03,3312.933,-1748.394
45.56,3315.957,-1747.702
47.2,3319.052,-1747.715
48.91,3322.105,-1748.416
50.64,3325.154,-1748.188
52.4,3328.165,-1748.336
54.16,3331.268,-1748.17
55.95,3334.319,-1748.443
57.68,3337.365,-1748.317
59.39,3340.446,-1748.663
61.26,3343.462,-1748.013
63.11,3346.466,-1748.094
65.07,3349.503,-1748.434
66.86,3352.511,-1748.081
68.69,3355.512,-1748.3
70.83,3358.532,-1748.244
72.72,3361.534,-1748.149
74.54,3364.552,-1748.402
76.62,3367.592,-1747.79
78.79,3370.733,-1748.392
80.69,3373.743,-1748.012
82.89,3376.753,-1747.794
84.7,3379.758,-1748.369
87.03,3382.823,-1748.271
89.01,3385.823,-1748.333
91.45,3388.898,-1748.075
93.61,3391.961,-1748.392
95.9,3394.986,-1748.568
98.03,3397.991,-1748.261
100.52,3401.059,-1748.362
102.87,3404.09,-1748.026
105.19,3407.123,-1748.156
107.42,3410.138,-1748.389
109.89,3413.157,-1747.975
112.37,3416.207,-1748.502
114.87,3419.216,-1748.261
117.23,3422.218,-1748.012
119.84,3425.237,-1747.876
122.28,3428.275,-1747.921
125.05,3431.351,-1748.152
127.63,3434.381,-1748.439
130.29,3437.446,-1748.201
133.01,3440.46,-1748.433
135.75,3443.472,-1748.116
138.24,3446.49,-1747.644
141.03,3449.512,-1748.088
143.89,3452.515,-1748.351
146.8,3455.535,-1748.024
149.59,3458.572,-1748.136
152.59,3461.576,-1748.524
155.38,3464.612,-1748.334
158.52,3467.642,-1747.969
161.38,3470.65,-1748.403
164.42,3473.676,-1748.43
167.38,3476.727,-1748.034
170.67,3479.738,-1748.246
173.8,3482.807,-1748.041
177.13,3485.872,-1747.956
180.26,3488.912,-1748.525
183.58,3491.962,-1747.824
186.88,3495.043,-1747.983
190.07,3498.121,-1748.059
193.87,3501.16,-1748.893
197.09,3504.295,-1748.103
200.88,3507.303,-1748.073
204.11,3510.363,-1748.425
208.0,3513.46,-1748.115
211.15,3516.507,-1747.745
214.89,3519.547,-1748.026
218.55,3522.574,-1748.348
222.46,3525.611,-1748.306
225.96,3528.617,-1748.305
