Frequency[Hz],Z_real[ohm],Z_img[ohm]
1.000e+005,6.7643e-003,1.5755e-002
7.900e+004,6.5177e-003,1.2632e-002
6.300e+004,6.3055e-003,1.0233e-002
5.000e+004,6.0939e-003,8.3078e-003
4.000e+004,5.9488e-003,6.7972e-003
3.200e+004,5.7956e-003,5.5771e-003
2.500e+004,5.6342e-003,4.4926e-003
2.000e+004,5.4973e-003,3.7047e-003
1.600e+004,5.3711e-003,3.0347e-003
1.300e+004,5.2525e-003,2.5212e-003
1.000e+004,5.1345e-003,1.9636e-003
7.900e+003,5.0534e-003,1.5417e-003
6.300e+003,4.9946e-003,1.1731e-003
5.000e+003,4.9617e-003,8.5953e-004
4.000e+003,4.9614e-003,5.8352e-004
3.200e+003,4.9815e-003,3.4935e-004
2.500e+003,5.0323e-003,1.3485e-004
2.000e+003,5.0917e-003,-4.3156e-005
1.600e+003,5.1571e-003,-1.8631e-004
1.300e+003,5.2493e-003,-3.0504e-004
1.000e+003,5.3574e-003,-4.3243e-004
7.899e+002,5.4682e-003,-5.1731e-004
6.301e+002,5.5806e-003,-5.9207e-004
5.000e+002,5.7019e-003,-6.5301e-004
4.000e+002,5.8077e-003,-6.9429e-004
3.200e+002,5.9315e-003,-7.4231e-004
2.500e+002,6.0725e-003,-7.7748e-004
2.000e+002,6.1898e-003,-8.1501e-004
1.600e+002,6.3163e-003,-8.4419e-004
1.300e+002,6.4395e-003,-8.7112e-004
1.000e+002,6.5927e-003,-9.0935e-004
7.900e+001,6.7439e-003,-9.2997e-004
6.300e+001,6.8822e-003,-9.4905e-004
5.000e+001,7.0329e-003,-9.6903e-004
4.000e+001,7.1887e-003,-9.8139e-004
3.200e+001,7.3450e-003,-9.9436e-004
2.500e+001,7.5186e-003,-1.0013e-003
2.000e+001,7.6881e-003,-9.8406e-004
1.600e+001,7.8458e-003,-9.5162e-004
1.300e+001,7.9822e-003,-9.2194e-004
1.000e+001,8.1529e-003,-8.8201e-004
7.900e+000,8.2782e-003,-8.3291e-004
6.300e+000,8.4043e-003,-7.8195e-004
5.000e+000,8.5097e-003,-7.4216e-004
4.000e+000,8.6034e-003,-6.8712e-004
3.200e+000,8.6835e-003,-6.5331e-004
2.500e+000,8.7728e-003,-6.2334e-004
2.000e+000,8.8458e-003,-6.1128e-004
1.600e+000,8.9137e-003,-5.9899e-004
1.300e+000,8.9718e-003,-5.8020e-004
1.000e+000,9.0326e-003,-5.8633e-004
7.900e-001,9.1333e-003,-6.2334e-004
6.300e-001,9.2127e-003,-6.3186e-004
5.000e-001,9.2768e-003,-6.7007e-004
4.000e-001,9.3749e-003,-7.1992e-004
3.200e-001,9.4749e-003,-7.5057e-004
2.500e-001,9.5367e-003,-8.4625e-004
2.000e-001,9.6361e-003,-9.3207e-004
1.600e-001,9.7474e-003,-1.0165e-003
1.300e-001,9.8655e-003,-1.0985e-003
1.000e-001,9.9993e-003,-1.2342e-003
7.900e-002,1.0156e-002,-1.4045e-003
6.300e-002,1.0320e-002,-1.5418e-003
5.000e-002,1.0466e-002,-1.7622e-003
4.000e-002,1.0678e-002,-1.9930e-003
3.200e-002,1.0868e-002,-2.2445e-003
2.500e-002,1.1124e-002,-2.5933e-003
2.000e-002,1.1376e-002,-2.9767e-003
1.600e-002,1.1717e-002,-3.4326e-003
1.300e-002,1.2022e-002,-3.9386e-003
1.000e-002,1.2443e-002,-4.6363e-003
