time [sec],V [mV],I [mA]
0.0,3178.806,-1.051
0.04,3182.156,-335.684
0.06,3187.257,-816.537
0.08,3192.287,-1253.085
0.1,3196.182,-1559.795
0.13,3199.658,-1780.985
0.39,3202.749,-1747.981
0.93,3205.834,-1747.369
1.62,3208.859,-1748.222
2.33,3211.864,-1747.259
3.2,3214.886,-1748.259
4.13,3218.006,-1747.249
5.01,3221.027,-1747.263
6.02,3224.03,-1747.123
6.96,3227.048,-1748.556
7.94,3230.054,-1747.485
8.98,3233.082,-1746.947
10.0,3236.186,-1746.964
11.08,3239.221,-1749.23
12.13,3242.225,-1748.682
13.29,3245.261,-1748.564
14.46,3248.276,-1748.088
15.49,3251.285,-1748.105
16.78,3254.296,-1748.014
17.93,3257.382,-1748.542
19.18,3260.387,-1748.667
20.49,3263.42,-1749.28
21.67,3266.456,-1748.178
23.07,3269.511,-1748.859
24.28,3272.524,-1747.112
25.63,3275.552,-1749.152
26.91,3278.599,-1748.061
28.3,3281.606,-1748.169
29.47,3284.622,-1748.885
31.06,3287.648,-1747.616
32.48,3290.691,-1747.85
34.01,3293.694,-1747.775
35.36,3296.745,-1748.412
36.95,3299.782,-1747.377
38.52,3302.846,-1747.828
40.02,3305.877,-1747.081
41.4,3308.909,-1747.715
43.14,3311.949,-1747.329
44.54,3314.956,-1747.229
46.36,3318.012,-1749.123
48.04,3321.066,-1746.961
49.61,3324.104,-1749.286
51.26,3327.106,-1747.728
53.03,3330.119,-1747.682
54.82,3333.13,-1748.41
56.39,3336.215,-1748.664
58.37,3339.231,-1748.414
60.02,3342.239,-1749.303
61.79,3345.269,-1746.939
63.64,3348.295,-1748.714
65.49,3351.329,-1747.578
67.58,3354.348,-1748.374
69.47,3357.352,-1748.983
71.29,3360.361,-1748.031
73.32,3363.377,-1748.938
75.18,3366.377,-1748.934
77.23,3369.384,-1749.015
79.23,3372.457,-1747.587
81.22,3375.521,-1747.513
83.57,3378.525,-1747.9
85.58,3381.541,-1748.162
87.48,3384.598,-1748.405
89.77,3387.606,-1748.281
91.99,3390.63,-1748.505
94.32,3393.649,-1748.425
96.55,3396.653,-1748.841
98.75,3399.663,-1747.278
101.2,3402.701,-1747.828
103.34,3405.731,-1747.583
105.62,3408.795,-1748.383
108.3,3411.82,-1747.942
110.61,3414.827,-1748.16
113.11,3417.866,-1748.653
115.51,3420.871,-1748.291
118.09,3423.964,-1747.62
120.68,3427.022,-1748.324
123.14,3430.04,-1748.502
125.69,3433.041,-1747.595
128.39,3436.056,-1747.861
130.99,3439.064,-1748.508
133.66,3442.117,-1748.515
136.44,3445.187,-1747.735
139.35,3448.205,-1747.896
142.26,3451.219,-1748.288
144.93,3454.304,-1747.585
147.78,3457.361,-1748.221
150.84,3460.413,-1747.562
153.56,3463.42,-1748.076
156.61,3466.443,-1748.08
159.75,3469.51,-1748.778
162.67,3472.527,-1748.326
165.76,3475.573,-1748.51
168.73,3478.585,-1747.401
172.12,3481.616,-1748.381
175.43,3484.625,-1748.096
178.41,3487.631,-1748.557
181.2,3490.659,-1748.564
184.88,3493.711,-1748.822
188.18,3496.731,-1747.586
191.67,3499.785,-1747.964
195.07,3502.814,-1748.427
198.26,3505.82,-1747.597
202.18,3508.832,-1747.789
205.33,3511.832,-1747.728
208.86,3514.878,-1748.84
212.47,3517.905,-1747.658
216.02,3520.94,-1747.528
219.84,3523.989,-1748.417
223.36,3527.021,-1748.786
226.96,3530.077,-1748.332
231.01,3533.098,-1747.808
234.7,3536.108,-1748.442
238.25,3539.114,-1748.678
242.32,3542.116,-1748.466
246.45,3545.186,-1747.428
250.57,3548.22,-1747.732
253.81,3551.252,-1748.186
258.56,3554.255,-1748.142
262.82,3557.269,-1748.056
266.61,3560.276,-1747.082
270.43,3563.309,-1748.74
275.13,3566.386,-1748.713
279.65,3569.421,-1748.801
283.61,3572.511,-1748.146
288.0,3575.537,-1748.181
292.77,3578.614,-1747.897
297.62,3581.716,-1748.39
302.04,3584.752,-1747.475
306.71,3587.767,-1748.874
311.4,3590.816,-1747.616
316.31,3593.836,-1748.804
320.54,3596.843,-1748.285
325.38,3599.874,-1747.66
330.23,3602.876,-1747.209
335.19,3605.877,-1747.617
340.24,3608.959,-1747.878
345.32,3611.964,-1749.279
350.22,3614.968,-1747.792
355.47,3617.968,-1749.097
360.65,3620.978,-1747.925
365.75,3623.982,-1748.715
370.76,3627.041,-1748.927
376.45,3630.046,-1748.314
381.66,3633.047,-1748.899
387.08,3636.077,-1747.414
393.19,3639.092,-1749.047
398.61,3642.11,-1747.122
404.36,3645.12,-1748.029
410.76,3648.197,-1748.307
416.58,3651.262,-1747.319
422.73,3654.304,-1749.412
428.3,3657.348,-1747.658
434.4,3660.353,-1747.505
440.27,3663.362,-1748.543
446.86,3666.368,-1749.087
452.08,3669.384,-1748.98
459.05,3672.387,-1748.385
466.13,3675.441,-1747.359
472.27,3678.45,-1748.011
478.83,3681.478,-1747.807
485.25,3684.54,-1748.364
492.91,3687.542,-1747.653
499.29,3690.564,-1748.373
506.33,3693.584,-1747.452
513.93,3696.591,-1749.128
521.44,3699.664,-1748.267
528.89,3702.671,-1747.392
535.82,3705.699,-1747.759
544.43,3708.728,-1747.942
552.2,3711.78,-1747.778
560.58,3714.811,-1747.681
568.98,3717.839,-1747.563
578.24,3720.855,-1748.568
586.92,3723.872,-1748.271
596.11,3726.887,-1748.106
606.22,3729.897,-1748.761
616.57,3732.908,-1748.688
627.84,3735.936,-1747.662
639.63,3738.942,-1747.642
651.73,3741.966,-1748.029
666.43,3744.977,-1748.113
682.35,3748.019,-1747.963
698.43,3751.024,-1747.52
717.91,3754.043,-1748.19
739.61,3757.072,-1747.038
764.03,3760.125,-1748.661
790.63,3763.145,-1747.602
818.14,3766.164,-1747.986
850.63,3769.172,-1749.847
882.84,3772.241,-1747.914
915.36,3775.274,-1747.791
951.72,3778.301,-1747.302
987.88,3781.327,-1748.705
1023.61,3784.372,-1748.697
1060.14,3787.396,-1748.561
1096.14,3790.464,-1748.859
1134.68,3793.514,-1746.996
1173.91,3796.519,-1747.369
1209.64,3799.533,-1748.556
1246.62,3802.583,-1748.27
1284.17,3805.602,-1747.844
1323.18,3808.612,-1748.338
1360.28,3811.62,-1748.708
1395.81,3814.657,-1748.488
1432.54,3817.687,-1747.608
1468.83,3820.694,-1747.996
1503.97,3823.722,-1747.642
1539.82,3826.737,-1747.642
1572.58,3829.759,-1748.965
1604.82,3832.795,-1749.03
1639.59,3835.838,-1747.426
1673.41,3838.864,-1747.669
1706.24,3841.873,-1747.64
1740.03,3844.883,-1748.419
1772.97,3847.953,-1748.302
1804.46,3850.959,-1748.181
1840.97,3853.982,-1748.515
1872.08,3856.986,-1747.619
1905.95,3860.0,-1747.656
1939.21,3863.005,-1747.656
1976.95,3866.024,-1748.665
2009.24,3869.035,-1748.969
2047.65,3872.045,-1748.296
2085.59,3875.15,-1748.04
2124.15,3878.152,-1748.329
2161.99,3881.155,-1747.97
2201.68,3884.206,-1747.868
2239.58,3887.258,-1747.51
2279.49,3890.265,-1747.887
2317.46,3893.281,-1748.166
2358.63,3896.285,-1747.325
2400.0,3899.328,-1748.127
2443.34,3902.41,-1747.938
2483.47,3905.449,-1748.225
2528.81,3908.468,-1748.064
2576.38,3911.531,-1748.344
2621.32,3914.536,-1748.115
2672.64,3917.565,-1747.884
2723.67,3920.592,-1747.942
2777.72,3923.607,-1748.382
2832.54,3926.651,-1748.092
2890.73,3929.662,-1748.323
2950.73,3931.801,-1748.093
3004.2,3934.848,-1747.938
3064.2,3937.055,-1748.833
3120.52,3940.068,-1748.283
3180.52,3942.459,-1748.09
3237.64,3945.478,-1748.04
3297.64,3947.93,-1747.654
3357.2,3950.959,-1747.554
3417.2,3953.415,-1747.826
3467.82,3956.439,-1747.77
3524.05,3959.497,-1748.283
3577.34,3962.527,-1748.488
3630.85,3965.568,-1748.523
3686.17,3968.577,-1748.997
3734.41,3971.599,-1748.203
3787.39,3974.63,-1748.262
3832.96,3977.674,-1748.095
3873.62,3980.728,-1748.069
3924.4,3983.755,-1747.945
3965.2,3986.797,-1748.081
4006.58,3989.815,-1748.056
4049.74,3992.827,-1747.56
4087.61,3995.834,-1747.558
4130.36,3998.869,-1747.831
4171.79,4001.884,-1747.165
4211.01,4004.905,-1748.05
4254.18,4007.912,-1747.933
4291.79,4010.951,-1746.998
4333.46,4013.958,-1747.229
4372.22,4016.98,-1748.453
4412.61,4020.033,-1748.227
4455.47,4023.048,-1748.176
4497.92,4026.063,-1747.728
4541.03,4029.1,-1747.311
4588.75,4032.104,-1748.453
4632.92,4035.116,-1748.263
4688.73,4038.118,-1748.689
4737.09,4041.141,-1748.396
4790.75,4044.176,-1748.323
4845.42,4047.228,-1748.161
4905.42,4049.716,-1748.608
4962.01,4052.747,-1747.693
5022.01,4054.92,-1748.369
5079.91,4058.013,-1748.847
5139.91,4060.428,-1748.424
5199.91,4062.88,-1747.012
5259.91,4064.722,-1748.705
5319.91,4067.436,-1747.324
5379.91,4069.14,-1748.229
5439.91,4071.276,-1748.172
5499.91,4073.321,-1748.403
5559.91,4075.864,-1748.131
5619.91,4077.996,-1748.033
5679.91,4079.737,-1748.711
5739.91,4081.623,-1747.789
5799.91,4083.83,-1748.116
5859.91,4085.496,-1748.245
5919.91,4088.142,-1747.75
5979.91,4089.941,-1748.588
6039.91,4092.34,-1748.092
6099.91,4094.225,-1748.219
6159.91,4096.677,-1747.714
6219.91,4098.799,-1748.059
6279.91,4100.749,-1748.546
6339.91,4102.998,-1747.825
6399.91,4105.007,-1747.875
6459.91,4107.437,-1748.343
6519.91,4109.697,-1748.625
6579.91,4111.905,-1748.109
