time [sec],V [mV],I [mA]
0.0,3185.089,0.639
0.04,3188.249,-328.936
0.06,3193.295,-809.927
0.08,3198.318,-1247.726
0.1,3202.209,-1555.612
0.13,3205.615,-1778.953
0.35,3208.751,-1745.573
0.82,3211.869,-1747.682
1.57,3214.904,-1747.74
2.35,3217.912,-1748.19
3.2,3220.948,-1748.445
4.13,3223.965,-1748.133
5.15,3227.01,-1747.796
6.08,3230.029,-1747.785
7.08,3233.141,-1747.781
8.17,3236.245,-1748.257
9.24,3239.284,-1748.165
10.31,3242.312,-1748.067
11.34,3245.332,-1748.207
12.67,3248.374,-1747.718
13.82,3251.435,-1748.273
14.95,3254.477,-1748.048
16.21,3257.553,-1748.143
17.35,3260.564,-1748.008
18.67,3263.572,-1747.925
19.87,3266.631,-1747.943
21.1,3269.674,-1747.803
22.53,3272.679,-1748.228
23.83,3275.72,-1747.808
25.13,3278.766,-1747.877
26.39,3281.779,-1747.795
27.83,3284.783,-1747.551
29.21,3287.807,-1747.527
30.65,3290.835,-1747.644
32.06,3293.851,-1748.173
33.5,3296.851,-1748.467
35.02,3299.859,-1748.024
36.53,3302.906,-1747.386
38.19,3305.909,-1748.106
39.75,3308.923,-1747.836
41.23,3311.943,-1748.648
42.74,3314.952,-1747.663
44.45,3317.964,-1747.8
46.18,3320.989,-1748.204
47.62,3324.04,-1748.051
49.43,3327.133,-1747.562
51.15,3330.159,-1748.356
53.01,3333.238,-1748.421
54.67,3336.249,-1747.985
56.6,3339.254,-1747.729
58.24,3342.256,-1748.04
60.21,3345.269,-1747.595
62.05,3348.281,-1748.199
63.84,3351.294,-1747.985
65.99,3354.326,-1748.029
67.72,3357.33,-1748.131
69.64,3360.439,-1748.45
71.74,3363.466,-1747.591
73.8,3366.479,-1748.139
75.88,3369.571,-1747.782
77.92,3372.602,-1747.58
79.76,3375.602,-1747.991
82.11,3378.609,-1748.285
84.16,3381.644,-1748.1
86.2,3384.686,-1747.888
88.53,3387.698,-1747.495
90.67,3390.706,-1748.436
92.96,3393.741,-1748.754
95.24,3396.787,-1748.147
97.47,3399.812,-1748.236
100.01,3402.814,-1748.583
102.24,3405.887,-1747.904
104.59,3408.888,-1747.852
107.04,3411.902,-1747.802
109.6,3414.908,-1748.292
111.87,3417.951,-1748.146
114.54,3420.992,-1748.022
117.26,3424.041,-1748.038
119.6,3427.096,-1748.286
122.48,3430.143,-1748.056
124.95,3433.164,-1747.911
127.88,3436.213,-1747.906
130.7,3439.223,-1747.961
133.23,3442.286,-1748.263
136.0,3445.325,-1747.937
138.91,3448.338,-1748.497
141.89,3451.403,-1748.24
144.77,3454.432,-1747.904
147.49,3457.437,-1747.731
150.65,3460.446,-1748.105
153.65,3463.481,-1748.026
156.42,3466.522,-1748.513
159.6,3469.609,-1748.045
162.93,3472.648,-1748.054
166.12,3475.675,-1747.763
169.04,3478.718,-1747.488
172.47,3481.797,-1748.248
175.75,3484.866,-1747.75
179.38,3487.884,-1748.034
182.55,3490.965,-1748.112
186.05,3493.987,-1747.916
189.31,3497.009,-1747.962
192.71,3500.018,-1748.144
196.27,3503.028,-1748.009
199.8,3506.041,-1747.983
203.47,3509.098,-1748.232
207.05,3512.151,-1748.011
210.48,3515.198,-1747.856
214.45,3518.231,-1747.822
218.08,3521.274,-1748.235
222.15,3524.288,-1748.147
225.98,3527.3,-1748.403
229.8,3530.318,-1748.163
234.03,3533.347,-1748.053
237.67,3536.41,-1747.763
241.88,3539.413,-1748.281
245.9,3542.428,-1748.36
250.12,3545.484,-1748.18
254.12,3548.512,-1747.704
258.36,3551.604,-1747.612
262.75,3554.646,-1747.924
267.1,3557.658,-1748.019
271.63,3560.68,-1747.622
275.67,3563.694,-1747.877
280.13,3566.73,-1747.729
284.77,3569.737,-1748.325
289.22,3572.8,-1748.186
293.53,3575.836,-1747.79
298.32,3578.865,-1748.198
303.11,3581.886,-1748.066
308.25,3584.901,-1747.847
312.97,3587.905,-1748.272
317.85,3590.981,-1748.23
322.75,3594.042,-1748.361
327.17,3597.054,-1747.915
332.61,3600.06,-1748.289
337.38,3603.094,-1747.905
342.93,3606.132,-1748.169
348.05,3609.162,-1748.278
352.99,3612.183,-1747.999
358.7,3615.219,-1748.048
364.09,3618.256,-1747.57
369.51,3621.276,-1747.71
374.87,3624.277,-1748.044
380.51,3627.308,-1748.199
386.06,3630.329,-1747.942
392.01,3633.345,-1747.84
397.75,3636.378,-1748.752
403.44,3639.381,-1747.606
409.32,3642.401,-1747.998
415.72,3645.43,-1748.308
421.77,3648.444,-1747.825
428.04,3651.455,-1747.766
434.26,3654.482,-1748.144
440.3,3657.586,-1747.82
446.47,3660.605,-1747.841
452.58,3663.625,-1748.077
458.95,3666.669,-1747.681
466.11,3669.676,-1747.966
472.26,3672.732,-1747.904
479.48,3675.752,-1748.194
486.56,3678.795,-1747.857
493.33,3681.839,-1747.676
500.25,3684.874,-1748.378
507.52,3687.926,-1747.923
514.68,3690.945,-1748.108
521.99,3694.0,-1748.891
529.57,3697.001,-1748.127
537.14,3700.056,-1747.957
545.1,3703.068,-1747.889
552.51,3706.11,-1748.02
560.96,3709.121,-1747.707
569.91,3712.169,-1748.138
577.79,3715.188,-1748.29
586.47,3718.189,-1747.764
595.54,3721.205,-1747.818
604.47,3724.208,-1748.335
613.72,3727.237,-1747.703
623.57,3730.249,-1747.865
634.4,3733.267,-1748.023
645.35,3736.315,-1747.917
657.4,3739.374,-1747.854
671.36,3742.464,-1747.829
686.32,3745.494,-1748.157
701.58,3748.503,-1748.501
719.43,3751.505,-1747.988
739.8,3754.517,-1747.619
761.05,3757.549,-1748.144
787.46,3760.567,-1747.849
817.38,3763.578,-1747.791
845.18,3766.604,-1748.174
875.34,3769.679,-1747.937
909.8,3772.704,-1747.946
940.23,3775.736,-1747.96
975.39,3778.767,-1748.119
1010.9,3781.77,-1748.074
1044.93,3784.778,-1748.258
1080.41,3787.782,-1748.154
1115.04,3790.784,-1748.318
1151.35,3793.808,-1747.953
1187.23,3796.822,-1748.282
1222.17,3799.845,-1747.999
1260.69,3802.848,-1748.054
1293.94,3805.854,-1748.245
1330.49,3808.876,-1748.044
1367.3,3811.889,-1748.063
1401.39,3814.89,-1747.805
1434.87,3817.9,-1748.128
1468.82,3820.966,-1748.144
1503.81,3823.972,-1747.957
1538.0,3826.989,-1747.856
1572.49,3830.005,-1748.327
1605.66,3833.01,-1748.323
1637.54,3836.021,-1748.407
1669.9,3839.046,-1747.891
1701.62,3842.059,-1747.738
1733.66,3845.066,-1748.198
1764.63,3848.078,-1747.978
1797.21,3851.098,-1747.801
