Frequency[Hz],Z_real[ohm],Z_img[ohm]
1.000e+005,6.6729e-003,1.5558e-002
7.900e+004,6.4732e-003,1.2467e-002
6.300e+004,6.2275e-003,1.0138e-002
5.000e+004,6.0558e-003,8.2265e-003
4.000e+004,5.8901e-003,6.7357e-003
3.200e+004,5.7423e-003,5.5301e-003
2.500e+004,5.5748e-003,4.4714e-003
2.000e+004,5.4367e-003,3.6782e-003
1.600e+004,5.3039e-003,3.0443e-003
1.300e+004,5.1875e-003,2.5369e-003
1.000e+004,5.0545e-003,1.9967e-003
7.900e+003,4.9633e-003,1.5725e-003
6.300e+003,4.9018e-003,1.2219e-003
5.000e+003,4.8625e-003,9.1258e-004
4.000e+003,4.8502e-003,6.5412e-004
3.200e+003,4.8704e-003,4.2068e-004
2.500e+003,4.8990e-003,2.0054e-004
2.000e+003,4.9444e-003,4.1224e-005
1.600e+003,5.0054e-003,-9.5082e-005
1.300e+003,5.0778e-003,-2.1034e-004
1.000e+003,5.1744e-003,-3.2908e-004
7.899e+002,5.2599e-003,-4.1602e-004
6.301e+002,5.3568e-003,-4.9431e-004
5.000e+002,5.4575e-003,-5.5739e-004
4.000e+002,5.5561e-003,-6.0701e-004
3.200e+002,5.6528e-003,-6.6022e-004
2.500e+002,5.7674e-003,-7.0722e-004
2.000e+002,5.8856e-003,-7.4068e-004
1.600e+002,5.9972e-003,-7.8631e-004
1.300e+002,6.1069e-003,-8.3334e-004
1.000e+002,6.2480e-003,-8.7151e-004
7.900e+001,6.3907e-003,-9.1941e-004
6.300e+001,6.5233e-003,-9.5137e-004
5.000e+001,6.6679e-003,-9.8742e-004
4.000e+001,6.8216e-003,-1.0313e-003
3.200e+001,6.9737e-003,-1.0655e-003
2.500e+001,7.1579e-003,-1.1045e-003
2.000e+001,7.3474e-003,-1.1336e-003
1.600e+001,7.5341e-003,-1.1380e-003
1.300e+001,7.7053e-003,-1.1397e-003
1.000e+001,7.9249e-003,-1.1284e-003
7.900e+000,8.1336e-003,-1.0932e-003
6.300e+000,8.3197e-003,-1.0416e-003
5.000e+000,8.4831e-003,-9.5914e-004
4.000e+000,8.6176e-003,-9.0596e-004
3.200e+000,8.7361e-003,-8.3269e-004
2.500e+000,8.8572e-003,-7.6408e-004
2.000e+000,8.9245e-003,-7.0774e-004
1.600e+000,8.9990e-003,-6.6808e-004
1.300e+000,9.0790e-003,-6.4584e-004
1.000e+000,9.1809e-003,-6.4030e-004
7.900e-001,9.2395e-003,-6.3695e-004
6.300e-001,9.2995e-003,-6.4035e-004
5.000e-001,9.3620e-003,-6.6689e-004
4.000e-001,9.4652e-003,-7.0613e-004
3.200e-001,9.5193e-003,-7.5962e-004
2.500e-001,9.6024e-003,-8.1154e-004
2.000e-001,9.7084e-003,-8.7904e-004
1.600e-001,9.8127e-003,-9.6718e-004
1.300e-001,9.8954e-003,-1.0979e-003
1.000e-001,1.0039e-002,-1.2220e-003
7.900e-002,1.0171e-002,-1.3798e-003
6.300e-002,1.0312e-002,-1.5848e-003
5.000e-002,1.0480e-002,-1.7895e-003
4.000e-002,1.0650e-002,-2.0263e-003
3.200e-002,1.0850e-002,-2.3364e-003
2.500e-002,1.1108e-002,-2.7406e-003
2.000e-002,1.1404e-002,-3.1328e-003
1.600e-002,1.1698e-002,-3.6167e-003
1.300e-002,1.1980e-002,-4.1539e-003
1.000e-002,1.2531e-002,-4.9334e-003
