Frequency[Hz],Z_real[ohm],Z_img[ohm]
1.000e+005,6.9893e-003,1.4383e-002
7.900e+004,6.7223e-003,1.1588e-002
6.300e+004,6.5025e-003,9.4595e-003
5.000e+004,6.2845e-003,7.7017e-003
4.000e+004,6.1119e-003,6.3386e-003
3.200e+004,5.9298e-003,5.2222e-003
2.500e+004,5.7639e-003,4.2287e-003
2.000e+004,5.5989e-003,3.5030e-003
1.600e+004,5.4641e-003,2.8876e-003
1.300e+004,5.3421e-003,2.3973e-003
1.000e+004,5.2228e-003,1.8754e-003
7.900e+003,5.1300e-003,1.4747e-003
6.300e+003,5.0786e-003,1.1276e-003
5.000e+003,5.0354e-003,8.3423e-004
4.000e+003,5.0411e-003,5.8698e-004
3.200e+003,5.0497e-003,3.7039e-004
2.500e+003,5.0934e-003,1.5920e-004
2.000e+003,5.1429e-003,1.1026e-005
1.600e+003,5.2038e-003,-1.2191e-004
1.300e+003,5.2655e-003,-2.3058e-004
1.000e+003,5.3607e-003,-3.4378e-004
7.899e+002,5.4550e-003,-4.3220e-004
6.301e+002,5.5432e-003,-4.9820e-004
5.000e+002,5.6473e-003,-5.5795e-004
4.000e+002,5.7433e-003,-5.9363e-004
3.200e+002,5.8482e-003,-6.5365e-004
2.500e+002,5.9590e-003,-7.0636e-004
2.000e+002,6.0650e-003,-7.4609e-004
1.600e+002,6.1801e-003,-7.8950e-004
1.300e+002,6.2899e-003,-8.2595e-004
1.000e+002,6.4304e-003,-8.8803e-004
7.900e+001,6.5603e-003,-9.3416e-004
6.300e+001,6.6990e-003,-9.8079e-004
5.000e+001,6.8429e-003,-1.0254e-003
4.000e+001,6.9915e-003,-1.0716e-003
3.200e+001,7.1424e-003,-1.1309e-003
2.500e+001,7.3327e-003,-1.2008e-003
2.000e+001,7.5391e-003,-1.2516e-003
1.600e+001,7.7311e-003,-1.2786e-003
1.300e+001,7.9177e-003,-1.3069e-003
1.000e+001,8.1948e-003,-1.3407e-003
7.900e+000,8.4571e-003,-1.3391e-003
6.300e+000,8.7013e-003,-1.2977e-003
5.000e+000,8.9179e-003,-1.2191e-003
4.000e+000,9.1096e-003,-1.1389e-003
3.200e+000,9.2660e-003,-1.0531e-003
2.500e+000,9.4120e-003,-9.6203e-004
2.000e+000,9.5377e-003,-8.8889e-004
1.600e+000,9.6370e-003,-8.3594e-004
1.300e+000,9.7230e-003,-7.8810e-004
1.000e+000,9.8154e-003,-7.6240e-004
7.900e-001,9.9013e-003,-7.4757e-004
6.300e-001,9.9839e-003,-7.5846e-004
5.000e-001,1.0059e-002,-7.5352e-004
4.000e-001,1.0140e-002,-7.9405e-004
3.200e-001,1.0237e-002,-8.2256e-004
2.500e-001,1.0332e-002,-8.8813e-004
2.000e-001,1.0416e-002,-9.6524e-004
1.600e-001,1.0517e-002,-1.0430e-003
1.300e-001,1.0629e-002,-1.1198e-003
1.000e-001,1.0763e-002,-1.3013e-003
7.900e-002,1.0888e-002,-1.4387e-003
6.300e-002,1.1053e-002,-1.6339e-003
5.000e-002,1.1205e-002,-1.8670e-003
4.000e-002,1.1413e-002,-2.1289e-003
3.200e-002,1.1591e-002,-2.4539e-003
2.500e-002,1.1874e-002,-2.8375e-003
2.000e-002,1.2144e-002,-3.2882e-003
1.600e-002,1.2485e-002,-3.7839e-003
1.300e-002,1.2834e-002,-4.3224e-003
1.000e-002,1.3416e-002,-5.1211e-003
