time [sec],V [mV],I [mA]
8153.86,3204.003334,3.250791
8153.90,3207.535744,-316.397369
8153.92,3213.134766,-796.048939
8153.94,3218.725443,-1236.909866
8153.96,3223.248243,-1548.930883
8153.98,3226.480722,-1727.907062
8154.02,3229.636431,-1823.189855
8154.42,3232.683659,-1748.041630
8154.83,3235.816479,-1748.289824
8155.52,3238.908768,-1748.079777
8156.49,3241.940975,-1748.286963
8157.29,3244.951010,-1748.387098
8158.26,3248.030663,-1748.604655
8159.16,3251.085520,-1748.258114
8160.15,3254.129648,-1748.521328
8160.84,3257.138729,-1747.983813
8162.00,3260.205507,-1748.192191
8163.00,3263.210773,-1748.562217
8164.20,3266.309023,-1748.115420
8165.11,3269.328356,-1748.552561
8166.28,3272.365808,-1748.355746
8167.54,3275.388956,-1748.588204
8168.60,3278.418779,-1748.283505
8169.77,3281.495094,-1748.193860
8170.87,3284.605742,-1747.977614
8172.12,3287.635088,-1748.448253
8173.35,3290.683985,-1748.207211
8174.60,3293.745279,-1748.374939
8175.64,3296.790838,-1748.044610
8177.26,3300.001383,-1748.502612
8178.35,3303.030252,-1748.419166
8179.72,3306.145430,-1748.373389
8181.07,3309.265614,-1748.598576
8182.32,3312.270880,-1748.353124
8183.82,3315.313339,-1748.308659
8185.16,3318.393707,-1748.392105
8186.54,3321.449041,-1748.231173
8188.12,3324.468851,-1748.098254
8189.45,3327.488899,-1748.281598
8190.97,3330.501556,-1748.272538
8192.42,3333.648920,-1748.618484
8194.04,3336.652756,-1748.440623
8195.57,3339.675426,-1748.376608
8197.05,3342.742920,-1748.450279
8198.51,3345.808983,-1748.650074
8200.31,3348.847628,-1748.204589
8201.71,3351.944923,-1748.200774
8203.58,3354.954004,-1748.472214
8205.29,3357.993126,-1748.582959
8206.71,3361.042261,-1748.251915
8208.44,3364.044905,-1748.516202
8210.12,3367.053986,-1748.453379
8211.87,3370.108604,-1748.255134
8213.58,3373.108864,-1748.158097
8215.39,3376.126528,-1748.417735
8217.23,3379.145622,-1748.005509
8218.88,3382.192612,-1748.454690
8220.89,3385.230064,-1748.215318
8222.68,3388.241053,-1748.633146
8224.60,3391.243935,-1748.334885
8226.49,3394.317150,-1748.205066
8228.18,3397.336960,-1748.203993
8230.53,3400.380850,-1748.501301
8232.36,3403.403282,-1748.454332
8234.48,3406.511068,-1748.041987
8236.51,3409.594536,-1748.627782
8238.50,3412.604809,-1748.172283
8240.74,3415.655851,-1748.465657
8242.91,3418.688774,-1748.320818
8245.04,3421.702862,-1748.346210
8247.18,3424.723387,-1748.484731
8249.44,3427.764893,-1748.399734
8251.78,3430.804968,-1748.432517
8253.88,3433.812857,-1748.503685
8256.36,3436.814308,-1748.373508
8258.37,3439.823389,-1747.886419
8260.64,3442.864418,-1748.335838
8263.16,3445.930719,-1748.601675
8265.72,3449.003458,-1748.421073
8268.17,3452.054501,-1748.225212
8270.63,3455.110312,-1748.638034
8273.27,3458.113909,-1748.723269
8275.77,3461.153030,-1748.262167
8278.34,3464.181662,-1747.972369
8280.92,3467.229843,-1748.541951
8283.31,3470.268965,-1748.271823
8285.96,3473.338842,-1748.439312
8288.73,3476.372719,-1748.090148
8291.45,3479.409456,-1747.625113
8293.92,3482.429981,-1748.149514
8297.04,3485.435963,-1748.030305
8299.38,3488.440514,-1748.873234
8302.15,3491.457224,-1747.556329
8305.22,3494.465351,-1748.684764
8308.11,3497.469187,-1747.972131
8311.07,3500.476360,-1748.193860
8313.82,3503.551483,-1748.345494
8316.87,3506.594181,-1748.221278
8320.06,3509.641171,-1748.236895
8322.98,3512.665272,-1748.129368
8325.96,3515.689850,-1748.273373
8329.31,3518.721819,-1748.691678
8332.31,3521.760464,-1747.994423
8335.48,3524.806738,-1748.637795
8338.68,3527.816772,-1748.395562
8341.97,3530.852318,-1748.571754
8345.12,3533.895731,-1748.318315
8348.69,3536.934376,-1748.249173
8352.00,3539.975166,-1748.385191
8355.47,3542.984724,-1748.291373
8359.03,3545.991182,-1748.155236
8362.37,3549.066544,-1748.501062
8366.06,3552.068710,-1748.475909
8369.17,3555.109501,-1748.335481
8373.22,3558.178186,-1748.231411
8376.68,3561.190844,-1748.462081
8379.85,3564.264059,-1748.043895
8383.94,3567.306519,-1748.153448
8388.07,3570.314407,-1748.070836
8391.79,3573.315859,-1748.531103
8395.17,3576.357126,-1748.337746
8399.51,3579.426289,-1748.427868
8403.69,3582.426310,-1748.154879
8407.50,3585.431099,-1748.538733
8411.60,3588.467836,-1748.197317
8415.42,3591.503143,-1748.166800
8419.59,3594.516993,-1748.186827
8423.64,3597.559929,-1748.176575
8428.22,3600.568771,-1748.481393
8432.24,3603.577375,-1748.225093
8436.83,3606.581688,-1747.815132
8440.72,3609.596014,-1748.642206
8445.26,3612.672091,-1748.484015
8450.03,3615.711212,-1748.390913
8454.48,3618.764877,-1748.538256
8459.15,3621.817827,-1748.497486
8463.53,3624.851942,-1747.997046
8467.36,3627.894163,-1748.109102
8473.24,3630.895615,-1748.500943
8478.16,3633.930922,-1748.494387
8482.52,3636.951685,-1748.178005
8487.55,3639.963865,-1748.182893
8492.79,3642.985106,-1748.483777
8498.20,3646.021843,-1748.306870
8503.48,3649.037600,-1748.218060
8508.65,3652.055502,-1748.550892
8513.92,3655.081749,-1748.102069
8518.77,3658.212423,-1748.402953
8524.14,3661.290884,-1748.277783
8529.87,3664.297581,-1748.571038
8535.43,3667.314768,-1748.185635
8540.60,3670.350075,-1748.059750
8546.42,3673.364401,-1748.581171
8552.81,3676.378250,-1748.314261
8558.64,3679.396391,-1748.339772
8564.76,3682.413101,-1748.454690
8570.34,3685.426950,-1748.288035
8576.59,3688.438654,-1748.535275
8582.98,3691.451073,-1748.365879
8588.94,3694.453716,-1748.429656
8595.32,3697.466612,-1748.386979
8601.98,3700.520515,-1748.546720
8608.36,3703.556299,-1748.468995
8614.39,3706.661940,-1748.282433
8621.83,3709.719181,-1748.282552
8629.18,3712.735653,-1748.002768
8634.90,3715.741158,-1748.056293
8642.77,3718.775272,-1748.434305
8650.45,3721.785069,-1748.574734
8658.52,3724.788427,-1748.354793
8665.60,3727.827311,-1748.137951
8674.03,3730.875731,-1748.531222
8681.90,3733.896017,-1748.520494
8691.10,3736.913204,-1748.286724
8699.55,3739.933014,-1748.511672
8708.22,3742.941380,-1748.500705
8718.67,3746.002436,-1748.383045
8729.04,3749.041557,-1748.373866
8739.43,3752.138853,-1748.579621
8751.55,3755.167723,-1748.320460
8763.45,3758.210897,-1748.748541
8778.14,3761.217117,-1748.273730
8793.03,3764.251232,-1748.387337
8810.73,3767.253876,-1748.433590
8830.79,3770.284891,-1748.983026
8854.63,3773.299217,-1748.631358
8881.64,3776.312590,-1748.266220
8905.70,3779.340029,-1748.039484
8940.17,3782.342434,-1748.773932
8969.72,3785.400629,-1748.178005
9007.86,3788.426638,-1748.492479
9040.36,3791.468143,-1748.488665
9075.89,3794.468403,-1748.403788
9110.29,3797.494173,-1748.277068
9145.38,3800.497770,-1748.223543
9179.83,3803.537607,-1748.353601
9217.50,3806.545258,-1748.523474
9254.21,3809.596062,-1748.347044
9285.48,3812.609196,-1748.298645
9322.88,3815.625191,-1748.210311
9357.27,3818.692923,-1748.194575
9391.66,3821.733713,-1748.589993
9425.04,3824.768305,-1748.296499
9460.17,3827.782393,-1748.645663
9491.95,3830.832720,-1748.008132
9524.60,3833.870888,-1748.471260
9556.86,3836.937904,-1748.542786
9587.56,3839.967251,-1748.371482
9618.23,3842.967510,-1748.903751
9649.43,3845.977306,-1748.193145
9677.47,3848.997593,-1748.506427
9707.38,3852.003574,-1748.250127
9737.16,3855.040789,-1748.409867
9767.05,3858.075380,-1748.447776
9793.91,3861.088991,-1748.122215
9820.54,3864.130020,-1748.185635
9850.45,3867.234230,-1748.731613
9879.28,3870.262384,-1748.321176
9904.68,3873.268604,-1748.376608
9933.97,3876.350641,-1748.948097
9962.05,3879.388571,-1748.450041
9991.89,3882.430792,-1748.516440
10019.39,3885.497570,-1748.049736
10048.81,3888.506651,-1748.470306
10078.18,3891.511202,-1747.959375
10110.65,3894.541502,-1748.227000
10139.96,3897.571325,-1748.059869
10172.14,3900.577545,-1748.363137
10199.79,3903.609753,-1748.193979
10232.49,3906.649828,-1748.341680
10260.00,3909.653902,-1748.417377
10294.75,3912.653923,-1748.393655
10325.67,3915.702820,-1748.601675
10354.98,3918.783426,-1748.168349
10389.28,3921.802282,-1748.348951
10419.79,3924.844503,-1748.738289
10451.35,3927.855492,-1748.470306
10485.01,3930.866003,-1748.608112
10516.97,3933.920383,-1748.191833
10545.79,3936.929941,-1748.475909
10583.62,3939.931631,-1748.262525
10609.54,3942.962885,-1747.979999
10644.17,3945.998430,-1748.271823
10677.98,3949.056149,-1748.300433
10712.88,3952.100992,-1748.296499
10749.78,3955.108404,-1748.028636
10784.32,3958.123684,-1748.350739
10820.31,3961.170912,-1748.601317
10854.21,3964.172840,-1748.516083
10888.91,3967.174292,-1748.839140
10927.24,3970.189095,-1748.297095
10962.84,3973.206282,-1748.199701
11001.20,3976.237059,-1748.300552
11032.65,3979.252815,-1748.245001
11070.16,3982.257843,-1749.130249
11108.90,3985.264540,-1748.180151
11144.80,3988.264799,-1748.429894
11174.69,3991.275072,-1748.028874
11208.27,3994.323254,-1748.038769
11252.63,3997.349024,-1748.351097
11290.08,4000.395775,-1748.229027
11325.70,4003.447533,-1748.014450
11364.46,4006.475449,-1748.365879
11397.94,4009.501457,-1748.300076
11440.08,4012.528419,-1748.397112
11475.79,4015.533447,-1748.551130
11513.42,4018.573284,-1748.253226
11552.74,4021.585464,-1748.714328
11592.52,4024.610996,-1748.363733
