Frequency[Hz],Z_real[ohm],Z_img[ohm]
1.000e+005,6.9931e-003,1.4210e-002
7.900e+004,6.7226e-003,1.1412e-002
6.300e+004,6.5408e-003,9.2967e-003
5.000e+004,6.3386e-003,7.5801e-003
4.000e+004,6.1832e-003,6.2378e-003
3.200e+004,6.0044e-003,5.1593e-003
2.500e+004,5.8290e-003,4.1705e-003
2.000e+004,5.6809e-003,3.4626e-003
1.600e+004,5.5390e-003,2.8562e-003
1.300e+004,5.4151e-003,2.3763e-003
1.000e+004,5.2925e-003,1.8533e-003
7.900e+003,5.1996e-003,1.4523e-003
6.300e+003,5.1453e-003,1.1223e-003
5.000e+003,5.1142e-003,8.2540e-004
4.000e+003,5.1089e-003,5.7149e-004
3.200e+003,5.1204e-003,3.5745e-004
2.500e+003,5.1619e-003,1.5808e-004
2.000e+003,5.2124e-003,-2.6916e-006
1.600e+003,5.2820e-003,-1.2935e-004
1.300e+003,5.3431e-003,-2.3790e-004
1.000e+003,5.4355e-003,-3.5057e-004
7.899e+002,5.5373e-003,-4.3990e-004
6.301e+002,5.6301e-003,-4.9919e-004
5.000e+002,5.7247e-003,-5.7067e-004
4.000e+002,5.8295e-003,-6.1773e-004
3.200e+002,5.9274e-003,-6.5731e-004
2.500e+002,6.0444e-003,-7.1272e-004
2.000e+002,6.1442e-003,-7.6885e-004
1.600e+002,6.2587e-003,-7.9990e-004
1.300e+002,6.3699e-003,-8.4037e-004
1.000e+002,6.5173e-003,-8.9191e-004
7.900e+001,6.6481e-003,-9.3773e-004
6.300e+001,6.7951e-003,-9.7482e-004
5.000e+001,6.9271e-003,-1.0272e-003
4.000e+001,7.1024e-003,-1.0730e-003
3.200e+001,7.2503e-003,-1.1337e-003
2.500e+001,7.4418e-003,-1.2032e-003
2.000e+001,7.6483e-003,-1.2317e-003
1.600e+001,7.8481e-003,-1.2560e-003
1.300e+001,8.0403e-003,-1.2760e-003
1.000e+001,8.2910e-003,-1.2904e-003
7.900e+000,8.5365e-003,-1.2682e-003
6.300e+000,8.7547e-003,-1.2138e-003
5.000e+000,8.9596e-003,-1.1399e-003
4.000e+000,9.1285e-003,-1.0566e-003
3.200e+000,9.2725e-003,-9.7161e-004
2.500e+000,9.4033e-003,-8.8107e-004
2.000e+000,9.5074e-003,-8.3151e-004
1.600e+000,9.6113e-003,-7.7261e-004
1.300e+000,9.6800e-003,-7.4231e-004
1.000e+000,9.7668e-003,-7.1426e-004
7.900e-001,9.8659e-003,-7.1529e-004
6.300e-001,9.9307e-003,-7.0586e-004
5.000e-001,1.0011e-002,-7.2819e-004
4.000e-001,1.0113e-002,-7.5760e-004
3.200e-001,1.0185e-002,-7.9748e-004
2.500e-001,1.0275e-002,-8.4279e-004
2.000e-001,1.0361e-002,-9.3640e-004
1.600e-001,1.0456e-002,-1.0139e-003
1.300e-001,1.0548e-002,-1.1197e-003
1.000e-001,1.0707e-002,-1.2640e-003
7.900e-002,1.0853e-002,-1.4395e-003
6.300e-002,1.0979e-002,-1.6311e-003
5.000e-002,1.1166e-002,-1.8636e-003
4.000e-002,1.1350e-002,-2.1325e-003
3.200e-002,1.1558e-002,-2.4279e-003
2.500e-002,1.1824e-002,-2.8222e-003
2.000e-002,1.2119e-002,-3.2642e-003
1.600e-002,1.2457e-002,-3.7417e-003
1.300e-002,1.2798e-002,-4.2841e-003
1.000e-002,1.3362e-002,-5.0552e-003
