Frequency[Hz],Z_real[ohm],Z_img[ohm]
1.000e+005,6.8981e-003,1.5313e-002
7.900e+004,6.6214e-003,1.2334e-002
6.300e+004,6.4209e-003,1.0015e-002
5.000e+004,6.2215e-003,8.1173e-003
4.000e+004,6.0764e-003,6.6538e-003
3.200e+004,5.9315e-003,5.4580e-003
2.500e+004,5.7667e-003,4.4173e-003
2.000e+004,5.6268e-003,3.6427e-003
1.600e+004,5.5082e-003,2.9947e-003
1.300e+004,5.3810e-003,2.5054e-003
1.000e+004,5.2585e-003,1.9572e-003
7.900e+003,5.1742e-003,1.5394e-003
6.300e+003,5.1017e-003,1.1897e-003
5.000e+003,5.0686e-003,8.8192e-004
4.000e+003,5.0608e-003,6.2137e-004
3.200e+003,5.0807e-003,3.9342e-004
2.500e+003,5.1117e-003,1.8088e-004
2.000e+003,5.1684e-003,1.7658e-005
1.600e+003,5.2314e-003,-1.2428e-004
1.300e+003,5.3022e-003,-2.3292e-004
1.000e+003,5.4057e-003,-3.5166e-004
7.899e+002,5.4949e-003,-4.4670e-004
6.301e+002,5.5946e-003,-5.1586e-004
5.000e+002,5.6904e-003,-5.7402e-004
4.000e+002,5.7919e-003,-6.2887e-004
3.200e+002,5.8997e-003,-6.7976e-004
2.500e+002,6.0208e-003,-7.3110e-004
2.000e+002,6.1337e-003,-7.7297e-004
1.600e+002,6.2442e-003,-8.2033e-004
1.300e+002,6.3548e-003,-8.5250e-004
1.000e+002,6.5086e-003,-9.0584e-004
7.900e+001,6.6538e-003,-9.4917e-004
6.300e+001,6.7903e-003,-9.9104e-004
5.000e+001,6.9307e-003,-1.0305e-003
4.000e+001,7.0934e-003,-1.0863e-003
3.200e+001,7.2512e-003,-1.1232e-003
2.500e+001,7.4565e-003,-1.1764e-003
2.000e+001,7.6540e-003,-1.2023e-003
1.600e+001,7.8463e-003,-1.2222e-003
1.300e+001,8.0263e-003,-1.2259e-003
1.000e+001,8.2815e-003,-1.2233e-003
7.900e+000,8.5039e-003,-1.1913e-003
6.300e+000,8.7036e-003,-1.1439e-003
5.000e+000,8.8936e-003,-1.0599e-003
4.000e+000,9.0461e-003,-9.7387e-004
3.200e+000,9.1741e-003,-9.0284e-004
2.500e+000,9.2997e-003,-8.3503e-004
2.000e+000,9.3909e-003,-7.7205e-004
1.600e+000,9.4755e-003,-7.2744e-004
1.300e+000,9.5403e-003,-6.9661e-004
1.000e+000,9.6467e-003,-6.6980e-004
7.900e-001,9.7073e-003,-6.7285e-004
6.300e-001,9.8068e-003,-6.8747e-004
5.000e-001,9.8367e-003,-6.8241e-004
4.000e-001,9.9635e-003,-7.0449e-004
3.200e-001,1.0027e-002,-7.7170e-004
2.500e-001,1.0123e-002,-8.4477e-004
2.000e-001,1.0182e-002,-9.2361e-004
1.600e-001,1.0287e-002,-9.9632e-004
1.300e-001,1.0396e-002,-1.1075e-003
1.000e-001,1.0522e-002,-1.2748e-003
7.900e-002,1.0646e-002,-1.4360e-003
6.300e-002,1.0802e-002,-1.6079e-003
5.000e-002,1.0961e-002,-1.8043e-003
4.000e-002,1.1131e-002,-2.0739e-003
3.200e-002,1.1334e-002,-2.3717e-003
2.500e-002,1.1600e-002,-2.7613e-003
2.000e-002,1.1870e-002,-3.1876e-003
1.600e-002,1.2179e-002,-3.6804e-003
1.300e-002,1.2562e-002,-4.2417e-003
1.000e-002,1.3091e-002,-4.9455e-003
