time [sec],V [mV],I [mA]
0.0,3170.69,0.377
0.04,3173.741,-330.483
0.06,3178.488,-811.171
0.08,3183.142,-1248.247
0.1,3186.801,-1555.226
0.13,3190.045,-1777.705
0.41,3193.082,-1746.134
1.01,3196.097,-1746.569
1.79,3199.098,-1746.336
2.55,3202.147,-1746.32
3.52,3205.18,-1745.602
4.39,3208.21,-1746.323
5.45,3211.245,-1748.095
6.38,3214.285,-1749.934
7.48,3217.3,-1750.896
8.56,3220.36,-1748.439
9.77,3223.372,-1745.913
10.88,3226.412,-1747.521
12.04,3229.453,-1750.5
13.32,3232.536,-1749.826
14.49,3235.537,-1745.994
15.71,3238.561,-1747.259
17.0,3241.632,-1750.996
18.22,3244.654,-1749.411
19.57,3247.674,-1745.905
20.97,3250.708,-1751.049
22.16,3253.748,-1745.61
23.58,3256.765,-1751.067
25.03,3259.8,-1745.611
26.32,3262.807,-1750.992
27.76,3265.817,-1745.774
29.28,3268.836,-1751.227
30.86,3271.867,-1745.903
32.11,3274.895,-1750.211
33.61,3277.916,-1746.386
35.11,3280.943,-1751.284
36.77,3283.988,-1748.942
38.4,3286.994,-1745.471
39.93,3290.094,-1748.116
41.49,3293.099,-1751.162
43.3,3296.104,-1750.528
44.95,3299.169,-1748.17
46.71,3302.179,-1745.443
48.32,3305.189,-1748.746
50.06,3308.197,-1750.804
51.66,3311.199,-1745.707
53.57,3314.202,-1750.02
55.08,3317.227,-1746.632
57.27,3320.247,-1747.349
59.05,3323.261,-1749.607
60.99,3326.348,-1746.373
62.86,3329.358,-1749.027
64.79,3332.4,-1750.047
66.51,3335.439,-1745.981
68.79,3338.454,-1747.264
70.68,3341.493,-1750.086
72.62,3344.588,-1750.427
74.86,3347.641,-1751.512
76.73,3350.717,-1750.422
79.19,3353.726,-1745.968
81.45,3356.733,-1748.634
83.43,3359.775,-1749.632
85.53,3362.826,-1748.348
87.82,3365.829,-1745.697
90.1,3368.855,-1746.662
92.33,3371.871,-1750.702
94.72,3374.917,-1748.699
97.26,3377.996,-1750.53
99.29,3380.996,-1746.281
101.8,3384.016,-1745.946
104.05,3387.068,-1745.524
106.73,3390.14,-1748.869
