time [sec],V [mV],I [mA]
348494.74,3201.984,3.328
348494.78,3205.307,-312.677
348494.80,3210.505,-792.043
348494.82,3215.861,-1233.899
348494.84,3220.106,-1547.307
348494.87,3223.949,-1776.977
348494.99,3227.071,-1750.922
348495.34,3230.089,-1748.424
348496.08,3233.141,-1748.611
348496.90,3236.249,-1749.172
348497.88,3239.380,-1749.026
348498.70,3242.404,-1748.857
348499.71,3245.549,-1748.931
348500.65,3248.633,-1749.008
348501.77,3251.695,-1748.651
348502.78,3254.843,-1749.326
348503.93,3257.890,-1749.207
348504.94,3260.920,-1748.991
348506.06,3263.935,-1748.693
348507.36,3266.959,-1749.436
348508.49,3269.962,-1749.092
348509.70,3273.023,-1748.808
348510.97,3276.073,-1748.605
348512.07,3279.101,-1748.838
348513.30,3282.114,-1749.286
348514.71,3285.177,-1748.964
348516.05,3288.239,-1749.035
348517.42,3291.261,-1748.924
348518.68,3294.301,-1748.709
348520.02,3297.370,-1748.692
348521.41,3300.387,-1748.731
348522.77,3303.395,-1748.830
348524.05,3306.525,-1748.855
348525.66,3309.533,-1749.028
348527.04,3312.557,-1748.905
348528.59,3315.567,-1748.721
348530.03,3318.609,-1749.230
348531.75,3321.661,-1749.169
348533.26,3324.666,-1748.895
348534.49,3327.678,-1748.792
348536.49,3330.703,-1749.353
348537.94,3333.779,-1748.608
348539.57,3336.786,-1748.703
348541.34,3339.842,-1748.924
348543.01,3342.883,-1749.195
348544.76,3345.901,-1748.595
348546.35,3348.963,-1748.749
348548.15,3351.974,-1748.779
348549.84,3354.992,-1748.453
348551.92,3358.027,-1748.613
348553.35,3361.056,-1748.693
348555.59,3364.098,-1749.065
348557.32,3367.112,-1749.038
348559.32,3370.121,-1748.945
348561.02,3373.143,-1749.054
348563.06,3376.151,-1748.770
348564.90,3379.170,-1748.443
348567.02,3382.214,-1748.751
348568.90,3385.260,-1748.989
348571.07,3388.335,-1749.283
348573.13,3391.377,-1748.831
348575.41,3394.430,-1748.865
348577.36,3397.435,-1749.037
348579.66,3400.504,-1749.300
348582.03,3403.521,-1749.051
348583.98,3406.542,-1749.005
348586.36,3409.669,-1749.350
348588.32,3412.692,-1749.243
348590.77,3415.745,-1748.706
348593.47,3418.774,-1748.842
348595.77,3421.837,-1749.078
348598.00,3424.851,-1748.989
348600.58,3427.877,-1748.668
348602.89,3430.912,-1748.562
348605.46,3433.963,-1748.845
348607.89,3437.001,-1749.134
348610.49,3440.026,-1748.971
348613.03,3443.072,-1749.219
348615.60,3446.081,-1748.581
348618.32,3449.087,-1748.721
348620.94,3452.101,-1748.637
348623.44,3455.176,-1748.695
348626.46,3458.197,-1748.775
348629.05,3461.253,-1748.722
348631.94,3464.254,-1748.944
348634.54,3467.294,-1748.901
348637.40,3470.306,-1748.871
348640.28,3473.380,-1748.871
348643.20,3476.398,-1748.990
348646.27,3479.437,-1749.042
348649.48,3482.500,-1748.843
348652.52,3485.596,-1749.145
348655.40,3488.650,-1748.907
348658.56,3491.679,-1749.222
348661.71,3494.680,-1748.983
348664.58,3497.703,-1748.878
348667.69,3500.781,-1748.886
348671.21,3503.791,-1749.242
348674.26,3506.851,-1749.041
348677.72,3509.855,-1748.530
348680.56,3512.864,-1748.962
348684.27,3515.912,-1748.653
348687.76,3518.944,-1748.517
348691.19,3521.987,-1748.946
348694.48,3525.006,-1748.740
348697.83,3528.038,-1748.934
348701.56,3531.065,-1748.841
348705.01,3534.108,-1748.682
348708.66,3537.124,-1748.520
348712.38,3540.128,-1749.257
348716.07,3543.139,-1748.894
348719.65,3546.146,-1749.075
348723.50,3549.156,-1748.615
348727.32,3552.204,-1748.684
348731.32,3555.235,-1748.872
348735.00,3558.245,-1748.774
348738.96,3561.260,-1749.196
348743.03,3564.290,-1748.877
348746.68,3567.324,-1748.684
348751.04,3570.353,-1748.738
348755.26,3573.378,-1748.839
348759.27,3576.404,-1748.722
348763.31,3579.463,-1749.237
348767.68,3582.484,-1749.342
348772.03,3585.516,-1748.906
348776.20,3588.567,-1749.035
348780.79,3591.620,-1748.854
348785.56,3594.678,-1749.269
348789.82,3597.681,-1748.438
348794.25,3600.703,-1748.696
348798.79,3603.750,-1748.617
348803.34,3606.814,-1749.076
348808.35,3609.848,-1749.322
348812.83,3612.866,-1748.816
348817.68,3615.871,-1748.717
348822.69,3618.875,-1748.841
348827.28,3621.927,-1748.941
348832.57,3624.967,-1748.693
348837.15,3627.971,-1748.558
348842.15,3630.977,-1749.377
348847.53,3633.981,-1749.234
348852.69,3637.003,-1748.750
348858.13,3640.023,-1749.035
348863.12,3643.050,-1748.997
348869.30,3646.079,-1748.463
348874.83,3649.105,-1749.078
348880.04,3652.183,-1748.668
348885.89,3655.215,-1748.755
348891.54,3658.245,-1749.178
348897.65,3661.295,-1748.871
348903.72,3664.296,-1748.647
348909.37,3667.299,-1748.806
348915.21,3670.315,-1748.761
348920.93,3673.342,-1748.925
348927.44,3676.350,-1748.840
348933.91,3679.394,-1748.887
348940.17,3682.396,-1748.661
348946.78,3685.505,-1749.225
348953.68,3688.528,-1748.764
348960.49,3691.566,-1748.813
348966.71,3694.660,-1748.621
348974.94,3697.664,-1748.592
348981.19,3700.679,-1748.845
348988.78,3703.692,-1748.744
348996.33,3706.693,-1749.289
349003.73,3709.744,-1748.761
349011.77,3712.755,-1749.121
349019.65,3715.818,-1748.841
349027.98,3718.833,-1749.106
349036.39,3721.930,-1748.957
349045.96,3724.946,-1748.914
349054.74,3727.952,-1749.356
349063.65,3730.955,-1748.930
349073.41,3733.999,-1748.848
349083.61,3737.006,-1748.868
349095.31,3740.013,-1748.936
349105.80,3743.037,-1749.057
349118.14,3746.057,-1748.723
349131.82,3749.060,-1749.011
349145.33,3752.074,-1748.838
349159.43,3755.165,-1748.468
349177.33,3758.248,-1749.166
349198.02,3761.361,-1748.817
349221.80,3764.455,-1749.081
349244.72,3767.473,-1748.834
349274.85,3770.521,-1748.680
349302.56,3773.539,-1748.992
349333.71,3776.550,-1748.579
349362.44,3779.583,-1748.375
349395.65,3782.654,-1748.671
349428.51,3785.657,-1748.898
349465.66,3788.696,-1748.963
349496.46,3791.706,-1748.554
349530.43,3794.764,-1748.667
349566.48,3797.778,-1748.682
349599.45,3800.794,-1748.713
349633.01,3803.833,-1748.860
349670.28,3806.839,-1748.908
349705.39,3809.850,-1748.685
349738.28,3812.862,-1748.989
349770.96,3815.863,-1748.737
349804.02,3818.869,-1749.263
349836.15,3821.889,-1748.663
349866.40,3824.905,-1749.346
349899.51,3827.930,-1748.924
349930.03,3830.938,-1748.653
349963.97,3834.053,-1748.921
349995.02,3837.083,-1748.562
350025.97,3840.141,-1749.036
350058.13,3843.141,-1749.079
350087.83,3846.216,-1748.711
