time [sec],V [mV],I [mA]
00:27.4,3189.817,0.795
00:27.5,3193.292,-338.194
00:27.5,3198.744,-820.482
00:27.5,3204.221,-1256.446
00:27.5,3208.554,-1561.686
00:27.6,3212.445,-1781.744
00:27.8,3215.497,-1748.875
00:28.3,3218.521,-1749.912
00:28.9,3221.555,-1749.769
00:29.7,3224.572,-1749.877
00:30.5,3227.59,-1750.264
00:31.4,3230.617,-1750.226
00:32.3,3233.661,-1750.103
00:33.2,3236.661,-1750.13
00:34.2,3239.769,-1749.943
00:35.2,3242.778,-1750.066
00:36.1,3245.788,-1750.058
00:37.2,3248.809,-1749.988
00:38.4,3251.923,-1750.1
00:39.4,3254.947,-1750.209
00:40.5,3257.951,-1749.951
00:41.7,3261.012,-1749.98
00:42.8,3264.038,-1750.003
00:44.0,3267.06,-1750.269
00:45.2,3270.065,-1750.133
00:46.4,3273.088,-1750.14
00:47.7,3276.089,-1750.207
00:48.8,3279.14,-1750.093
00:50.1,3282.141,-1749.795
00:51.5,3285.146,-1750.231
00:52.7,3288.209,-1749.789
00:54.0,3291.234,-1750.018
00:55.4,3294.348,-1749.442
00:56.8,3297.356,-1749.713
00:58.2,3300.408,-1749.91
00:59.6,3303.44,-1750.114
01:01.0,3306.442,-1749.736
01:02.4,3309.51,-1749.786
01:04.0,3312.568,-1750.11
01:05.4,3315.577,-1750.052
01:06.9,3318.597,-1750.102
01:08.5,3321.615,-1750.044
01:10.0,3324.618,-1750.541
01:11.5,3327.661,-1750.183
01:13.1,3330.672,-1750.11
01:14.7,3333.693,-1749.775
01:16.4,3336.721,-1750.228
01:18.0,3339.732,-1750.08
01:19.7,3342.754,-1750.324
01:21.5,3345.789,-1750.005
01:23.2,3348.789,-1749.771
01:24.8,3351.81,-1750.15
01:26.7,3354.815,-1750.058
01:28.5,3357.829,-1749.863
01:30.3,3360.865,-1750.339
01:31.9,3363.874,-1750.061
01:34.0,3366.876,-1750.198
01:36.0,3369.889,-1750.639
01:37.8,3372.909,-1750.58
01:39.7,3375.934,-1750.272
01:41.7,3378.998,-1750.253
01:43.8,3382.021,-1749.922
01:45.6,3385.113,-1749.738
01:47.8,3388.161,-1749.951
01:49.9,3391.175,-1750.054
01:52.1,3394.175,-1750.337
01:54.2,3397.244,-1750.308
01:56.5,3400.32,-1750.055
01:58.5,3403.386,-1750.006
02:00.8,3406.414,-1749.818
02:03.0,3409.439,-1750.383
02:05.3,3412.537,-1750.244
02:07.7,3415.569,-1750.087
02:10.0,3418.613,-1750.235
02:12.4,3421.626,-1750.12
02:14.4,3424.683,-1750.414
02:17.1,3427.711,-1750.427
02:19.4,3430.713,-1750.029
02:21.7,3433.728,-1749.677
02:24.4,3436.778,-1750.261
02:26.9,3439.803,-1750.295
02:29.5,3442.835,-1750.034
02:32.1,3445.889,-1749.764
02:34.4,3448.937,-1749.476
02:37.4,3451.958,-1750.026
02:40.0,3455.014,-1749.953
02:42.7,3458.02,-1750.161
02:45.3,3461.067,-1750.132
02:48.0,3464.109,-1750.337
02:51.0,3467.123,-1750.439
02:53.7,3470.15,-1750.001
02:56.3,3473.185,-1749.774
02:59.3,3476.222,-1750.087
03:02.3,3479.25,-1750.046
03:05.3,3482.259,-1750.259
03:08.3,3485.291,-1749.963
03:11.3,3488.292,-1749.973
03:14.2,3491.327,-1750.012
03:17.3,3494.416,-1749.616
03:20.5,3497.458,-1749.699
03:23.7,3500.468,-1750.185
03:26.7,3503.486,-1749.564
03:29.7,3506.524,-1749.941
03:33.2,3509.534,-1750.499
03:36.4,3512.547,-1750.391
03:39.6,3515.548,-1749.693
03:43.1,3518.551,-1749.999
03:46.3,3521.579,-1750.519
03:49.7,3524.61,-1750.137
03:53.2,3527.67,-1749.724
03:56.8,3530.693,-1750.52
04:00.5,3533.722,-1750.05
04:04.1,3536.726,-1749.887
04:07.3,3539.741,-1750.349
04:11.2,3542.802,-1750.234
04:14.8,3545.842,-1750.006
04:18.6,3548.853,-1749.968
04:22.2,3551.91,-1750.299
04:26.1,3554.967,-1750.293
04:30.2,3558.006,-1749.977
04:33.7,3561.017,-1750.168
04:37.8,3564.031,-1750.459
04:41.8,3567.068,-1749.974
04:45.8,3570.07,-1750.196
04:49.6,3573.071,-1750.029
04:53.6,3576.076,-1749.992
04:57.8,3579.13,-1750.308
05:01.9,3582.21,-1750.158
05:06.5,3585.219,-1750.259
05:10.4,3588.254,-1750.494
05:14.9,3591.364,-1749.762
05:19.4,3594.384,-1749.826
05:23.9,3597.384,-1750.357
05:28.2,3600.4,-1750.387
05:32.8,3603.424,-1750.363
05:37.1,3606.429,-1749.724
05:41.7,3609.456,-1750.241
05:46.2,3612.47,-1750.131
