time [sec],V [mV],I [mA]
0.0,3171.177,-2.901
0.05,3176.41,-568.414
0.07,3181.325,-1045.605
0.09,3185.467,-1421.714
0.12,3189.403,-1732.247
0.33,3192.492,-1743.425
0.82,3195.53,-1746.901
1.57,3198.543,-1749.808
2.24,3201.551,-1746.01
3.16,3204.62,-1749.713
4.11,3207.687,-1747.116
5.25,3210.715,-1747.233
6.16,3213.789,-1749.931
7.21,3216.801,-1746.096
8.31,3219.806,-1751.081
9.43,3222.828,-1745.723
10.64,3225.837,-1750.357
11.77,3228.903,-1745.936
12.92,3231.926,-1750.695
14.14,3234.943,-1745.537
15.42,3237.993,-1751.038
16.59,3241.019,-1746.543
17.95,3244.096,-1749.427
19.24,3247.112,-1748.467
20.51,3250.112,-1746.409
21.77,3253.164,-1751.151
23.4,3256.268,-1747.016
24.59,3259.307,-1745.348
26.1,3262.341,-1747.928
27.68,3265.356,-1750.662
28.92,3268.41,-1750.443
30.47,3271.422,-1750.388
32.0,3274.448,-1749.285
33.37,3277.458,-1746.248
35.0,3280.492,-1745.219
36.54,3283.512,-1748.034
38.26,3286.554,-1750.716
39.8,3289.618,-1745.811
41.3,3292.618,-1751.329
43.08,3295.62,-1747.13
44.72,3298.643,-1746.325
46.56,3301.654,-1749.543
48.09,3304.663,-1750.568
50.02,3307.672,-1751.288
51.61,3310.678,-1751.286
53.42,3313.682,-1747.879
55.3,3316.714,-1746.748
57.08,3319.78,-1751.713
59.01,3322.842,-1747.063
61.07,3325.843,-1746.364
62.77,3328.853,-1751.43
64.78,3331.862,-1751.132
66.6,3334.879,-1748.699
68.71,3337.906,-1750.936
70.81,3340.97,-1747.185
72.88,3344.011,-1747.381
74.99,3347.115,-1750.067
77.19,3350.13,-1751.183
79.28,3353.174,-1747.407
81.44,3356.182,-1745.796
83.48,3359.193,-1749.311
85.98,3362.252,-1745.825
87.95,3365.269,-1748.701
90.19,3368.279,-1747.55
92.51,3371.333,-1746.496
94.81,3374.34,-1745.455
97.34,3377.352,-1751.291
99.45,3380.392,-1751.315
101.92,3383.394,-1745.911
104.64,3386.418,-1746.76
107.06,3389.438,-1748.39
109.4,3392.469,-1750.899
