time [sec],V [mV],I [mA]
3 04:49:05.01,3200.361,3.241
3 04:49:05.05,3203.454,-312.248
3 04:49:05.07,3208.679,-791.412
3 04:49:05.09,3214.124,-1233.232
3 04:49:05.11,3218.440,-1546.503
3 04:49:05.14,3222.274,-1776.380
3 04:49:05.28,3225.276,-1745.934
3 04:49:05.66,3228.329,-1748.349
3 04:49:06.42,3231.371,-1748.642
3 04:49:07.18,3234.413,-1748.580
3 04:49:08.08,3237.490,-1748.749
3 04:49:08.95,3240.529,-1748.696
3 04:49:10.01,3243.588,-1748.617
3 04:49:10.85,3246.596,-1748.644
3 04:49:11.99,3249.676,-1748.903
3 04:49:13.05,3252.696,-1748.857
3 04:49:14.13,3255.701,-1748.603
3 04:49:15.18,3258.713,-1749.080
3 04:49:16.30,3261.817,-1748.668
3 04:49:17.54,3264.835,-1748.761
3 04:49:18.61,3267.862,-1748.695
3 04:49:19.87,3270.911,-1748.753
3 04:49:21.00,3273.924,-1748.416
3 04:49:22.39,3276.952,-1748.651
3 04:49:23.40,3279.968,-1749.094
3 04:49:24.68,3282.988,-1748.644
3 04:49:26.06,3286.034,-1749.097
3 04:49:27.48,3289.064,-1748.776
3 04:49:28.81,3292.075,-1749.004
3 04:49:30.12,3295.118,-1749.242
3 04:49:31.47,3298.132,-1748.891
3 04:49:32.80,3301.140,-1748.659
3 04:49:34.20,3304.161,-1748.741
3 04:49:35.58,3307.162,-1748.898
3 04:49:36.89,3310.183,-1748.969
3 04:49:38.51,3313.235,-1748.860
3 04:49:40.09,3316.255,-1748.703
3 04:49:41.61,3319.274,-1748.977
3 04:49:43.20,3322.282,-1748.820
3 04:49:44.76,3325.310,-1748.714
3 04:49:46.28,3328.318,-1748.990
3 04:49:47.91,3331.320,-1748.821
3 04:49:49.53,3334.380,-1748.645
3 04:49:51.26,3337.414,-1748.636
3 04:49:52.96,3340.434,-1748.830
3 04:49:54.56,3343.440,-1748.543
3 04:49:56.46,3346.505,-1748.782
3 04:49:58.01,3349.539,-1748.852
3 04:49:59.85,3352.554,-1748.373
3 04:50:01.53,3355.571,-1749.127
3 04:50:03.50,3358.611,-1748.914
3 04:50:05.31,3361.653,-1748.946
3 04:50:07.23,3364.692,-1748.787
3 04:50:09.05,3367.718,-1748.637
3 04:50:11.01,3370.739,-1748.875
3 04:50:13.05,3373.810,-1748.754
3 04:50:15.03,3376.854,-1748.548
3 04:50:17.00,3379.869,-1748.776
3 04:50:18.94,3382.914,-1748.811
3 04:50:21.08,3385.953,-1748.498
