Frequency[Hz],Z_real[ohm],Z_img[ohm]
1.000e+005,7.1883e-003,1.4492e-002
7.900e+004,6.9414e-003,1.1662e-002
6.300e+004,6.7420e-003,9.4909e-003
5.000e+004,6.5948e-003,7.6965e-003
4.000e+004,6.4373e-003,6.3174e-003
3.200e+004,6.2756e-003,5.1923e-003
2.500e+004,6.1119e-003,4.1956e-003
2.000e+004,5.9733e-003,3.4674e-003
1.600e+004,5.8425e-003,2.8520e-003
1.300e+004,5.7345e-003,2.3667e-003
1.000e+004,5.6145e-003,1.8481e-003
7.900e+003,5.5304e-003,1.4368e-003
6.300e+003,5.4834e-003,1.1030e-003
5.000e+003,5.4525e-003,8.0789e-004
4.000e+003,5.4586e-003,5.5677e-004
3.200e+003,5.4794e-003,3.4051e-004
2.500e+003,5.5212e-003,1.4399e-004
2.000e+003,5.5698e-003,-1.4603e-005
1.600e+003,5.6349e-003,-1.4634e-004
1.300e+003,5.7065e-003,-2.4812e-004
1.000e+003,5.7978e-003,-3.5562e-004
7.899e+002,5.9012e-003,-4.4265e-004
6.301e+002,5.9865e-003,-5.1236e-004
5.000e+002,6.0888e-003,-5.6604e-004
4.000e+002,6.1878e-003,-6.1824e-004
3.200e+002,6.2889e-003,-6.6284e-004
2.500e+002,6.4008e-003,-7.0966e-004
2.000e+002,6.5122e-003,-7.5504e-004
1.600e+002,6.6170e-003,-7.9512e-004
1.300e+002,6.7234e-003,-8.3382e-004
1.000e+002,6.8655e-003,-8.8119e-004
7.900e+001,7.0031e-003,-9.4881e-004
6.300e+001,7.1239e-003,-1.0081e-003
5.000e+001,7.2540e-003,-1.0440e-003
4.000e+001,7.4183e-003,-1.1106e-003
3.200e+001,7.5407e-003,-1.1818e-003
2.500e+001,7.7297e-003,-1.3134e-003
2.000e+001,7.9467e-003,-1.3751e-003
1.600e+001,8.1272e-003,-1.4343e-003
1.300e+001,8.3001e-003,-1.5343e-003
1.000e+001,8.5982e-003,-1.6932e-003
7.900e+000,8.9437e-003,-1.7975e-003
6.300e+000,9.2973e-003,-1.8279e-003
5.000e+000,9.6575e-003,-1.8009e-003
4.000e+000,9.9787e-003,-1.7238e-003
3.200e+000,1.0270e-002,-1.6212e-003
2.500e+000,1.0530e-002,-1.4948e-003
2.000e+000,1.0739e-002,-1.3831e-003
1.600e+000,1.0929e-002,-1.2821e-003
1.300e+000,1.1045e-002,-1.1956e-003
1.000e+000,1.1210e-002,-1.1116e-003
7.900e-001,1.1337e-002,-1.0670e-003
6.300e-001,1.1470e-002,-1.0340e-003
5.000e-001,1.1557e-002,-9.9975e-004
4.000e-001,1.1692e-002,-1.0358e-003
3.200e-001,1.1786e-002,-1.0362e-003
2.500e-001,1.1890e-002,-1.0768e-003
2.000e-001,1.2032e-002,-1.1442e-003
1.600e-001,1.2134e-002,-1.2248e-003
1.300e-001,1.2243e-002,-1.3045e-003
1.000e-001,1.2408e-002,-1.4483e-003
7.900e-002,1.2540e-002,-1.6079e-003
6.300e-002,1.2700e-002,-1.7971e-003
5.000e-002,1.2869e-002,-2.0616e-003
4.000e-002,1.3082e-002,-2.3367e-003
3.200e-002,1.3310e-002,-2.6801e-003
2.500e-002,1.3592e-002,-3.1235e-003
2.000e-002,1.3892e-002,-3.5975e-003
1.600e-002,1.4242e-002,-4.1611e-003
1.300e-002,1.4614e-002,-4.8024e-003
1.000e-002,1.5287e-002,-5.6391e-003
