Frequency[Hz],Z_real[ohm],Z_img[ohm]
1.000e+005,6.9338e-003,1.4997e-002
7.900e+004,6.6883e-003,1.2062e-002
6.300e+004,6.5194e-003,9.8351e-003
5.000e+004,6.2731e-003,7.9906e-003
4.000e+004,6.1204e-003,6.5529e-003
3.200e+004,5.9418e-003,5.4012e-003
2.500e+004,5.7698e-003,4.3698e-003
2.000e+004,5.6274e-003,3.6120e-003
1.600e+004,5.4808e-003,2.9765e-003
1.300e+004,5.3700e-003,2.4631e-003
1.000e+004,5.2386e-003,1.9193e-003
7.900e+003,5.1551e-003,1.5071e-003
6.300e+003,5.1013e-003,1.1589e-003
5.000e+003,5.0673e-003,8.5006e-004
4.000e+003,5.0650e-003,5.9525e-004
3.200e+003,5.0819e-003,3.7968e-004
2.500e+003,5.1233e-003,1.7320e-004
2.000e+003,5.1693e-003,5.9260e-006
1.600e+003,5.2389e-003,-1.2339e-004
1.300e+003,5.3036e-003,-2.2660e-004
1.000e+003,5.3919e-003,-3.4772e-004
7.899e+002,5.4949e-003,-4.2780e-004
6.301e+002,5.5846e-003,-4.9814e-004
5.000e+002,5.6849e-003,-5.5746e-004
4.000e+002,5.7870e-003,-6.1200e-004
3.200e+002,5.8857e-003,-6.5685e-004
2.500e+002,6.0005e-003,-7.0950e-004
2.000e+002,6.1175e-003,-7.4916e-004
1.600e+002,6.2150e-003,-7.9676e-004
1.300e+002,6.3245e-003,-8.3608e-004
1.000e+002,6.4693e-003,-8.9539e-004
7.900e+001,6.6071e-003,-9.4034e-004
6.300e+001,6.7409e-003,-9.9748e-004
5.000e+001,6.8939e-003,-1.0308e-003
4.000e+001,7.0413e-003,-1.0963e-003
3.200e+001,7.1821e-003,-1.1412e-003
2.500e+001,7.3799e-003,-1.2269e-003
2.000e+001,7.5883e-003,-1.2740e-003
1.600e+001,7.7829e-003,-1.3040e-003
1.300e+001,7.9673e-003,-1.3448e-003
1.000e+001,8.2575e-003,-1.3874e-003
7.900e+000,8.5185e-003,-1.3878e-003
6.300e+000,8.7782e-003,-1.3468e-003
5.000e+000,9.0141e-003,-1.2734e-003
4.000e+000,9.2100e-003,-1.1832e-003
3.200e+000,9.3793e-003,-1.0978e-003
2.500e+000,9.5343e-003,-9.9734e-004
2.000e+000,9.6532e-003,-9.2143e-004
1.600e+000,9.7661e-003,-8.6106e-004
1.300e+000,9.8566e-003,-8.2285e-004
1.000e+000,9.9572e-003,-7.8685e-004
7.900e-001,1.0035e-002,-7.6868e-004
6.300e-001,1.0133e-002,-7.6481e-004
5.000e-001,1.0225e-002,-7.8324e-004
4.000e-001,1.0279e-002,-7.9470e-004
3.200e-001,1.0378e-002,-8.1862e-004
2.500e-001,1.0457e-002,-9.0384e-004
2.000e-001,1.0579e-002,-9.6637e-004
1.600e-001,1.0664e-002,-1.0445e-003
1.300e-001,1.0761e-002,-1.1358e-003
1.000e-001,1.0907e-002,-1.2894e-003
7.900e-002,1.1062e-002,-1.4667e-003
6.300e-002,1.1216e-002,-1.6611e-003
5.000e-002,1.1370e-002,-1.8881e-003
4.000e-002,1.1552e-002,-2.1507e-003
3.200e-002,1.1763e-002,-2.4603e-003
2.500e-002,1.2047e-002,-2.8787e-003
2.000e-002,1.2339e-002,-3.3086e-003
1.600e-002,1.2647e-002,-3.8189e-003
1.300e-002,1.3006e-002,-4.3677e-003
1.000e-002,1.3608e-002,-5.1573e-003
