Frequency[Hz],Z_real[ohm],Z_img[ohm]
1.000e+005,7.0307e-003,1.4410e-002
7.900e+004,6.7788e-003,1.1656e-002
6.300e+004,6.5481e-003,9.4900e-003
5.000e+004,6.3022e-003,7.7229e-003
4.000e+004,6.1332e-003,6.3707e-003
3.200e+004,5.9608e-003,5.2500e-003
2.500e+004,5.7822e-003,4.2475e-003
2.000e+004,5.6254e-003,3.5251e-003
1.600e+004,5.4945e-003,2.9070e-003
1.300e+004,5.3704e-003,2.4129e-003
1.000e+004,5.2374e-003,1.8930e-003
7.900e+003,5.1594e-003,1.4826e-003
6.300e+003,5.0946e-003,1.1421e-003
5.000e+003,5.0658e-003,8.3928e-004
4.000e+003,5.0584e-003,5.8634e-004
3.200e+003,5.0750e-003,3.7593e-004
2.500e+003,5.1142e-003,1.6417e-004
2.000e+003,5.1628e-003,1.0769e-005
1.600e+003,5.2233e-003,-1.2259e-004
1.300e+003,5.2960e-003,-2.2998e-004
1.000e+003,5.3895e-003,-3.4689e-004
7.899e+002,5.4727e-003,-4.2747e-004
6.301e+002,5.5654e-003,-4.9546e-004
5.000e+002,5.6657e-003,-5.5871e-004
4.000e+002,5.7680e-003,-6.0871e-004
3.200e+002,5.8720e-003,-6.5375e-004
2.500e+002,5.9815e-003,-7.0333e-004
2.000e+002,6.0891e-003,-7.6134e-004
1.600e+002,6.2031e-003,-7.9681e-004
1.300e+002,6.3099e-003,-8.3730e-004
1.000e+002,6.4610e-003,-8.8747e-004
7.900e+001,6.6021e-003,-9.3242e-004
6.300e+001,6.7286e-003,-9.9047e-004
5.000e+001,6.8681e-003,-1.0276e-003
4.000e+001,7.0399e-003,-1.0841e-003
3.200e+001,7.1780e-003,-1.1229e-003
2.500e+001,7.3754e-003,-1.1932e-003
2.000e+001,7.5777e-003,-1.2463e-003
1.600e+001,7.7691e-003,-1.2722e-003
1.300e+001,7.9617e-003,-1.2993e-003
1.000e+001,8.2301e-003,-1.3331e-003
7.900e+000,8.4821e-003,-1.3187e-003
6.300e+000,8.7186e-003,-1.2699e-003
5.000e+000,8.9299e-003,-1.1906e-003
4.000e+000,9.1183e-003,-1.1076e-003
3.200e+000,9.2645e-003,-1.0266e-003
2.500e+000,9.4122e-003,-9.3684e-004
2.000e+000,9.5210e-003,-8.7679e-004
1.600e+000,9.6269e-003,-8.1177e-004
1.300e+000,9.7079e-003,-7.7357e-004
1.000e+000,9.8029e-003,-7.5766e-004
7.900e-001,9.8813e-003,-7.2683e-004
6.300e-001,9.9838e-003,-7.3718e-004
5.000e-001,1.0053e-002,-7.5310e-004
4.000e-001,1.0138e-002,-7.7672e-004
3.200e-001,1.0229e-002,-8.1056e-004
2.500e-001,1.0332e-002,-8.7230e-004
2.000e-001,1.0388e-002,-9.4195e-004
1.600e-001,1.0501e-002,-1.0435e-003
1.300e-001,1.0583e-002,-1.1301e-003
1.000e-001,1.0751e-002,-1.2756e-003
7.900e-002,1.0866e-002,-1.4492e-003
6.300e-002,1.1039e-002,-1.6320e-003
5.000e-002,1.1195e-002,-1.8705e-003
4.000e-002,1.1371e-002,-2.1474e-003
3.200e-002,1.1584e-002,-2.4604e-003
2.500e-002,1.1876e-002,-2.8561e-003
2.000e-002,1.2149e-002,-3.2748e-003
1.600e-002,1.2487e-002,-3.7773e-003
1.300e-002,1.2844e-002,-4.3383e-003
1.000e-002,1.3465e-002,-5.1298e-003
