time [sec],V [mV],I [mA]
0.0,3183.678,0.217
0.04,3186.694,-331.727
0.06,3191.733,-812.528
0.08,3196.801,-1249.691
0.1,3200.683,-1556.929
0.13,3204.257,-1779.228
0.39,3207.282,-1747.352
0.84,3210.283,-1747.687
1.45,3213.388,-1747.957
2.27,3216.419,-1747.986
3.13,3219.437,-1747.409
3.98,3222.467,-1747.718
4.9,3225.526,-1747.64
5.88,3228.526,-1747.941
6.8,3231.551,-1747.975
7.82,3234.56,-1748.055
8.92,3237.622,-1748.05
9.91,3240.688,-1748.162
11.08,3243.771,-1747.845
12.16,3246.801,-1748.41
13.24,3249.883,-1747.878
14.5,3252.932,-1748.162
15.63,3255.932,-1748.413
16.83,3258.942,-1747.986
18.02,3262.021,-1747.738
19.24,3265.029,-1747.947
20.54,3268.042,-1748.184
21.69,3271.055,-1747.738
23.09,3274.12,-1747.847
24.28,3277.145,-1748.289
25.58,3280.16,-1748.312
27.0,3283.198,-1748.508
28.55,3286.289,-1748.023
29.88,3289.375,-1748.362
31.38,3292.432,-1747.283
32.74,3295.469,-1747.915
34.17,3298.508,-1748.315
35.65,3301.544,-1747.817
37.16,3304.555,-1747.643
38.83,3307.574,-1748.167
40.1,3310.585,-1748.09
41.87,3313.661,-1747.719
43.44,3316.675,-1748.182
44.93,3319.716,-1747.954
46.79,3322.74,-1748.151
48.31,3325.817,-1747.832
50.08,3328.825,-1748.197
51.63,3331.866,-1747.9
53.55,3334.888,-1747.96
55.28,3337.933,-1747.75
56.91,3340.976,-1747.926
58.61,3344.059,-1748.384
60.62,3347.063,-1748.252
62.5,3350.065,-1748.101
64.36,3353.074,-1747.979
66.26,3356.088,-1747.488
68.0,3359.197,-1747.638
69.89,3362.209,-1748.116
72.08,3365.272,-1748.541
73.88,3368.296,-1748.013
75.93,3371.32,-1747.992
78.03,3374.41,-1747.534
80.12,3377.434,-1748.375
82.26,3380.436,-1747.844
84.25,3383.489,-1748.144
86.38,3386.509,-1747.509
88.66,3389.513,-1748.235
90.68,3392.541,-1748.015
92.94,3395.565,-1748.364
95.13,3398.57,-1747.998
97.23,3401.633,-1748.121
99.82,3404.646,-1747.309
102.02,3407.697,-1748.138
104.35,3410.721,-1747.462
106.95,3413.818,-1747.858
109.24,3416.83,-1748.025
111.85,3419.836,-1747.995
114.25,3422.895,-1747.901
116.54,3425.901,-1747.667
119.19,3428.915,-1748.136
121.8,3431.956,-1747.827
124.5,3435.022,-1748.127
127.14,3438.027,-1747.86
129.82,3441.156,-1748.122
132.83,3444.278,-1748.206
135.04,3447.334,-1748.004
138.17,3450.357,-1747.822
140.79,3453.398,-1748.451
143.76,3456.468,-1748.5
146.85,3459.498,-1748.111
149.49,3462.504,-1747.647
152.63,3465.525,-1748.174
155.4,3468.542,-1747.413
158.44,3471.551,-1748.158
161.44,3474.595,-1748.306
164.54,3477.604,-1748.56
167.5,3480.649,-1748.343
170.81,3483.697,-1748.203
174.1,3486.739,-1747.806
177.15,3489.744,-1748.084
180.37,3492.786,-1747.628
183.82,3495.817,-1747.857
186.74,3498.841,-1748.026
190.48,3501.846,-1748.143
193.52,3504.899,-1747.938
197.31,3507.969,-1748.062
200.6,3511.018,-1748.181
203.9,3514.032,-1747.904
207.87,3517.061,-1748.177
211.15,3520.118,-1747.673
214.83,3523.131,-1748.234
218.73,3526.172,-1748.065
222.28,3529.174,-1748.22
226.04,3532.221,-1748.562
229.65,3535.248,-1747.777
233.31,3538.268,-1748.045
237.24,3541.283,-1747.969
241.13,3544.292,-1747.968
245.17,3547.336,-1747.754
249.28,3550.358,-1748.655
253.23,3553.402,-1748.018
257.02,3556.407,-1748.222
261.42,3559.41,-1748.045
265.35,3562.447,-1748.11
269.63,3565.45,-1747.934
273.69,3568.487,-1748.056
277.99,3571.506,-1748.065
282.58,3574.519,-1748.222
286.85,3577.554,-1748.086
291.08,3580.564,-1748.157
295.88,3583.576,-1748.179
300.2,3586.581,-1747.755
304.73,3589.604,-1747.889
309.64,3592.665,-1747.779
313.86,3595.693,-1748.193
319.01,3598.695,-1747.73
323.96,3601.706,-1747.693
328.21,3604.707,-1747.839
333.42,3607.752,-1748.054
338.24,3610.772,-1747.711
343.41,3613.772,-1748.138
348.41,3616.774,-1748.431
353.31,3619.795,-1748.512
358.57,3622.8,-1748.161
363.58,3625.811,-1747.964
368.79,3628.836,-1748.202
374.19,3631.838,-1748.27
380.08,3634.849,-1748.196
385.29,3637.876,-1747.827
390.38,3640.973,-1747.972
396.68,3644.035,-1747.819
402.67,3647.077,-1747.965
408.57,3650.079,-1748.301
414.62,3653.136,-1747.998
420.65,3656.195,-1748.223
426.46,3659.237,-1747.982
432.96,3662.25,-1747.604
438.63,3665.256,-1748.435
444.56,3668.278,-1748.043
451.1,3671.328,-1747.993
457.41,3674.377,-1747.66
463.81,3677.402,-1747.8
470.93,3680.455,-1747.857
476.94,3683.509,-1748.202
483.99,3686.528,-1748.478
491.13,3689.557,-1747.984
497.84,3692.559,-1748.282
505.48,3695.593,-1747.899
511.75,3698.629,-1747.688
519.55,3701.636,-1748.231
527.5,3704.669,-1747.86
534.76,3707.682,-1747.748
543.29,3710.74,-1748.039
551.33,3713.772,-1748.683
559.38,3716.785,-1747.841
568.26,3719.789,-1747.929
576.92,3722.858,-1747.97
586.09,3725.866,-1748.401
595.28,3728.868,-1747.852
606.13,3731.914,-1748.249
615.2,3734.955,-1747.456
626.93,3737.974,-1748.305
638.76,3740.984,-1747.815
650.5,3744.035,-1747.894
664.55,3747.036,-1748.519
680.55,3750.066,-1748.184
698.51,3753.071,-1748.108
715.65,3756.096,-1747.695
739.03,3759.118,-1748.268
763.92,3762.143,-1748.391
792.59,3765.186,-1747.968
822.96,3768.202,-1747.995
852.16,3771.222,-1748.291
886.57,3774.263,-1748.162
920.42,3777.263,-1747.986
954.87,3780.266,-1748.039
988.24,3783.268,-1747.446
1024.86,3786.272,-1747.984
1061.7,3789.301,-1748.098
1096.15,3792.316,-1747.737
1134.63,3795.328,-1747.689
1169.18,3798.346,-1747.973
1208.27,3801.346,-1748.002
1242.5,3804.457,-1747.511
1280.47,3807.479,-1748.38
1319.23,3810.488,-1748.488
1354.66,3813.521,-1747.593
1387.85,3816.541,-1748.207
1424.91,3819.569,-1748.168
1459.83,3822.599,-1748.341
1495.76,3825.625,-1747.87
1531.49,3828.663,-1747.635
1562.46,3831.669,-1748.35
1597.51,3834.701,-1748.088
1630.55,3837.715,-1747.977
1661.19,3840.73,-1748.547
1695.23,3843.74,-1747.841
1727.36,3846.748,-1747.326
1758.05,3849.779,-1747.712
1790.52,3852.787,-1748.29
1821.57,3855.806,-1747.978
1854.06,3858.813,-1748.289
1889.22,3861.829,-1748.084
1919.28,3864.856,-1748.025
1956.66,3867.857,-1748.128
1989.29,3870.867,-1748.418
2023.64,3873.901,-1747.93
2058.14,3876.906,-1747.848
2096.65,3879.908,-1748.118
2134.56,3882.968,-1747.379
2172.31,3885.972,-1748.224
2207.03,3889.012,-1747.933
2248.24,3892.026,-1748.07
2286.46,3895.049,-1747.573
2324.94,3898.049,-1748.188
2366.11,3901.074,-1747.947
2405.31,3904.089,-1747.965
2446.34,3907.134,-1748.162
2487.89,3910.179,-1747.863
2528.72,3913.209,-1747.254
2573.4,3916.214,-1747.836
2620.64,3919.218,-1747.808
2664.23,3922.22,-1748.056
2714.63,3925.253,-1748.246
2765.39,3928.292,-1747.81
2823.22,3931.302,-1747.822
2876.08,3934.304,-1748.093
2934.61,3937.329,-1747.695
2994.61,3939.753,-1748.099
