time [sec],V [mV],I [mA]
50:15.4,3188.41,3.584
50:15.5,3193.843,-539.923
50:15.5,3199.211,-1019.925
50:15.5,3203.989,-1403.436
50:15.5,3207.473,-1648.993
50:15.6,3210.836,-1819.288
50:15.9,3213.876,-1748.529
50:16.5,3216.956,-1748.375
50:17.1,3219.996,-1748.239
50:18.0,3223.015,-1748.281
50:18.7,3226.038,-1748.425
50:19.6,3229.139,-1748.633
50:20.6,3232.147,-1748.734
50:21.6,3235.179,-1748.885
50:22.5,3238.199,-1748.564
50:23.6,3241.211,-1748.464
50:24.6,3244.252,-1748.581
50:25.7,3247.361,-1748.675
50:26.9,3250.364,-1748.559
50:28.0,3253.439,-1748.502
50:29.1,3256.439,-1748.328
50:30.2,3259.442,-1748.208
50:31.2,3262.446,-1748.138
50:32.5,3265.528,-1748.289
50:33.7,3268.534,-1748.514
50:35.0,3271.638,-1748.789
50:36.3,3274.717,-1748.38
50:37.6,3277.735,-1748.747
50:38.8,3280.766,-1748.585
50:40.2,3283.783,-1748.622
50:41.6,3286.869,-1748.537
50:42.9,3289.922,-1748.679
50:44.3,3292.924,-1748.307
50:45.6,3295.928,-1748.441
50:47.1,3298.994,-1748.16
50:48.5,3302.066,-1749.15
50:50.1,3305.084,-1747.904
50:51.4,3308.136,-1748.427
50:52.8,3311.181,-1748.905
50:54.6,3314.208,-1748.46
50:56.0,3317.223,-1748.54
50:57.7,3320.226,-1748.496
50:59.1,3323.243,-1748.652
51:00.8,3326.268,-1748.768
51:02.4,3329.3,-1747.971
51:04.0,3332.313,-1748.484
51:05.8,3335.339,-1749.109
51:07.5,3338.353,-1749.651
51:09.1,3341.367,-1748.744
51:11.0,3344.407,-1748.758
51:12.7,3347.458,-1747.899
51:14.5,3350.534,-1747.942
51:16.4,3353.573,-1748.289
51:18.3,3356.627,-1748.818
51:20.0,3359.702,-1748.373
51:21.9,3362.731,-1748.77
51:23.9,3365.754,-1747.731
51:25.8,3368.777,-1749.076
51:27.9,3371.792,-1749.458
51:29.7,3374.858,-1748.328
51:32.0,3377.867,-1748.595
51:33.7,3380.87,-1747.795
51:35.9,3383.888,-1748.161
51:38.0,3386.916,-1747.849
51:40.0,3389.947,-1748.439
51:42.3,3392.96,-1748.617
51:44.6,3396.013,-1749.017
51:46.5,3399.023,-1748.219
51:49.0,3402.051,-1748.573
51:51.1,3405.051,-1748.845
51:53.4,3408.103,-1748.393
51:55.7,3411.129,-1747.528
51:58.0,3414.131,-1748.124
52:00.4,3417.173,-1749.222
52:02.9,3420.21,-1748.985
52:05.2,3423.223,-1749.076
52:07.6,3426.233,-1748.134
52:10.0,3429.267,-1747.766
52:12.6,3432.395,-1748.774
52:15.4,3435.442,-1748.945
52:18.0,3438.455,-1748.78
52:20.3,3441.466,-1748.461
52:23.0,3444.511,-1748.627
52:25.8,3447.556,-1748.506
52:28.5,3450.572,-1748.446
52:31.2,3453.575,-1748.696
52:33.9,3456.575,-1748.745
52:36.6,3459.59,-1748.831
52:39.7,3462.618,-1748.554
52:42.2,3465.628,-1748.433
52:45.5,3468.657,-1748.617
52:48.4,3471.658,-1748.219
52:51.0,3474.742,-1748.275
52:54.1,3477.754,-1747.786
52:57.0,3480.797,-1748.612
53:00.6,3483.874,-1749.337
53:03.4,3486.878,-1748.46
53:06.6,3489.886,-1747.941
53:09.9,3492.89,-1747.534
53:12.8,3495.892,-1748.401
53:16.0,3498.895,-1748.913
53:19.3,3501.939,-1749.22
53:22.5,3504.948,-1747.889
53:26.0,3507.963,-1748.118
53:29.3,3511.002,-1748.613
53:32.8,3514.012,-1748.247
53:36.3,3517.038,-1748.257
53:39.6,3520.048,-1749.125
53:43.3,3523.085,-1748.081
53:46.8,3526.121,-1748.806
53:50.3,3529.13,-1748.81
53:53.8,3532.135,-1748.741
53:57.8,3535.154,-1748.458
54:01.4,3538.191,-1748.764
54:05.2,3541.205,-1748.51
54:08.9,3544.236,-1748.816
54:12.5,3547.247,-1748.834
54:16.8,3550.253,-1748.088
54:20.6,3553.262,-1748.148
54:24.3,3556.308,-1748.711
54:28.5,3559.327,-1747.858
54:32.4,3562.371,-1748.632
54:36.3,3565.378,-1748.79
54:40.6,3568.387,-1748.47
54:44.8,3571.416,-1748.543
54:49.3,3574.458,-1748.648
54:53.5,3577.48,-1748.954
54:57.8,3580.503,-1748.671
55:02.5,3583.509,-1748.679
55:06.8,3586.543,-1748.224
55:11.1,3589.55,-1748.552
55:15.5,3592.594,-1748.378
55:20.2,3595.621,-1748.536
55:25.1,3598.623,-1748.173
55:29.3,3601.628,-1748.699
55:34.1,3604.632,-1749.224
55:38.9,3607.641,-1748.573
55:43.9,3610.663,-1749.462
55:48.7,3613.722,-1748.893
55:53.6,3616.729,-1748.558
55:58.3,3619.75,-1748.439
56:03.9,3622.763,-1748.588
56:08.7,3625.767,-1749.347
56:13.7,3628.839,-1748.236
56:18.9,3631.858,-1749.153
56:24.4,3634.897,-1748.173
56:29.6,3637.912,-1748.639
56:35.2,3640.944,-1748.025
56:40.3,3643.952,-1748.775
56:47.1,3646.956,-1747.973
56:52.0,3649.957,-1749.163
56:57.7,3652.986,-1748.504
57:03.9,3656.003,-1748.535
57:09.7,3659.036,-1748.77
57:15.2,3662.037,-1748.571
57:21.4,3665.059,-1748.19
57:27.2,3668.063,-1748.429
57:33.7,3671.107,-1748.615
57:39.7,3674.132,-1749.092
57:46.2,3677.174,-1748.615
57:52.9,3680.205,-1748.451
57:59.3,3683.219,-1748.748
58:05.9,3686.249,-1748.546
58:12.5,3689.28,-1749.248
58:19.6,3692.299,-1748.278
58:26.7,3695.302,-1748.565
58:33.5,3698.303,-1748.468
58:40.1,3701.321,-1748.712
58:48.0,3704.401,-1748.212
58:55.8,3707.483,-1748.917
59:03.5,3710.521,-1748.338
59:11.8,3713.551,-1748.612
59:19.7,3716.554,-1748.287
59:28.4,3719.588,-1748.612
59:36.9,3722.644,-1748.363
59:45.5,3725.654,-1748.793
59:55.0,3728.66,-1748.345
00:03.8,3731.672,-1748.578
00:13.9,3734.705,-1748.715
00:24.3,3737.786,-1748.634
00:35.2,3740.858,-1748.327
00:46.8,3743.947,-1748.526
01:00.8,3746.963,-1748.678
01:14.2,3749.989,-1748.941
01:29.7,3753.031,-1748.637
01:47.2,3756.103,-1748.369
02:06.0,3759.115,-1748.486
02:29.4,3762.144,-1748.577
02:56.2,3765.155,-1748.605
03:23.7,3768.155,-1748.369
03:53.0,3771.159,-1748.464
04:24.1,3774.174,-1748.561
04:57.8,3777.18,-1748.511
05:32.1,3780.222,-1748.783
06:05.0,3783.236,-1748.689
06:40.5,3786.258,-1748.317
07:17.6,3789.299,-1748.52
07:52.4,3792.309,-1748.117
08:28.8,3795.31,-1748.293
09:06.2,3798.312,-1748.682
09:43.2,3801.349,-1748.672
10:18.4,3804.383,-1748.064
10:55.6,3807.383,-1748.442
11:33.9,3810.389,-1748.77
12:09.5,3813.395,-1748.555
12:41.6,3816.423,-1748.418
13:17.5,3819.503,-1748.434
13:53.5,3822.569,-1748.317
14:30.5,3825.585,-1748.782
15:04.9,3828.622,-1748.425
15:37.5,3831.67,-1749.445
16:12.3,3834.744,-1748.003
16:42.9,3837.753,-1748.448
17:17.4,3840.78,-1748.489
17:50.5,3843.788,-1748.923
18:23.0,3846.79,-1748.429
18:54.0,3849.798,-1748.501
19:24.1,3852.802,-1748.41
19:56.5,3855.874,-1748.314
20:28.8,3858.882,-1748.591
20:59.7,3861.923,-1748.524
21:29.2,3864.946,-1748.575
22:05.0,3867.99,-1748.612
22:38.0,3871.008,-1748.621
23:11.9,3874.085,-1748.837
23:48.3,3877.087,-1748.664
24:21.6,3880.118,-1748.537
24:58.1,3883.121,-1748.582
25:32.9,3886.16,-1748.197
26:08.5,3889.187,-1748.353
26:49.3,3892.212,-1748.618
27:26.2,3895.257,-1748.282
28:04.8,3898.282,-1748.238
28:43.7,3901.29,-1748.613
29:20.0,3904.3,-1748.417
29:58.9,3907.309,-1748.315
30:40.1,3910.316,-1748.419
31:18.6,3913.354,-1748.692
31:59.9,3916.407,-1748.651
32:42.8,3919.413,-1748.631
33:27.6,3922.488,-1748.472
34:13.0,3925.503,-1748.067
34:58.4,3928.515,-1748.432
35:48.7,3931.515,-1748.576
36:38.6,3934.554,-1748.401
37:31.3,3937.587,-1748.489
38:26.0,3940.606,-1748.361
39:16.5,3943.616,-1748.367
40:13.0,3946.624,-1748.656
41:08.2,3949.632,-1748.655
42:05.4,3952.633,-1748.607
43:00.5,3955.635,-1748.658
43:53.3,3958.723,-1748.396
44:45.6,3961.73,-1748.837
45:40.1,3964.766,-1748.531
46:30.7,3967.769,-1748.534
47:18.3,3970.78,-1748.474
48:05.5,3973.818,-1748.382
48:51.1,3976.843,-1748.426
49:36.8,3979.846,-1748.488
50:19.8,3982.862,-1748.395
51:04.3,3985.868,-1748.399
51:46.7,3988.89,-1748.692
52:26.0,3991.897,-1748.587
53:08.5,3994.9,-1748.737
53:49.4,3997.941,-1748.547
54:29.9,4000.942,-1748.559
55:09.9,4003.945,-1748.51
55:45.6,4006.961,-1748.294
56:29.4,4010.007,-1748.822
57:07.6,4013.018,-1748.689
57:49.8,4016.021,-1748.628
58:29.2,4019.022,-1748.52
59:11.0,4022.027,-1748.178
59:51.2,4025.054,-1748.692
00:34.9,4028.062,-1748.418
01:21.4,4031.072,-1748.405
02:05.6,4034.089,-1748.59
02:53.0,4037.122,-1748.366
03:45.1,4040.164,-1748.572
04:37.0,4043.173,-1748.516
05:33.3,4046.214,-1748.496
06:33.3,4049.174,-1748.789
07:31.2,4052.187,-1748.451
08:31.2,4054.542,-1748.293
09:31.2,4057.11,-1748.276
10:28.4,4060.131,-1748.718
11:28.4,4062.226,-1748.537
12:27.7,4065.311,-1748.415
13:27.8,4066.842,-1748.521
14:27.7,4069.24,-1748.694
15:27.7,4071.939,-1748.877
16:27.7,4073.527,-1748.607
17:27.7,4075.968,-1748.6
18:27.8,4078.377,-1748.529
19:27.7,4080.394,-1748.477
20:27.8,4082.661,-1748.594
21:27.7,4085.016,-1748.383
22:27.8,4086.808,-1748.753
23:27.7,4089.409,-1748.177
24:27.8,4091.642,-1748.663
25:27.7,4093.403,-1748.537
26:27.8,4096.068,-1748.546
27:27.7,4098.118,-1748.508
28:27.8,4100.314,-1748.538
29:27.7,4102.377,-1748.61
30:27.7,4104.853,-1748.737
31:27.7,4107.274,-1748.612
32:27.7,4109.846,-1749.025
33:27.7,4112.429,-1748.708
34:27.7,4114.954,-1748.5
35:27.8,4117.83,-1748.749
36:27.7,4120.158,-1748.71
37:27.7,4122.876,-1748.747
38:27.7,4125.419,-1748.554
39:22.3,4128.445,-1748.656
40:22.3,4130.827,-1748.526
41:22.3,4133.618,-1748.582
42:22.2,4136.652,-1748.368
43:22.2,4139.264,-1748.7
44:13.3,4142.27,-1748.421
45:13.1,4145.27,-1748.461
46:10.3,4148.286,-1748.543
47:03.0,4151.328,-1748.451
47:52.8,4154.339,-1748.461
48:42.2,4157.347,-1748.502
49:33.4,4160.403,-1748.211
50:18.3,4163.41,-1748.468
51:02.2,4166.436,-1748.138
51:38.2,4169.456,-1748.547
52:19.7,4172.465,-1748.469
52:56.4,4175.467,-1748.632
53:33.7,4178.517,-1748.852
54:10.2,4181.574,-1748.24
54:44.8,4184.629,-1748.61
55:17.3,4187.631,-1748.79
55:47.3,4190.643,-1748.526
56:17.8,4193.661,-1748.542
56:45.4,4196.702,-1748.688
57:09.7,4198.794,-1748.305
57:09.7,4198.553,-1716.236
57:09.7,4194.021,-1156.342
57:09.7,4189.785,-675.966
57:09.7,4186.295,-303.593
57:09.8,4182.99,-1.903
57:10.2,4179.924,2.983
57:11.8,4176.878,3.223
57:15.3,4173.875,3.564
57:20.7,4170.868,3.85
57:27.5,4167.85,3.712
57:35.5,4164.841,3.657
57:50.6,4161.788,3.373
58:07.9,4158.767,3.269
58:32.8,4155.752,3.817
59:08.6,4152.722,3.545
00:08.6,4150.341,3.483
01:08.6,4148.191,3.625
02:08.6,4146.439,3.686
03:08.6,4145.275,3.694
04:08.6,4144.489,3.428
05:08.6,4143.412,3.597
06:08.6,4142.528,3.664
07:08.6,4141.987,3.565
07:09.6,4142.112,3.412
07:09.7,4142.065,3.303
07:09.7,4139.007,362.813
07:09.7,4134.639,844.872
07:09.7,4130.495,1274.318
07:09.8,4127.411,1572.017
07:09.8,4124.375,1810.097
07:10.7,4121.311,1749.083
07:13.4,4118.273,1749.927
07:18.0,4115.209,1749.42
07:24.3,4112.18,1749.774
07:32.0,4109.176,1749.565
07:40.5,4106.13,1749.749
07:51.9,4103.091,1749.734
08:05.4,4100.01,1749.779
08:20.9,4097.002,1749.903
08:36.6,4093.962,1749.777
08:56.0,4090.947,1749.904
09:17.5,4087.921,1749.776
09:40.7,4084.913,1749.843
10:02.7,4081.88,1749.684
10:33.1,4078.862,1750.205
11:00.8,4075.838,1749.638
11:30.7,4072.73,1749.693
11:59.6,4069.709,1749.677
12:33.8,4066.686,1749.754
13:03.6,4063.658,1749.64
13:33.9,4060.616,1749.445
14:04.9,4057.585,1749.79
14:35.5,4054.578,1749.932
15:06.2,4051.511,1749.784
15:34.7,4048.496,1749.978
16:05.4,4045.496,1749.549
16:33.8,4042.457,1749.447
17:03.1,4039.446,1749.795
17:31.9,4036.444,1749.835
17:59.7,4033.443,1749.718
18:28.0,4030.437,1749.77
18:59.8,4027.366,1749.367
19:27.9,4024.292,1749.219
19:59.1,4021.231,1749.63
20:34.7,4018.217,1749.61
21:06.4,4015.211,1749.478
21:40.3,4012.203,1749.467
22:21.0,4009.167,1749.462
23:03.0,4006.132,1750.058
23:51.5,4003.114,1749.565
24:40.5,4000.1,1749.7
25:34.5,3997.093,1749.984
26:34.5,3994.756,1749.226
27:29.2,3991.742,1749.784
28:29.2,3989.498,1749.693
29:29.2,3986.952,1749.663
30:29.2,3984.663,1749.712
31:29.2,3982.61,1749.721
32:29.2,3980.376,1749.978
33:29.2,3978.296,1749.618
34:29.2,3976.327,1750.046
35:29.2,3974.53,1749.682
36:29.2,3972.259,1749.757
37:29.2,3970.443,1749.812
38:29.2,3968.467,1750.0
39:29.2,3966.584,1750.427
40:29.2,3964.327,1749.738
41:29.2,3962.327,1749.764
42:29.2,3959.888,1749.608
43:29.2,3958.01,1749.597
44:29.2,3955.988,1750.123
