time [sec],V [mV],I [mA]
0.0,3180.965,-0.18
0.05,3186.107,-565.729
0.07,3191.017,-1043.113
0.09,3195.223,-1419.201
0.11,3198.284,-1657.685
0.16,3201.305,-1822.742
0.54,3204.321,-1747.926
1.21,3207.36,-1748.806
1.91,3210.46,-1748.192
2.81,3213.508,-1748.435
3.65,3216.538,-1748.143
4.66,3219.572,-1747.895
5.51,3222.622,-1748.124
6.69,3225.649,-1748.248
7.69,3228.661,-1748.533
8.67,3231.671,-1747.803
9.73,3234.674,-1748.334
10.87,3237.692,-1748.508
11.98,3240.726,-1748.494
13.23,3243.772,-1748.627
14.45,3246.799,-1748.817
15.62,3249.807,-1748.407
16.78,3252.807,-1748.297
17.96,3255.864,-1748.412
19.36,3258.887,-1748.139
20.57,3261.914,-1748.497
21.95,3264.982,-1748.169
23.24,3267.987,-1748.304
24.57,3271.026,-1748.229
26.05,3274.089,-1747.994
27.42,3277.092,-1747.854
28.93,3280.105,-1748.165
30.15,3283.124,-1748.717
31.58,3286.128,-1748.731
33.18,3289.175,-1748.209
34.68,3292.225,-1748.303
36.1,3295.31,-1748.317
37.8,3298.348,-1748.643
39.36,3301.412,-1748.038
40.96,3304.419,-1748.507
42.65,3307.455,-1748.866
44.16,3310.472,-1748.224
45.96,3313.483,-1748.223
47.53,3316.555,-1748.661
49.24,3319.568,-1748.704
50.95,3322.576,-1748.337
52.52,3325.636,-1748.516
54.68,3328.683,-1747.59
56.45,3331.743,-1748.445
58.18,3334.781,-1748.637
60.07,3337.843,-1748.616
61.91,3340.866,-1748.378
63.73,3343.943,-1747.857
65.78,3346.977,-1748.53
67.79,3350.015,-1747.708
69.73,3353.019,-1748.275
71.59,3356.045,-1748.349
73.71,3359.051,-1747.987
75.76,3362.081,-1748.762
77.8,3365.106,-1747.825
79.88,3368.148,-1747.801
82.3,3371.211,-1748.265
84.28,3374.237,-1747.875
86.42,3377.273,-1748.098
88.63,3380.287,-1748.06
90.87,3383.305,-1748.033
93.16,3386.352,-1748.03
95.36,3389.39,-1748.403
97.69,3392.405,-1748.804
100.2,3395.477,-1748.525
102.52,3398.562,-1748.745
105.0,3401.588,-1747.899
107.48,3404.605,-1747.381
109.85,3407.656,-1748.336
112.53,3410.728,-1747.864
115.09,3413.773,-1747.824
117.76,3416.84,-1747.86
120.39,3419.847,-1748.08
122.91,3422.854,-1748.279
125.52,3425.915,-1748.409
128.15,3428.921,-1748.452
130.99,3431.923,-1747.966
133.93,3434.996,-1748.586
136.8,3438.008,-1748.718
139.5,3441.01,-1748.216
142.25,3444.045,-1748.482
145.51,3447.091,-1747.793
148.29,3450.179,-1748.137
151.3,3453.196,-1748.532
154.33,3456.309,-1748.355
157.48,3459.387,-1748.214
160.63,3462.401,-1747.38
163.83,3465.471,-1748.123
166.86,3468.56,-1748.67
170.4,3471.581,-1748.299
173.61,3474.691,-1748.198
177.18,3477.739,-1748.941
180.31,3480.765,-1748.541
183.7,3483.807,-1747.555
187.22,3486.847,-1747.847
190.9,3489.927,-1748.869
194.48,3492.929,-1748.374
197.82,3495.966,-1747.615
201.34,3499.047,-1748.022
205.29,3502.08,-1748.35
208.86,3505.095,-1748.555
212.52,3508.134,-1748.142
216.1,3511.171,-1748.279
220.11,3514.182,-1748.098
224.36,3517.232,-1748.151
228.24,3520.25,-1748.375
231.86,3523.26,-1748.07
236.06,3526.281,-1748.3
240.26,3529.339,-1748.417
244.12,3532.385,-1748.21
248.76,3535.425,-1748.239
252.69,3538.456,-1748.632
257.13,3541.462,-1748.195
261.56,3544.495,-1748.806
265.7,3547.51,-1748.077
270.31,3550.524,-1748.011
274.42,3553.532,-1748.369
279.28,3556.551,-1748.116
284.02,3559.556,-1748.802
287.92,3562.59,-1748.107
292.51,3565.592,-1748.292
297.69,3568.594,-1747.506
302.02,3571.595,-1748.101
307.05,3574.647,-1748.361
311.78,3577.676,-1747.889
316.88,3580.692,-1747.867
321.91,3583.72,-1748.125
327.08,3586.75,-1747.99
332.34,3589.77,-1748.556
336.79,3592.799,-1748.729
342.11,3595.838,-1748.175
347.77,3598.881,-1748.201
353.08,3601.91,-1748.092
357.7,3604.914,-1748.664
363.57,3607.941,-1748.084
369.19,3610.969,-1748.32
374.85,3613.977,-1748.589
380.36,3617.002,-1748.247
386.21,3620.03,-1748.007
391.32,3623.04,-1748.251
397.11,3626.13,-1748.114
403.1,3629.132,-1748.36
409.13,3632.203,-1747.912
415.13,3635.21,-1748.692
421.16,3638.214,-1748.073
427.2,3641.295,-1747.786
433.71,3644.307,-1747.868
440.97,3647.329,-1748.141
446.86,3650.333,-1748.515
453.33,3653.337,-1748.385
459.37,3656.346,-1748.689
466.12,3659.349,-1748.238
472.4,3662.358,-1748.694
479.82,3665.377,-1748.163
486.12,3668.407,-1748.793
493.04,3671.407,-1748.484
500.13,3674.427,-1748.06
506.73,3677.431,-1747.737
514.67,3680.474,-1748.531
521.57,3683.491,-1748.431
529.17,3686.547,-1748.517
536.43,3689.575,-1747.783
543.77,3692.584,-1748.132
551.88,3695.594,-1747.838
560.22,3698.621,-1748.469
568.01,3701.63,-1748.098
576.86,3704.638,-1747.755
584.87,3707.69,-1748.201
594.09,3710.707,-1747.897
603.52,3713.761,-1748.324
611.72,3716.798,-1748.154
622.5,3719.834,-1748.677
632.98,3722.842,-1748.813
643.23,3725.887,-1748.385
655.52,3728.889,-1748.013
667.88,3731.965,-1748.649
680.16,3734.979,-1747.54
695.65,3738.009,-1748.676
711.3,3741.025,-1748.688
729.15,3744.075,-1748.03
747.6,3747.106,-1748.473
767.79,3750.122,-1747.916
791.81,3753.14,-1748.331
815.83,3756.155,-1748.106
