Frequency[Hz],Z_real[ohm],Z_img[ohm]
1.000e+005,6.6641e-003,1.5737e-002
7.900e+004,6.4267e-003,1.2601e-002
6.300e+004,6.1824e-003,1.0244e-002
5.000e+004,6.0046e-003,8.2989e-003
4.000e+004,5.8572e-003,6.8010e-003
3.200e+004,5.7088e-003,5.5979e-003
2.500e+004,5.5411e-003,4.5138e-003
2.000e+004,5.4069e-003,3.7129e-003
1.600e+004,5.2758e-003,3.0657e-003
1.300e+004,5.1555e-003,2.5490e-003
1.000e+004,5.0288e-003,2.0024e-003
7.900e+003,4.9424e-003,1.5730e-003
6.300e+003,4.8710e-003,1.2195e-003
5.000e+003,4.8326e-003,9.0594e-004
4.000e+003,4.8278e-003,6.3809e-004
3.200e+003,4.8471e-003,4.1196e-004
2.500e+003,4.8768e-003,1.9005e-004
2.000e+003,4.9265e-003,1.6583e-005
1.600e+003,5.0014e-003,-1.2510e-004
1.300e+003,5.0654e-003,-2.3626e-004
1.000e+003,5.1628e-003,-3.6169e-004
7.899e+002,5.2659e-003,-4.4962e-004
6.301e+002,5.3679e-003,-5.2508e-004
5.000e+002,5.4709e-003,-5.8680e-004
4.000e+002,5.5762e-003,-6.4002e-004
3.200e+002,5.6803e-003,-6.8491e-004
2.500e+002,5.8009e-003,-7.2807e-004
2.000e+002,5.9200e-003,-7.7687e-004
1.600e+002,6.0452e-003,-8.1012e-004
1.300e+002,6.1616e-003,-8.4217e-004
1.000e+002,6.3183e-003,-8.8591e-004
7.900e+001,6.4549e-003,-9.1493e-004
6.300e+001,6.5939e-003,-9.4628e-004
5.000e+001,6.7443e-003,-9.6958e-004
4.000e+001,6.8906e-003,-9.9508e-004
3.200e+001,7.0455e-003,-1.0122e-003
2.500e+001,7.2368e-003,-1.0246e-003
2.000e+001,7.4004e-003,-1.0205e-003
1.600e+001,7.5667e-003,-1.0085e-003
1.300e+001,7.7140e-003,-9.7611e-004
1.000e+001,7.8971e-003,-9.4094e-004
7.900e+000,8.0582e-003,-8.9505e-004
6.300e+000,8.1874e-003,-8.4106e-004
5.000e+000,8.3073e-003,-7.8094e-004
4.000e+000,8.4141e-003,-7.3052e-004
3.200e+000,8.5026e-003,-6.7463e-004
2.500e+000,8.5750e-003,-6.1586e-004
2.000e+000,8.6485e-003,-5.9497e-004
1.600e+000,8.7126e-003,-5.7748e-004
1.300e+000,8.7866e-003,-5.8113e-004
1.000e+000,8.8713e-003,-5.7949e-004
7.900e-001,8.9353e-003,-5.8507e-004
6.300e-001,8.9842e-003,-6.0696e-004
5.000e-001,9.0577e-003,-6.2621e-004
4.000e-001,9.1199e-003,-6.7477e-004
3.200e-001,9.1869e-003,-7.3521e-004
2.500e-001,9.3058e-003,-7.8414e-004
2.000e-001,9.3990e-003,-8.8077e-004
1.600e-001,9.4518e-003,-9.6901e-004
1.300e-001,9.5747e-003,-1.0534e-003
1.000e-001,9.7217e-003,-1.1833e-003
7.900e-002,9.8610e-003,-1.3615e-003
6.300e-002,1.0001e-002,-1.5402e-003
5.000e-002,1.0158e-002,-1.7508e-003
4.000e-002,1.0329e-002,-1.9875e-003
3.200e-002,1.0539e-002,-2.2575e-003
2.500e-002,1.0787e-002,-2.6280e-003
2.000e-002,1.1053e-002,-3.0047e-003
1.600e-002,1.1374e-002,-3.4942e-003
1.300e-002,1.1655e-002,-3.9949e-003
1.000e-002,1.2157e-002,-4.7322e-003
