Frequency[Hz],Z_real[ohm],Z_img[ohm]
1.000e+005,6.9985e-003,1.4387e-002
7.900e+004,6.7840e-003,1.1629e-002
6.300e+004,6.5437e-003,9.4687e-003
5.000e+004,6.3468e-003,7.7371e-003
4.000e+004,6.1786e-003,6.3484e-003
3.200e+004,6.0054e-003,5.2463e-003
2.500e+004,5.8253e-003,4.2505e-003
2.000e+004,5.6649e-003,3.5189e-003
1.600e+004,5.5285e-003,2.9056e-003
1.300e+004,5.4017e-003,2.4192e-003
1.000e+004,5.2667e-003,1.8906e-003
7.900e+003,5.1850e-003,1.4902e-003
6.300e+003,5.1226e-003,1.1513e-003
5.000e+003,5.0896e-003,8.4908e-004
4.000e+003,5.0797e-003,5.8775e-004
3.200e+003,5.1009e-003,3.7655e-004
2.500e+003,5.1431e-003,1.7349e-004
2.000e+003,5.1877e-003,1.2935e-005
1.600e+003,5.2531e-003,-1.2295e-004
1.300e+003,5.3162e-003,-2.3300e-004
1.000e+003,5.4064e-003,-3.4420e-004
7.899e+002,5.5037e-003,-4.3436e-004
6.301e+002,5.5910e-003,-5.0320e-004
5.000e+002,5.6958e-003,-5.5773e-004
4.000e+002,5.7917e-003,-6.0440e-004
3.200e+002,5.8927e-003,-6.6121e-004
2.500e+002,6.0103e-003,-7.0609e-004
2.000e+002,6.1102e-003,-7.5285e-004
1.600e+002,6.2268e-003,-7.9797e-004
1.300e+002,6.3378e-003,-8.3250e-004
1.000e+002,6.4774e-003,-8.9241e-004
7.900e+001,6.6212e-003,-9.3736e-004
6.300e+001,6.7473e-003,-9.8745e-004
5.000e+001,6.8850e-003,-1.0319e-003
4.000e+001,7.0530e-003,-1.0878e-003
3.200e+001,7.1938e-003,-1.1409e-003
2.500e+001,7.3977e-003,-1.2179e-003
2.000e+001,7.5984e-003,-1.2594e-003
1.600e+001,7.8048e-003,-1.2870e-003
1.300e+001,7.9805e-003,-1.3192e-003
1.000e+001,8.2591e-003,-1.3555e-003
7.900e+000,8.5156e-003,-1.3464e-003
6.300e+000,8.7582e-003,-1.3066e-003
5.000e+000,8.9877e-003,-1.2317e-003
4.000e+000,9.1757e-003,-1.1413e-003
3.200e+000,9.3289e-003,-1.0482e-003
2.500e+000,9.4875e-003,-9.7602e-004
2.000e+000,9.6015e-003,-8.9526e-004
1.600e+000,9.7038e-003,-8.3335e-004
1.300e+000,9.7812e-003,-7.7538e-004
1.000e+000,9.8871e-003,-7.6136e-004
7.900e-001,9.9719e-003,-7.4796e-004
6.300e-001,1.0057e-002,-7.4818e-004
5.000e-001,1.0150e-002,-7.5663e-004
4.000e-001,1.0211e-002,-7.8347e-004
3.200e-001,1.0304e-002,-8.2671e-004
2.500e-001,1.0395e-002,-8.8959e-004
2.000e-001,1.0485e-002,-9.4963e-004
1.600e-001,1.0586e-002,-1.0431e-003
1.300e-001,1.0695e-002,-1.1312e-003
1.000e-001,1.0839e-002,-1.2862e-003
7.900e-002,1.0974e-002,-1.4501e-003
6.300e-002,1.1126e-002,-1.6546e-003
5.000e-002,1.1284e-002,-1.8632e-003
4.000e-002,1.1485e-002,-2.1395e-003
3.200e-002,1.1693e-002,-2.4538e-003
2.500e-002,1.1964e-002,-2.8574e-003
2.000e-002,1.2258e-002,-3.2862e-003
1.600e-002,1.2572e-002,-3.7966e-003
1.300e-002,1.2941e-002,-4.3302e-003
1.000e-002,1.3527e-002,-5.1211e-003
