Frequency[Hz],Z_real[ohm],Z_img[ohm]
1.000e+005,6.9682e-003,1.4896e-002
7.900e+004,6.6899e-003,1.2022e-002
6.300e+004,6.4755e-003,9.8013e-003
5.000e+004,6.2926e-003,7.9628e-003
4.000e+004,6.1210e-003,6.5536e-003
3.200e+004,5.9391e-003,5.3999e-003
2.500e+004,5.7761e-003,4.3593e-003
2.000e+004,5.6196e-003,3.6045e-003
1.600e+004,5.4819e-003,2.9657e-003
1.300e+004,5.3688e-003,2.4641e-003
1.000e+004,5.2414e-003,1.9270e-003
7.900e+003,5.1510e-003,1.5087e-003
6.300e+003,5.0856e-003,1.1663e-003
5.000e+003,5.0621e-003,8.5798e-004
4.000e+003,5.0546e-003,5.9820e-004
3.200e+003,5.0718e-003,3.8745e-004
2.500e+003,5.1093e-003,1.7450e-004
2.000e+003,5.1586e-003,1.3999e-005
1.600e+003,5.2268e-003,-1.2100e-004
1.300e+003,5.2947e-003,-2.3417e-004
1.000e+003,5.3893e-003,-3.4766e-004
7.899e+002,5.4792e-003,-4.3137e-004
6.301e+002,5.5821e-003,-5.0253e-004
5.000e+002,5.6691e-003,-5.5570e-004
4.000e+002,5.7684e-003,-6.1279e-004
3.200e+002,5.8736e-003,-6.5643e-004
2.500e+002,5.9929e-003,-7.1190e-004
2.000e+002,6.0962e-003,-7.5316e-004
1.600e+002,6.2088e-003,-8.0050e-004
1.300e+002,6.3163e-003,-8.4062e-004
1.000e+002,6.4697e-003,-8.9261e-004
7.900e+001,6.5864e-003,-9.3749e-004
6.300e+001,6.7386e-003,-9.8602e-004
5.000e+001,6.8846e-003,-1.0448e-003
4.000e+001,7.0284e-003,-1.0908e-003
3.200e+001,7.1912e-003,-1.1357e-003
2.500e+001,7.3905e-003,-1.2042e-003
2.000e+001,7.5861e-003,-1.2584e-003
1.600e+001,7.7837e-003,-1.2823e-003
1.300e+001,7.9785e-003,-1.3173e-003
1.000e+001,8.2366e-003,-1.3375e-003
7.900e+000,8.5002e-003,-1.3302e-003
6.300e+000,8.7425e-003,-1.2880e-003
5.000e+000,8.9657e-003,-1.2107e-003
4.000e+000,9.1456e-003,-1.1230e-003
3.200e+000,9.3040e-003,-1.0333e-003
2.500e+000,9.4491e-003,-9.4597e-004
2.000e+000,9.5676e-003,-8.8126e-004
1.600e+000,9.6532e-003,-8.2364e-004
1.300e+000,9.7491e-003,-7.8636e-004
1.000e+000,9.8288e-003,-7.5798e-004
7.900e-001,9.9197e-003,-7.3593e-004
6.300e-001,1.0002e-002,-7.3130e-004
5.000e-001,1.0091e-002,-7.3105e-004
4.000e-001,1.0169e-002,-7.9043e-004
3.200e-001,1.0261e-002,-8.1701e-004
2.500e-001,1.0370e-002,-8.6734e-004
2.000e-001,1.0427e-002,-9.4533e-004
1.600e-001,1.0549e-002,-1.0609e-003
1.300e-001,1.0641e-002,-1.1288e-003
1.000e-001,1.0776e-002,-1.2954e-003
7.900e-002,1.0932e-002,-1.4552e-003
6.300e-002,1.1063e-002,-1.6671e-003
5.000e-002,1.1237e-002,-1.8737e-003
4.000e-002,1.1434e-002,-2.1516e-003
3.200e-002,1.1643e-002,-2.4530e-003
2.500e-002,1.1909e-002,-2.8608e-003
2.000e-002,1.2201e-002,-3.2878e-003
1.600e-002,1.2523e-002,-3.7846e-003
1.300e-002,1.2881e-002,-4.3307e-003
1.000e-002,1.3470e-002,-5.1157e-003
