Frequency[Hz],Z_real[ohm],Z_img[ohm]
1.000e+005,6.6902e-003,1.5385e-002
7.900e+004,6.4116e-003,1.2353e-002
6.300e+004,6.1951e-003,1.0021e-002
5.000e+004,5.9986e-003,8.1443e-003
4.000e+004,5.8346e-003,6.6651e-003
3.200e+004,5.6781e-003,5.4729e-003
2.500e+004,5.5152e-003,4.4272e-003
2.000e+004,5.3828e-003,3.6517e-003
1.600e+004,5.2513e-003,3.0139e-003
1.300e+004,5.1309e-003,2.5024e-003
1.000e+004,5.0023e-003,1.9673e-003
7.900e+003,4.9077e-003,1.5444e-003
6.300e+003,4.8461e-003,1.1967e-003
5.000e+003,4.8128e-003,8.8832e-004
4.000e+003,4.7995e-003,6.2621e-004
3.200e+003,4.8134e-003,3.9874e-004
2.500e+003,4.8530e-003,1.8337e-004
2.000e+003,4.9005e-003,1.3209e-005
1.600e+003,4.9644e-003,-1.2021e-004
1.300e+003,5.0351e-003,-2.4038e-004
1.000e+003,5.1275e-003,-3.5148e-004
7.899e+002,5.2269e-003,-4.4138e-004
6.301e+002,5.3243e-003,-5.1472e-004
5.000e+002,5.4241e-003,-5.7270e-004
4.000e+002,5.5296e-003,-6.2825e-004
3.200e+002,5.6364e-003,-6.7470e-004
2.500e+002,5.7589e-003,-7.2186e-004
2.000e+002,5.8639e-003,-7.6329e-004
1.600e+002,5.9882e-003,-8.0105e-004
1.300e+002,6.1054e-003,-8.3789e-004
1.000e+002,6.2540e-003,-8.7859e-004
7.900e+001,6.3965e-003,-9.1053e-004
6.300e+001,6.5261e-003,-9.4661e-004
5.000e+001,6.6803e-003,-9.7005e-004
4.000e+001,6.8341e-003,-1.0005e-003
3.200e+001,6.9791e-003,-1.0234e-003
2.500e+001,7.1716e-003,-1.0493e-003
2.000e+001,7.3493e-003,-1.0572e-003
1.600e+001,7.5207e-003,-1.0483e-003
1.300e+001,7.6761e-003,-1.0326e-003
1.000e+001,7.8705e-003,-9.9676e-004
7.900e+000,8.0481e-003,-9.5112e-004
6.300e+000,8.1913e-003,-8.9593e-004
5.000e+000,8.3261e-003,-8.3773e-004
4.000e+000,8.4367e-003,-7.8041e-004
3.200e+000,8.5367e-003,-7.2246e-004
2.500e+000,8.6241e-003,-6.6550e-004
2.000e+000,8.6944e-003,-6.2523e-004
1.600e+000,8.7595e-003,-6.0870e-004
1.300e+000,8.8537e-003,-5.8637e-004
1.000e+000,8.9440e-003,-5.9507e-004
7.900e-001,8.9805e-003,-5.9558e-004
6.300e-001,9.0565e-003,-6.0443e-004
5.000e-001,9.1091e-003,-6.3232e-004
4.000e-001,9.1702e-003,-6.9555e-004
3.200e-001,9.2417e-003,-7.0102e-004
2.500e-001,9.3884e-003,-8.0186e-004
2.000e-001,9.4293e-003,-8.6075e-004
1.600e-001,9.5195e-003,-9.7410e-004
1.300e-001,9.6179e-003,-1.0753e-003
1.000e-001,9.7845e-003,-1.1881e-003
7.900e-002,9.8873e-003,-1.3466e-003
6.300e-002,1.0059e-002,-1.5431e-003
5.000e-002,1.0205e-002,-1.7286e-003
4.000e-002,1.0375e-002,-1.9947e-003
3.200e-002,1.0538e-002,-2.2631e-003
2.500e-002,1.0800e-002,-2.6448e-003
2.000e-002,1.1082e-002,-3.0411e-003
1.600e-002,1.1359e-002,-3.5090e-003
1.300e-002,1.1714e-002,-4.0581e-003
1.000e-002,1.2257e-002,-4.7754e-003
