Frequency[Hz],Z_real[ohm],Z_img[ohm]
1.000e+005,7.1303e-003,1.5320e-002
7.900e+004,6.8960e-003,1.2355e-002
6.300e+004,6.6548e-003,1.0069e-002
5.000e+004,6.4685e-003,8.1641e-003
4.000e+004,6.2664e-003,6.6697e-003
3.200e+004,6.1185e-003,5.4785e-003
2.500e+004,5.9547e-003,4.4254e-003
2.000e+004,5.8178e-003,3.6437e-003
1.600e+004,5.6828e-003,2.9933e-003
1.300e+004,5.5626e-003,2.4863e-003
1.000e+004,5.4526e-003,1.9398e-003
7.900e+003,5.3616e-003,1.5168e-003
6.300e+003,5.3205e-003,1.1721e-003
5.000e+003,5.2787e-003,8.5622e-004
4.000e+003,5.2783e-003,5.9970e-004
3.200e+003,5.2936e-003,3.8183e-004
2.500e+003,5.3365e-003,1.7730e-004
2.000e+003,5.3875e-003,1.5207e-005
1.600e+003,5.4511e-003,-1.2951e-004
1.300e+003,5.5291e-003,-2.3633e-004
1.000e+003,5.6035e-003,-3.6984e-004
7.899e+002,5.7108e-003,-4.3380e-004
6.301e+002,5.8016e-003,-5.0403e-004
5.000e+002,5.9038e-003,-5.6333e-004
4.000e+002,5.9996e-003,-6.1533e-004
3.200e+002,6.1013e-003,-6.6659e-004
2.500e+002,6.2086e-003,-7.1370e-004
2.000e+002,6.3190e-003,-7.5787e-004
1.600e+002,6.4358e-003,-7.9932e-004
1.300e+002,6.5414e-003,-8.4489e-004
1.000e+002,6.6805e-003,-8.9620e-004
7.900e+001,6.8159e-003,-9.5427e-004
6.300e+001,6.9444e-003,-1.0033e-003
5.000e+001,7.0734e-003,-1.0556e-003
4.000e+001,7.2230e-003,-1.1228e-003
3.200e+001,7.4094e-003,-1.1671e-003
2.500e+001,7.5768e-003,-1.2637e-003
2.000e+001,7.8095e-003,-1.3474e-003
1.600e+001,8.0023e-003,-1.3935e-003
1.300e+001,8.1908e-003,-1.4788e-003
1.000e+001,8.4849e-003,-1.5690e-003
7.900e+000,8.7874e-003,-1.6081e-003
6.300e+000,9.1023e-003,-1.5936e-003
5.000e+000,9.4030e-003,-1.5308e-003
4.000e+000,9.6562e-003,-1.4502e-003
3.200e+000,9.8805e-003,-1.3459e-003
2.500e+000,1.0081e-002,-1.2293e-003
2.000e+000,1.0243e-002,-1.1287e-003
1.600e+000,1.0383e-002,-1.0567e-003
1.300e+000,1.0496e-002,-9.9265e-004
1.000e+000,1.0625e-002,-9.2909e-004
7.900e-001,1.0732e-002,-8.8588e-004
6.300e-001,1.0796e-002,-8.7599e-004
5.000e-001,1.0912e-002,-8.7974e-004
4.000e-001,1.1007e-002,-8.9105e-004
3.200e-001,1.1073e-002,-9.0160e-004
2.500e-001,1.1181e-002,-9.5752e-004
2.000e-001,1.1311e-002,-1.0322e-003
1.600e-001,1.1422e-002,-1.1115e-003
1.300e-001,1.1522e-002,-1.2148e-003
1.000e-001,1.1683e-002,-1.3624e-003
7.900e-002,1.1816e-002,-1.5109e-003
6.300e-002,1.1986e-002,-1.7292e-003
5.000e-002,1.2144e-002,-1.9569e-003
4.000e-002,1.2315e-002,-2.2253e-003
3.200e-002,1.2540e-002,-2.5492e-003
2.500e-002,1.2816e-002,-2.9870e-003
2.000e-002,1.3114e-002,-3.4238e-003
1.600e-002,1.3437e-002,-3.9570e-003
1.300e-002,1.3831e-002,-4.5156e-003
1.000e-002,1.4413e-002,-5.3368e-003
