Frequency[Hz],Z_real[ohm],Z_img[ohm]
1.000e+005,6.7005e-003,1.5557e-002
7.900e+004,6.4643e-003,1.2502e-002
6.300e+004,6.2787e-003,1.0143e-002
5.000e+004,6.0817e-003,8.2207e-003
4.000e+004,5.9351e-003,6.7532e-003
3.200e+004,5.7831e-003,5.5426e-003
2.500e+004,5.6130e-003,4.4725e-003
2.000e+004,5.4766e-003,3.7006e-003
1.600e+004,5.3401e-003,3.0518e-003
1.300e+004,5.2289e-003,2.5361e-003
1.000e+004,5.0921e-003,1.9929e-003
7.900e+003,5.0043e-003,1.5697e-003
6.300e+003,4.9369e-003,1.2208e-003
5.000e+003,4.9068e-003,9.0311e-004
4.000e+003,4.8867e-003,6.4122e-004
3.200e+003,4.8971e-003,4.1807e-004
2.500e+003,4.9443e-003,1.9267e-004
2.000e+003,4.9920e-003,3.7098e-005
1.600e+003,5.0507e-003,-1.0913e-004
1.300e+003,5.1156e-003,-2.3006e-004
1.000e+003,5.2088e-003,-3.4205e-004
7.899e+002,5.3180e-003,-4.3027e-004
6.301e+002,5.4039e-003,-5.0116e-004
5.000e+002,5.5068e-003,-5.7117e-004
4.000e+002,5.6098e-003,-6.1848e-004
3.200e+002,5.7134e-003,-6.6303e-004
2.500e+002,5.8304e-003,-7.1438e-004
2.000e+002,5.9464e-003,-7.6184e-004
1.600e+002,6.0599e-003,-7.9814e-004
1.300e+002,6.1706e-003,-8.3893e-004
1.000e+002,6.3269e-003,-8.7940e-004
7.900e+001,6.4628e-003,-9.1982e-004
6.300e+001,6.6018e-003,-9.5696e-004
5.000e+001,6.7466e-003,-9.8921e-004
4.000e+001,6.9043e-003,-1.0260e-003
3.200e+001,7.0613e-003,-1.0505e-003
2.500e+001,7.2434e-003,-1.0912e-003
2.000e+001,7.4250e-003,-1.1013e-003
1.600e+001,7.6102e-003,-1.0952e-003
1.300e+001,7.7720e-003,-1.0802e-003
1.000e+001,7.9814e-003,-1.0628e-003
7.900e+000,8.1709e-003,-1.0184e-003
6.300e+000,8.3349e-003,-9.6536e-004
5.000e+000,8.4843e-003,-8.9077e-004
4.000e+000,8.6075e-003,-8.2497e-004
3.200e+000,8.7137e-003,-7.5884e-004
2.500e+000,8.8167e-003,-7.1303e-004
2.000e+000,8.8884e-003,-6.6526e-004
1.600e+000,8.9742e-003,-6.4835e-004
1.300e+000,9.0345e-003,-6.1794e-004
1.000e+000,9.1106e-003,-5.9790e-004
7.900e-001,9.1753e-003,-6.1690e-004
6.300e-001,9.2263e-003,-6.2174e-004
5.000e-001,9.3147e-003,-6.4906e-004
4.000e-001,9.3859e-003,-6.8341e-004
3.200e-001,9.4599e-003,-7.1804e-004
2.500e-001,9.5587e-003,-8.2278e-004
2.000e-001,9.6077e-003,-8.6980e-004
1.600e-001,9.7032e-003,-9.6876e-004
1.300e-001,9.8163e-003,-1.0682e-003
1.000e-001,9.9659e-003,-1.2315e-003
7.900e-002,1.0101e-002,-1.3717e-003
6.300e-002,1.0245e-002,-1.5700e-003
5.000e-002,1.0423e-002,-1.7836e-003
4.000e-002,1.0597e-002,-2.0274e-003
3.200e-002,1.0771e-002,-2.3216e-003
2.500e-002,1.1032e-002,-2.6786e-003
2.000e-002,1.1344e-002,-3.1088e-003
1.600e-002,1.1603e-002,-3.5612e-003
1.300e-002,1.1899e-002,-4.0812e-003
1.000e-002,1.2425e-002,-4.8375e-003
