time [sec],V [mV],I [mA]
10046.25,3195.723,3.126
10046.29,3198.826,-312.968
10046.31,3204.336,-792.085
10046.33,3210.099,-1233.867
10046.35,3214.686,-1547.061
10046.37,3217.813,-1727.074
10046.41,3220.947,-1823.308
10046.78,3224.008,-1748.515
10047.30,3227.049,-1748.790
10048.01,3230.057,-1748.756
10048.87,3233.148,-1748.643
10049.69,3236.207,-1748.744
10050.60,3239.284,-1749.404
10051.51,3242.297,-1748.952
10052.49,3245.373,-1748.942
10053.53,3248.439,-1748.524
10054.62,3251.460,-1749.290
10055.66,3254.460,-1748.837
10056.74,3257.480,-1748.819
10057.71,3260.546,-1748.314
10058.78,3263.548,-1748.653
10059.93,3266.551,-1748.891
10061.04,3269.601,-1748.829
10062.24,3272.603,-1748.938
10063.28,3275.605,-1748.651
10064.53,3278.633,-1749.009
10065.78,3281.652,-1748.683
10066.98,3284.687,-1748.949
10068.31,3287.714,-1748.841
10069.57,3290.737,-1748.851
10070.75,3293.744,-1748.993
10072.19,3296.776,-1748.947
10073.51,3299.812,-1748.719
10074.63,3302.825,-1749.134
10076.06,3305.861,-1748.727
10077.53,3308.901,-1748.661
10078.94,3311.968,-1749.080
10080.36,3315.027,-1749.095
10081.97,3318.044,-1748.957
10083.39,3321.112,-1748.531
10085.03,3324.190,-1748.387
10086.45,3327.220,-1749.097
10088.07,3330.249,-1748.745
10089.43,3333.270,-1748.594
10090.96,3336.307,-1748.674
10092.73,3339.315,-1748.958
10094.40,3342.324,-1749.008
10095.93,3345.349,-1748.871
10097.59,3348.444,-1749.067
10099.38,3351.504,-1748.717
10101.21,3354.506,-1748.709
10102.70,3357.524,-1748.658
10104.50,3360.550,-1748.644
10106.23,3363.553,-1748.724
10108.02,3366.585,-1749.087
10110.06,3369.589,-1748.839
10111.84,3372.637,-1748.712
10113.71,3375.638,-1748.834
10115.61,3378.648,-1748.944
10117.53,3381.665,-1748.912
10119.47,3384.700,-1749.143
10121.42,3387.740,-1748.686
10123.31,3390.744,-1748.782
10125.28,3393.784,-1748.774
10127.16,3396.793,-1748.934
10129.38,3399.810,-1749.043
10131.47,3402.810,-1749.102
10133.62,3405.811,-1748.776
10135.60,3408.827,-1748.771
10137.81,3411.870,-1748.814
10139.92,3414.908,-1748.939
10142.21,3417.925,-1748.746
10144.50,3420.928,-1749.033
10146.74,3423.930,-1749.026
10149.12,3426.963,-1749.032
10151.36,3429.976,-1748.987
10153.70,3432.976,-1749.119
10156.13,3436.039,-1748.546
10158.55,3439.090,-1748.857
10160.83,3442.115,-1748.462
10163.36,3445.127,-1749.103
10165.91,3448.151,-1748.710
10168.27,3451.170,-1748.970
10171.15,3454.222,-1748.531
10173.63,3457.247,-1748.747
10176.22,3460.296,-1748.790
10178.73,3463.312,-1749.159
10181.45,3466.331,-1748.265
10184.45,3469.348,-1748.798
10186.77,3472.396,-1749.017
10189.79,3475.435,-1748.899
10192.40,3478.477,-1748.648
10195.20,3481.502,-1748.262
10198.11,3484.533,-1749.070
10200.94,3487.540,-1748.630
10203.81,3490.546,-1748.907
10206.92,3493.551,-1749.028
10209.91,3496.582,-1748.923
10212.56,3499.582,-1748.940
10215.90,3502.597,-1748.728
10218.87,3505.652,-1748.847
10222.05,3508.667,-1748.988
10224.71,3511.683,-1748.721
10228.25,3514.684,-1748.994
10231.51,3517.701,-1749.024
10234.66,3520.708,-1748.963
10237.94,3523.734,-1748.845
10241.37,3526.802,-1748.502
10244.68,3529.833,-1748.505
10248.05,3532.852,-1749.175
10251.31,3535.878,-1748.482
10254.76,3538.919,-1749.004
10258.51,3541.937,-1748.937
10261.98,3544.989,-1748.951
10265.58,3548.022,-1748.672
10269.13,3551.025,-1749.128
10272.53,3554.036,-1748.774
10276.35,3557.122,-1749.108
10280.38,3560.150,-1748.711
10283.66,3563.190,-1749.119
10287.91,3566.220,-1749.235
10291.38,3569.232,-1748.997
10295.60,3572.234,-1748.960
10299.30,3575.351,-1748.938
10303.46,3578.454,-1748.985
10308.02,3581.504,-1748.619
10311.79,3584.529,-1748.818
10315.98,3587.584,-1749.331
10320.27,3590.617,-1748.850
10324.53,3593.652,-1748.981
10328.42,3596.692,-1749.022
10332.86,3599.755,-1748.346
10337.31,3602.758,-1749.190
10341.49,3605.777,-1748.692
10345.81,3608.809,-1748.523
10350.47,3611.834,-1748.994
10355.41,3614.843,-1749.074
10359.61,3617.891,-1749.002
10364.37,3620.915,-1749.006
10369.30,3623.948,-1748.804
10373.76,3626.980,-1748.992
10378.43,3630.013,-1748.653
10383.65,3633.094,-1748.633
10388.70,3636.115,-1748.865
10393.80,3639.130,-1748.937
10399.07,3642.154,-1748.897
10404.00,3645.202,-1748.606
