Frequency[Hz],Z_real[ohm],Z_img[ohm]
1.000e+005,6.7239e-003,1.5536e-002
7.900e+004,6.4963e-003,1.2482e-002
6.300e+004,6.3124e-003,1.0149e-002
5.000e+004,6.1511e-003,8.2286e-003
4.000e+004,5.9732e-003,6.7300e-003
3.200e+004,5.8234e-003,5.5278e-003
2.500e+004,5.6631e-003,4.4650e-003
2.000e+004,5.5256e-003,3.6790e-003
1.600e+004,5.3952e-003,3.0427e-003
1.300e+004,5.2769e-003,2.5325e-003
1.000e+004,5.1448e-003,1.9847e-003
7.900e+003,5.0549e-003,1.5671e-003
6.300e+003,4.9991e-003,1.2118e-003
5.000e+003,4.9644e-003,9.0756e-004
4.000e+003,4.9452e-003,6.3830e-004
3.200e+003,4.9590e-003,4.1723e-004
2.500e+003,4.9929e-003,2.0539e-004
2.000e+003,5.0405e-003,3.9821e-005
1.600e+003,5.1060e-003,-1.0410e-004
1.300e+003,5.1692e-003,-2.1445e-004
1.000e+003,5.2681e-003,-3.3388e-004
7.899e+002,5.3580e-003,-4.2545e-004
6.301e+002,5.4505e-003,-4.9315e-004
5.000e+002,5.5545e-003,-5.4949e-004
4.000e+002,5.6476e-003,-6.0526e-004
3.200e+002,5.7548e-003,-6.5555e-004
2.500e+002,5.8591e-003,-7.0397e-004
2.000e+002,5.9793e-003,-7.4996e-004
1.600e+002,6.0927e-003,-7.8619e-004
1.300e+002,6.2008e-003,-8.2848e-004
1.000e+002,6.3422e-003,-8.7669e-004
7.900e+001,6.4780e-003,-9.2061e-004
6.300e+001,6.6182e-003,-9.6544e-004
5.000e+001,6.7609e-003,-9.9484e-004
4.000e+001,6.9095e-003,-1.0500e-003
3.200e+001,7.0697e-003,-1.0824e-003
2.500e+001,7.2611e-003,-1.1235e-003
2.000e+001,7.4585e-003,-1.1623e-003
1.600e+001,7.6426e-003,-1.1687e-003
1.300e+001,7.8207e-003,-1.1705e-003
1.000e+001,8.0593e-003,-1.1664e-003
7.900e+000,8.2647e-003,-1.1415e-003
6.300e+000,8.4590e-003,-1.0742e-003
5.000e+000,8.6327e-003,-1.0081e-003
4.000e+000,8.7785e-003,-9.4428e-004
3.200e+000,8.9084e-003,-8.6712e-004
2.500e+000,9.0123e-003,-7.8492e-004
2.000e+000,9.1131e-003,-7.4878e-004
1.600e+000,9.1960e-003,-7.0076e-004
1.300e+000,9.2635e-003,-6.8105e-004
1.000e+000,9.3190e-003,-6.6319e-004
7.900e-001,9.4028e-003,-6.5042e-004
6.300e-001,9.5059e-003,-6.5309e-004
5.000e-001,9.5599e-003,-6.8209e-004
4.000e-001,9.6432e-003,-7.3551e-004
3.200e-001,9.7405e-003,-7.6868e-004
2.500e-001,9.8255e-003,-8.2317e-004
2.000e-001,9.8861e-003,-9.0024e-004
1.600e-001,9.9841e-003,-9.9996e-004
1.300e-001,1.0108e-002,-1.0697e-003
1.000e-001,1.0211e-002,-1.2609e-003
7.900e-002,1.0376e-002,-1.3959e-003
6.300e-002,1.0487e-002,-1.5847e-003
5.000e-002,1.0681e-002,-1.8141e-003
4.000e-002,1.0863e-002,-2.0759e-003
3.200e-002,1.1037e-002,-2.3420e-003
2.500e-002,1.1291e-002,-2.7532e-003
2.000e-002,1.1552e-002,-3.1631e-003
1.600e-002,1.1877e-002,-3.6605e-003
1.300e-002,1.2253e-002,-4.2058e-003
1.000e-002,1.2870e-002,-4.9309e-003
