Frequency[Hz],Z_real[ohm],Z_img[ohm]
1.000e+005,6.3991e-003,1.3970e-002
7.900e+004,6.1759e-003,1.1247e-002
6.300e+004,5.9896e-003,9.1570e-003
5.000e+004,5.8306e-003,7.4373e-003
4.000e+004,5.6541e-003,6.1249e-003
3.200e+004,5.4888e-003,5.0482e-003
2.500e+004,5.3244e-003,4.0944e-003
2.000e+004,5.1840e-003,3.3884e-003
1.600e+004,5.0408e-003,2.7962e-003
1.300e+004,4.9246e-003,2.3229e-003
1.000e+004,4.8063e-003,1.8174e-003
7.900e+003,4.7220e-003,1.4220e-003
6.300e+003,4.6631e-003,1.0948e-003
5.000e+003,4.6349e-003,8.0367e-004
4.000e+003,4.6327e-003,5.5464e-004
3.200e+003,4.6496e-003,3.4763e-004
2.500e+003,4.6869e-003,1.5138e-004
2.000e+003,4.7389e-003,-3.8919e-006
1.600e+003,4.8019e-003,-1.3663e-004
1.300e+003,4.8695e-003,-2.4011e-004
1.000e+003,4.9626e-003,-3.5276e-004
7.899e+002,5.0568e-003,-4.2608e-004
6.301e+002,5.1398e-003,-4.9104e-004
5.000e+002,5.2419e-003,-5.5136e-004
4.000e+002,5.3373e-003,-6.0661e-004
3.200e+002,5.4428e-003,-6.4989e-004
2.500e+002,5.5546e-003,-6.9220e-004
2.000e+002,5.6541e-003,-7.3993e-004
1.600e+002,5.7674e-003,-7.7866e-004
1.300e+002,5.8813e-003,-8.2163e-004
1.000e+002,6.0223e-003,-8.5483e-004
7.900e+001,6.1614e-003,-9.0536e-004
6.300e+001,6.2869e-003,-9.4837e-004
5.000e+001,6.4262e-003,-1.0004e-003
4.000e+001,6.5821e-003,-1.0372e-003
3.200e+001,6.7208e-003,-1.0743e-003
2.500e+001,6.9150e-003,-1.1366e-003
2.000e+001,7.1055e-003,-1.1731e-003
1.600e+001,7.2869e-003,-1.1886e-003
1.300e+001,7.4658e-003,-1.2161e-003
1.000e+001,7.7122e-003,-1.2186e-003
7.900e+000,7.9454e-003,-1.2042e-003
6.300e+000,8.1644e-003,-1.1529e-003
5.000e+000,8.3502e-003,-1.0883e-003
4.000e+000,8.5045e-003,-1.0106e-003
3.200e+000,8.6453e-003,-9.2966e-004
2.500e+000,8.7772e-003,-8.5297e-004
2.000e+000,8.8607e-003,-7.8537e-004
1.600e+000,8.9498e-003,-7.3950e-004
1.300e+000,9.0361e-003,-7.1317e-004
1.000e+000,9.1138e-003,-6.7576e-004
7.900e-001,9.1952e-003,-6.7135e-004
6.300e-001,9.2591e-003,-6.8634e-004
5.000e-001,9.3482e-003,-7.0272e-004
4.000e-001,9.4169e-003,-7.3354e-004
3.200e-001,9.5186e-003,-7.8570e-004
2.500e-001,9.5976e-003,-8.3873e-004
2.000e-001,9.7020e-003,-9.1673e-004
1.600e-001,9.7732e-003,-9.9014e-004
1.300e-001,9.8752e-003,-1.0867e-003
1.000e-001,1.0004e-002,-1.2547e-003
7.900e-002,1.0158e-002,-1.4065e-003
6.300e-002,1.0271e-002,-1.5815e-003
5.000e-002,1.0451e-002,-1.8032e-003
4.000e-002,1.0624e-002,-2.0714e-003
3.200e-002,1.0839e-002,-2.3786e-003
2.500e-002,1.1097e-002,-2.7683e-003
2.000e-002,1.1337e-002,-3.1967e-003
1.600e-002,1.1652e-002,-3.6976e-003
1.300e-002,1.1982e-002,-4.2205e-003
1.000e-002,1.2529e-002,-5.0302e-003
