Frequency[Hz],Z_real[ohm],Z_img[ohm]
1.000e+005,6.6763e-003,1.5776e-002
7.900e+004,6.4123e-003,1.2696e-002
6.300e+004,6.2404e-003,1.0299e-002
5.000e+004,6.0580e-003,8.3401e-003
4.000e+004,5.8847e-003,6.8361e-003
3.200e+004,5.7108e-003,5.6084e-003
2.500e+004,5.5632e-003,4.5180e-003
2.000e+004,5.4296e-003,3.7311e-003
1.600e+004,5.2927e-003,3.0684e-003
1.300e+004,5.1836e-003,2.5584e-003
1.000e+004,5.0549e-003,1.9835e-003
7.900e+003,4.9740e-003,1.5595e-003
6.300e+003,4.9116e-003,1.2042e-003
5.000e+003,4.8783e-003,8.8303e-004
4.000e+003,4.8738e-003,6.1238e-004
3.200e+003,4.8864e-003,3.8184e-004
2.500e+003,4.9285e-003,1.4850e-004
2.000e+003,4.9890e-003,-1.2058e-005
1.600e+003,5.0530e-003,-1.6432e-004
1.300e+003,5.1337e-003,-2.7665e-004
1.000e+003,5.2403e-003,-3.9958e-004
7.899e+002,5.3513e-003,-4.9007e-004
6.301e+002,5.4562e-003,-5.6725e-004
5.000e+002,5.5701e-003,-6.2290e-004
4.000e+002,5.6809e-003,-6.8039e-004
3.200e+002,5.7979e-003,-7.2594e-004
2.500e+002,5.9328e-003,-7.6223e-004
2.000e+002,6.0537e-003,-8.0231e-004
1.600e+002,6.1791e-003,-8.3109e-004
1.300e+002,6.2932e-003,-8.5519e-004
1.000e+002,6.4558e-003,-9.0043e-004
7.900e+001,6.5986e-003,-9.2197e-004
6.300e+001,6.7454e-003,-9.4681e-004
5.000e+001,6.8948e-003,-9.6362e-004
4.000e+001,7.0428e-003,-9.7848e-004
3.200e+001,7.1868e-003,-9.8699e-004
2.500e+001,7.3759e-003,-9.9346e-004
2.000e+001,7.5443e-003,-9.7896e-004
1.600e+001,7.6959e-003,-9.4981e-004
1.300e+001,7.8310e-003,-9.1835e-004
1.000e+001,7.9997e-003,-8.8357e-004
7.900e+000,8.1378e-003,-8.3425e-004
6.300e+000,8.2551e-003,-7.8513e-004
5.000e+000,8.3667e-003,-7.3373e-004
4.000e+000,8.4671e-003,-6.8554e-004
3.200e+000,8.5461e-003,-6.4624e-004
2.500e+000,8.6266e-003,-6.1465e-004
2.000e+000,8.7000e-003,-5.9252e-004
1.600e+000,8.7613e-003,-5.7829e-004
1.300e+000,8.8272e-003,-5.6943e-004
1.000e+000,8.9091e-003,-5.9273e-004
7.900e-001,8.9705e-003,-5.9320e-004
6.300e-001,9.0493e-003,-6.1579e-004
5.000e-001,9.1535e-003,-6.7633e-004
4.000e-001,9.1874e-003,-6.8371e-004
3.200e-001,9.2822e-003,-7.3300e-004
2.500e-001,9.3579e-003,-8.0074e-004
2.000e-001,9.4577e-003,-8.8971e-004
1.600e-001,9.5580e-003,-9.8272e-004
1.300e-001,9.6885e-003,-1.0983e-003
1.000e-001,9.8353e-003,-1.2250e-003
7.900e-002,9.9595e-003,-1.3583e-003
6.300e-002,1.0077e-002,-1.5276e-003
5.000e-002,1.0272e-002,-1.7406e-003
4.000e-002,1.0444e-002,-1.9899e-003
3.200e-002,1.0613e-002,-2.2449e-003
2.500e-002,1.0873e-002,-2.5953e-003
2.000e-002,1.1112e-002,-2.9808e-003
1.600e-002,1.1422e-002,-3.4233e-003
1.300e-002,1.1701e-002,-3.9303e-003
1.000e-002,1.2286e-002,-4.6559e-003
