time [sec],V [mV],I [mA]
6485.01,3199.756,3.117
6485.06,3205.241,-544.729
6485.08,3210.826,-1024.531
6485.10,3215.867,-1407.157
6485.12,3219.641,-1651.648
6485.15,3222.842,-1806.125
6485.38,3225.883,-1747.425
6485.87,3228.896,-1748.761
6486.49,3231.903,-1748.494
6487.25,3234.925,-1748.686
6488.16,3237.964,-1748.460
6489.02,3241.008,-1748.533
6489.99,3244.048,-1749.124
6490.92,3247.071,-1748.971
6491.94,3250.080,-1749.060
6493.03,3253.118,-1748.809
6494.07,3256.135,-1748.971
6495.15,3259.142,-1748.809
6496.24,3262.160,-1749.465
6497.41,3265.221,-1748.821
6498.47,3268.232,-1749.066
6499.60,3271.233,-1748.595
6500.81,3274.251,-1749.698
6501.93,3277.374,-1748.813
6503.36,3280.407,-1748.872
6504.37,3283.436,-1749.223
6505.63,3286.464,-1749.134
6507.05,3289.544,-1749.017
6508.29,3292.641,-1748.848
6509.69,3295.648,-1749.029
6510.99,3298.662,-1748.971
6512.27,3301.684,-1749.092
6513.68,3304.766,-1748.946
6515.26,3307.817,-1749.003
6516.47,3310.889,-1748.872
6518.08,3313.946,-1748.938
6519.53,3316.946,-1749.019
6520.97,3319.966,-1748.614
6522.55,3322.968,-1749.204
6524.07,3326.087,-1749.154
6525.67,3329.144,-1749.153
6527.26,3332.203,-1748.377
6528.81,3335.233,-1748.795
6530.52,3338.241,-1748.992
6532.07,3341.288,-1749.040
6533.78,3344.291,-1748.531
6535.48,3347.339,-1749.114
6537.14,3350.367,-1748.855
6539.00,3353.373,-1748.830
6540.68,3356.393,-1748.999
6542.34,3359.455,-1748.692
6544.30,3362.469,-1748.827
6546.16,3365.539,-1748.857
6547.82,3368.588,-1748.856
6549.83,3371.648,-1748.484
6551.71,3374.661,-1748.979
6553.70,3377.731,-1749.093
6555.64,3380.749,-1749.192
6557.47,3383.756,-1748.436
6559.51,3386.814,-1749.138
6561.48,3389.846,-1749.117
6563.48,3392.889,-1749.176
6565.75,3395.989,-1748.726
6567.82,3398.997,-1749.078
6569.88,3402.036,-1748.487
6572.16,3405.047,-1749.133
6574.31,3408.116,-1748.929
6576.58,3411.175,-1748.899
6578.75,3414.183,-1749.318
6580.97,3417.284,-1749.127
6583.46,3420.290,-1748.660
6585.60,3423.293,-1749.045
6588.01,3426.297,-1748.813
6590.30,3429.365,-1749.015
6592.66,3432.366,-1748.936
6595.19,3435.431,-1748.989
6597.80,3438.450,-1749.232
6600.12,3441.501,-1748.658
6602.79,3444.532,-1748.805
6605.34,3447.544,-1749.010
6607.66,3450.544,-1749.166
6610.42,3453.606,-1749.040
6613.06,3456.628,-1748.615
6615.75,3459.659,-1749.082
6618.40,3462.686,-1749.231
6621.21,3465.743,-1748.348
6623.92,3468.761,-1749.206
6626.80,3471.794,-1748.728
6629.45,3474.825,-1748.735
6632.36,3477.850,-1749.197
6635.29,3480.877,-1749.263
6638.36,3483.913,-1748.818
6641.16,3486.953,-1749.108
6644.10,3489.953,-1749.472
6647.35,3492.968,-1748.279
6650.27,3496.009,-1749.028
6653.18,3499.009,-1749.201
6656.45,3502.079,-1749.001
6659.71,3505.106,-1748.985
6662.57,3508.111,-1748.851
6665.73,3511.114,-1748.629
6669.19,3514.232,-1748.944
6672.48,3517.245,-1748.562
6675.68,3520.292,-1748.650
6678.99,3523.293,-1748.928
6682.50,3526.347,-1749.385
6686.06,3529.369,-1748.822
6689.34,3532.372,-1748.624
6693.09,3535.443,-1748.818
6696.49,3538.500,-1749.002
6700.07,3541.547,-1748.755
6703.85,3544.551,-1749.009
6707.42,3547.569,-1749.067
6711.02,3550.613,-1749.022
6715.02,3553.643,-1749.122
6718.55,3556.643,-1749.144
6722.45,3559.677,-1748.836
6726.10,3562.727,-1748.933
6730.32,3565.797,-1748.802
6734.34,3568.806,-1748.706
6737.99,3571.825,-1748.931
6741.80,3574.861,-1748.800
6746.22,3577.885,-1748.592
6750.43,3580.892,-1749.149
6754.65,3583.949,-1748.757
6758.49,3586.988,-1748.900
6763.10,3589.988,-1748.909
6766.76,3592.991,-1748.730
6771.08,3596.008,-1748.909
6775.83,3599.030,-1748.780
6780.20,3602.038,-1749.110
6784.44,3605.070,-1748.920
6789.24,3608.086,-1748.960
6793.60,3611.135,-1749.099
6798.33,3614.177,-1749.218
6803.02,3617.203,-1749.180
6807.78,3620.256,-1748.445
6812.66,3623.330,-1749.578
6817.08,3626.353,-1748.792
6822.41,3629.418,-1748.839
6827.28,3632.487,-1748.741
6832.38,3635.500,-1748.914
6837.41,3638.527,-1748.566
6842.57,3641.544,-1748.935
6848.12,3644.556,-1749.032
6853.91,3647.594,-1749.184
6859.40,3650.607,-1748.868
6864.29,3653.664,-1749.009
6870.03,3656.684,-1749.329
6875.57,3659.697,-1748.934
6881.17,3662.719,-1749.018
6886.54,3665.738,-1748.838
6892.58,3668.748,-1748.967
6898.42,3671.752,-1748.630
6904.60,3674.775,-1749.005
6910.86,3677.838,-1748.783
6917.32,3680.840,-1749.177
6923.01,3683.896,-1748.905
6930.00,3686.920,-1748.925
6936.21,3689.952,-1748.913
6942.33,3692.980,-1749.330
6949.51,3696.008,-1748.842
6956.46,3699.046,-1748.491
6962.87,3702.066,-1749.074
6969.76,3705.067,-1749.010
6977.48,3708.082,-1748.851
6985.04,3711.101,-1749.038
6992.60,3714.105,-1748.914
