Frequency[Hz],Z_real[ohm],Z_img[ohm]
1.000e+005,6.7535e-003,1.5598e-002
7.900e+004,6.4510e-003,1.2583e-002
6.300e+004,6.2425e-003,1.0212e-002
5.000e+004,6.0603e-003,8.2867e-003
4.000e+004,5.9061e-003,6.7881e-003
3.200e+004,5.7476e-003,5.5711e-003
2.500e+004,5.5755e-003,4.5040e-003
2.000e+004,5.4357e-003,3.7089e-003
1.600e+004,5.3043e-003,3.0610e-003
1.300e+004,5.1817e-003,2.5508e-003
1.000e+004,5.0547e-003,2.0011e-003
7.900e+003,4.9608e-003,1.5798e-003
6.300e+003,4.9049e-003,1.2267e-003
5.000e+003,4.8567e-003,9.1472e-004
4.000e+003,4.8475e-003,6.4552e-004
3.200e+003,4.8615e-003,4.2324e-004
2.500e+003,4.8973e-003,1.9909e-004
2.000e+003,4.9467e-003,3.6260e-005
1.600e+003,5.0116e-003,-1.1036e-004
1.300e+003,5.0725e-003,-2.1893e-004
1.000e+003,5.1705e-003,-3.3687e-004
7.899e+002,5.2762e-003,-4.3434e-004
6.301e+002,5.3687e-003,-5.0412e-004
5.000e+002,5.4627e-003,-5.5818e-004
4.000e+002,5.5677e-003,-6.2258e-004
3.200e+002,5.6745e-003,-6.6475e-004
2.500e+002,5.7894e-003,-7.1712e-004
2.000e+002,5.9046e-003,-7.6594e-004
1.600e+002,6.0228e-003,-7.9975e-004
1.300e+002,6.1299e-003,-8.4330e-004
1.000e+002,6.2860e-003,-8.8356e-004
7.900e+001,6.4265e-003,-9.1965e-004
6.300e+001,6.5628e-003,-9.5091e-004
5.000e+001,6.7187e-003,-9.8031e-004
4.000e+001,6.8637e-003,-1.0239e-003
3.200e+001,7.0197e-003,-1.0387e-003
2.500e+001,7.2021e-003,-1.0743e-003
2.000e+001,7.3844e-003,-1.0775e-003
1.600e+001,7.5601e-003,-1.0716e-003
1.300e+001,7.7239e-003,-1.0590e-003
1.000e+001,7.9305e-003,-1.0406e-003
7.900e+000,8.1064e-003,-9.9681e-004
6.300e+000,8.2608e-003,-9.3058e-004
5.000e+000,8.4139e-003,-8.6785e-004
4.000e+000,8.5307e-003,-8.1542e-004
3.200e+000,8.6253e-003,-7.4034e-004
2.500e+000,8.7305e-003,-6.9985e-004
2.000e+000,8.8061e-003,-6.5408e-004
1.600e+000,8.8669e-003,-6.2904e-004
1.300e+000,8.9323e-003,-6.1064e-004
1.000e+000,8.9964e-003,-5.9675e-004
7.900e-001,9.0898e-003,-5.8935e-004
6.300e-001,9.1635e-003,-6.2715e-004
5.000e-001,9.2081e-003,-6.4242e-004
4.000e-001,9.2853e-003,-6.8403e-004
3.200e-001,9.3819e-003,-7.3007e-004
2.500e-001,9.4648e-003,-7.9485e-004
2.000e-001,9.5183e-003,-8.3108e-004
1.600e-001,9.6622e-003,-9.6785e-004
1.300e-001,9.7064e-003,-1.0580e-003
1.000e-001,9.8403e-003,-1.2261e-003
7.900e-002,9.9528e-003,-1.3627e-003
6.300e-002,1.0137e-002,-1.5573e-003
5.000e-002,1.0298e-002,-1.7621e-003
4.000e-002,1.0470e-002,-1.9933e-003
3.200e-002,1.0664e-002,-2.2969e-003
2.500e-002,1.0934e-002,-2.6674e-003
2.000e-002,1.1189e-002,-3.0607e-003
1.600e-002,1.1520e-002,-3.5634e-003
1.300e-002,1.1841e-002,-4.0569e-003
1.000e-002,1.2321e-002,-4.7897e-003
