time [sec],V [mV],I [mA]
0.0,3188.73,3.368
0.04,3191.858,-311.173
0.06,3196.85,-790.211
0.08,3202.068,-1232.322
0.1,3206.154,-1546.068
0.13,3209.803,-1776.454
0.36,3212.828,-1746.543
0.83,3215.875,-1748.514
1.43,3218.926,-1748.344
2.3,3221.96,-1748.285
3.09,3224.989,-1747.901
4.02,3228.054,-1748.657
5.02,3231.061,-1748.759
5.91,3234.148,-1748.387
6.97,3237.158,-1748.663
8.0,3240.17,-1748.343
9.0,3243.229,-1748.669
9.94,3246.23,-1748.455
11.09,3249.231,-1748.396
12.16,3252.255,-1748.416
13.27,3255.267,-1748.382
14.52,3258.361,-1748.299
15.63,3261.394,-1748.327
16.74,3264.4,-1748.335
18.02,3267.429,-1748.175
19.15,3270.455,-1748.438
20.26,3273.458,-1748.486
21.74,3276.499,-1748.627
23.02,3279.526,-1748.927
24.3,3282.607,-1748.734
25.7,3285.64,-1748.649
27.04,3288.667,-1748.271
28.38,3291.678,-1748.564
29.85,3294.718,-1748.856
31.2,3297.762,-1748.732
32.47,3300.804,-1748.339
34.0,3303.884,-1748.46
35.64,3307.014,-1748.744
37.02,3310.025,-1748.574
38.69,3313.057,-1748.278
40.2,3316.071,-1748.922
41.77,3319.108,-1748.582
43.39,3322.147,-1747.972
45.01,3325.159,-1748.454
46.53,3328.196,-1748.718
48.27,3331.256,-1747.917
49.99,3334.268,-1748.347
51.64,3337.278,-1748.731
53.28,3340.287,-1748.853
55.1,3343.389,-1748.631
56.77,3346.447,-1748.402
58.66,3349.488,-1748.081
60.48,3352.525,-1748.382
62.56,3355.565,-1748.309
64.2,3358.601,-1748.639
66.1,3361.614,-1748.591
68.16,3364.637,-1748.43
69.88,3367.65,-1748.618
72.01,3370.687,-1748.278
73.9,3373.729,-1748.828
76.06,3376.731,-1748.663
78.02,3379.825,-1748.543
80.03,3382.869,-1748.103
82.3,3385.919,-1748.173
84.32,3388.924,-1748.29
86.44,3391.991,-1748.295
88.53,3395.007,-1748.932
90.75,3398.064,-1749.019
92.88,3401.065,-1748.312
95.36,3404.094,-1748.126
97.56,3407.136,-1748.726
100.12,3410.172,-1748.229
102.23,3413.172,-1748.485
104.67,3416.284,-1748.614
107.28,3419.319,-1748.805
109.78,3422.382,-1748.882
111.9,3425.401,-1748.547
114.57,3428.413,-1748.502
116.96,3431.444,-1748.455
119.55,3434.477,-1748.818
121.98,3437.498,-1748.201
124.36,3440.539,-1748.297
127.5,3443.55,-1748.334
130.04,3446.575,-1748.438
132.81,3449.604,-1748.589
135.58,3452.638,-1748.672
138.48,3455.68,-1748.486
141.04,3458.697,-1748.797
144.03,3461.73,-1748.352
146.94,3464.777,-1748.219
149.65,3467.857,-1748.064
152.54,3470.866,-1748.096
155.53,3473.911,-1748.499
158.72,3476.983,-1748.341
161.81,3480.005,-1748.444
164.77,3483.013,-1748.514
167.89,3486.052,-1748.205
171.22,3489.097,-1748.194
174.39,3492.115,-1748.401
177.69,3495.171,-1748.605
180.83,3498.175,-1748.497
184.17,3501.211,-1748.492
187.3,3504.318,-1748.399
190.89,3507.376,-1747.911
194.11,3510.439,-1748.135
197.75,3513.462,-1748.45
201.27,3516.481,-1748.568
204.86,3519.482,-1748.076
208.24,3522.494,-1748.429
211.91,3525.511,-1748.654
215.45,3528.533,-1748.217
219.04,3531.55,-1748.276
223.18,3534.584,-1748.35
226.75,3537.659,-1748.333
230.68,3540.687,-1748.617
234.31,3543.696,-1748.158
238.34,3546.727,-1748.374
242.51,3549.75,-1748.25
246.43,3552.754,-1748.146
249.99,3555.763,-1748.616
254.25,3558.843,-1748.501
258.84,3561.874,-1748.602
262.52,3564.896,-1748.492
267.09,3567.925,-1748.35
270.66,3570.945,-1748.236
275.35,3573.984,-1748.238
279.78,3577.068,-1748.426
284.03,3580.078,-1748.411
289.05,3583.083,-1748.634
293.31,3586.091,-1748.479
297.27,3589.091,-1748.488
302.3,3592.128,-1748.422
306.71,3595.142,-1748.412
311.74,3598.142,-1748.36
