Frequency[Hz],Z_real[ohm],Z_img[ohm]
1.000e+005,7.0356e-003,1.4328e-002
7.900e+004,6.8000e-003,1.1546e-002
6.300e+004,6.5863e-003,9.4236e-003
5.000e+004,6.3781e-003,7.6807e-003
4.000e+004,6.1746e-003,6.3167e-003
3.200e+004,6.0150e-003,5.2126e-003
2.500e+004,5.8431e-003,4.2271e-003
2.000e+004,5.6940e-003,3.4871e-003
1.600e+004,5.5555e-003,2.8772e-003
1.300e+004,5.4302e-003,2.3936e-003
1.000e+004,5.3136e-003,1.8661e-003
7.900e+003,5.2184e-003,1.4664e-003
6.300e+003,5.1597e-003,1.1239e-003
5.000e+003,5.1336e-003,8.2382e-004
4.000e+003,5.1275e-003,5.7667e-004
3.200e+003,5.1477e-003,3.6085e-004
2.500e+003,5.1886e-003,1.5283e-004
2.000e+003,5.2379e-003,-1.3887e-006
1.600e+003,5.2973e-003,-1.3563e-004
1.300e+003,5.3723e-003,-2.3799e-004
1.000e+003,5.4668e-003,-3.4598e-004
7.899e+002,5.5500e-003,-4.4029e-004
6.301e+002,5.6483e-003,-5.0998e-004
5.000e+002,5.7433e-003,-5.6849e-004
4.000e+002,5.8563e-003,-6.1389e-004
3.200e+002,5.9514e-003,-6.7054e-004
2.500e+002,6.0664e-003,-7.1978e-004
2.000e+002,6.1713e-003,-7.5633e-004
1.600e+002,6.2932e-003,-8.0741e-004
1.300e+002,6.3890e-003,-8.4205e-004
1.000e+002,6.5430e-003,-9.0537e-004
7.900e+001,6.6794e-003,-9.4116e-004
6.300e+001,6.8047e-003,-9.9394e-004
5.000e+001,6.9586e-003,-1.0459e-003
4.000e+001,7.1076e-003,-1.0992e-003
3.200e+001,7.2706e-003,-1.1432e-003
2.500e+001,7.4610e-003,-1.2254e-003
2.000e+001,7.6701e-003,-1.2674e-003
1.600e+001,7.8678e-003,-1.3020e-003
1.300e+001,8.0552e-003,-1.3328e-003
1.000e+001,8.3334e-003,-1.3680e-003
7.900e+000,8.5996e-003,-1.3639e-003
6.300e+000,8.8482e-003,-1.3252e-003
5.000e+000,9.0778e-003,-1.2419e-003
4.000e+000,9.2633e-003,-1.1490e-003
3.200e+000,9.4261e-003,-1.0684e-003
2.500e+000,9.5714e-003,-9.6266e-004
2.000e+000,9.6980e-003,-9.0986e-004
1.600e+000,9.8081e-003,-8.4706e-004
1.300e+000,9.8797e-003,-8.0652e-004
1.000e+000,9.9631e-003,-7.6671e-004
7.900e-001,1.0073e-002,-7.5758e-004
6.300e-001,1.0153e-002,-7.4931e-004
5.000e-001,1.0225e-002,-7.6185e-004
4.000e-001,1.0303e-002,-8.0223e-004
3.200e-001,1.0406e-002,-8.2489e-004
2.500e-001,1.0516e-002,-8.8287e-004
2.000e-001,1.0616e-002,-9.5248e-004
1.600e-001,1.0694e-002,-1.0335e-003
1.300e-001,1.0786e-002,-1.1434e-003
1.000e-001,1.0944e-002,-1.2920e-003
7.900e-002,1.1070e-002,-1.4441e-003
6.300e-002,1.1216e-002,-1.6492e-003
5.000e-002,1.1404e-002,-1.8824e-003
4.000e-002,1.1596e-002,-2.1506e-003
3.200e-002,1.1802e-002,-2.4533e-003
2.500e-002,1.2068e-002,-2.8579e-003
2.000e-002,1.2353e-002,-3.2954e-003
1.600e-002,1.2679e-002,-3.8021e-003
1.300e-002,1.3056e-002,-4.3335e-003
1.000e-002,1.3616e-002,-5.1230e-003
