Frequency[Hz],Z_real[ohm],Z_img[ohm]
1.000e+005,6.7934e-003,1.5515e-002
7.900e+004,6.5849e-003,1.2451e-002
6.300e+004,6.3469e-003,1.0084e-002
5.000e+004,6.1864e-003,8.1969e-003
4.000e+004,6.0267e-003,6.7054e-003
3.200e+004,5.8611e-003,5.5007e-003
2.500e+004,5.7257e-003,4.4454e-003
2.000e+004,5.5834e-003,3.6688e-003
1.600e+004,5.4573e-003,3.0318e-003
1.300e+004,5.3355e-003,2.5149e-003
1.000e+004,5.2156e-003,1.9710e-003
7.900e+003,5.1253e-003,1.5535e-003
6.300e+003,5.0560e-003,1.2039e-003
5.000e+003,5.0300e-003,8.8985e-004
4.000e+003,5.0098e-003,6.2752e-004
3.200e+003,5.0272e-003,4.0723e-004
2.500e+003,5.0666e-003,1.9386e-004
2.000e+003,5.1130e-003,2.0470e-005
1.600e+003,5.1790e-003,-1.1524e-004
1.300e+003,5.2514e-003,-2.2657e-004
1.000e+003,5.3431e-003,-3.3718e-004
7.899e+002,5.4326e-003,-4.3327e-004
6.301e+002,5.5322e-003,-4.9716e-004
5.000e+002,5.6359e-003,-5.6296e-004
4.000e+002,5.7333e-003,-6.1280e-004
3.200e+002,5.8343e-003,-6.5912e-004
2.500e+002,5.9524e-003,-7.1241e-004
2.000e+002,6.0621e-003,-7.5853e-004
1.600e+002,6.1724e-003,-8.0071e-004
1.300e+002,6.2893e-003,-8.4224e-004
1.000e+002,6.4407e-003,-8.8871e-004
7.900e+001,6.5769e-003,-9.3112e-004
6.300e+001,6.7159e-003,-9.7826e-004
5.000e+001,6.8619e-003,-1.0046e-003
4.000e+001,7.0181e-003,-1.0566e-003
3.200e+001,7.1722e-003,-1.0908e-003
2.500e+001,7.3703e-003,-1.1399e-003
2.000e+001,7.5588e-003,-1.1598e-003
1.600e+001,7.7538e-003,-1.1597e-003
1.300e+001,7.9293e-003,-1.1620e-003
1.000e+001,8.1526e-003,-1.1404e-003
7.900e+000,8.3663e-003,-1.1110e-003
6.300e+000,8.5430e-003,-1.0522e-003
5.000e+000,8.7076e-003,-9.7583e-004
4.000e+000,8.8507e-003,-9.0707e-004
3.200e+000,8.9736e-003,-8.4034e-004
2.500e+000,9.0820e-003,-7.6238e-004
2.000e+000,9.1558e-003,-7.1133e-004
1.600e+000,9.2507e-003,-6.8523e-004
1.300e+000,9.3140e-003,-6.5358e-004
1.000e+000,9.3871e-003,-6.4333e-004
7.900e-001,9.4706e-003,-6.3842e-004
6.300e-001,9.5234e-003,-6.4249e-004
5.000e-001,9.6025e-003,-6.7115e-004
4.000e-001,9.6856e-003,-7.0996e-004
3.200e-001,9.7799e-003,-7.4851e-004
2.500e-001,9.8424e-003,-8.3744e-004
2.000e-001,9.9545e-003,-8.7948e-004
1.600e-001,1.0039e-002,-1.0053e-003
1.300e-001,1.0138e-002,-1.1067e-003
1.000e-001,1.0256e-002,-1.2243e-003
7.900e-002,1.0375e-002,-1.4072e-003
6.300e-002,1.0538e-002,-1.6107e-003
5.000e-002,1.0705e-002,-1.7926e-003
4.000e-002,1.0893e-002,-2.0606e-003
3.200e-002,1.1091e-002,-2.3518e-003
2.500e-002,1.1355e-002,-2.7453e-003
2.000e-002,1.1629e-002,-3.1716e-003
1.600e-002,1.1956e-002,-3.6437e-003
1.300e-002,1.2327e-002,-4.1888e-003
1.000e-002,1.2867e-002,-4.9310e-003
