time [sec],V [mV],I [mA]
24451.22,3199.027,2.692
24451.27,3204.469,-547.545
24451.29,3210.177,-1027.043
24451.31,3215.338,-1408.695
24451.33,3219.305,-1652.211
24451.36,3222.713,-1805.914
24451.61,3225.753,-1748.064
24452.09,3228.787,-1748.811
24452.74,3231.845,-1748.833
24453.52,3234.863,-1748.637
24454.30,3237.869,-1748.573
24455.17,3240.895,-1748.938
24456.21,3244.023,-1748.554
24457.14,3247.045,-1749.294
24458.20,3250.053,-1749.045
24459.26,3253.067,-1748.700
24460.25,3256.078,-1748.796
24461.31,3259.100,-1748.762
24462.36,3262.153,-1748.741
24463.48,3265.195,-1748.783
24464.62,3268.243,-1748.558
24465.73,3271.246,-1749.042
24466.90,3274.301,-1748.844
24468.09,3277.327,-1748.878
24469.42,3280.377,-1748.945
24470.61,3283.390,-1749.121
24471.71,3286.469,-1749.163
24473.14,3289.494,-1748.746
24474.44,3292.521,-1749.167
24475.73,3295.540,-1748.750
24477.04,3298.558,-1748.901
24478.39,3301.577,-1749.080
24479.72,3304.592,-1749.242
24481.03,3307.660,-1749.067
24482.51,3310.691,-1749.241
24483.94,3313.768,-1748.892
24485.42,3316.797,-1749.233
24486.83,3319.869,-1748.990
24488.48,3322.921,-1748.595
24489.87,3326.006,-1748.734
24491.43,3329.048,-1749.192
24492.93,3332.075,-1748.963
24494.56,3335.085,-1749.085
24496.06,3338.095,-1748.751
24497.77,3341.127,-1748.769
24499.30,3344.168,-1748.863
24501.12,3347.185,-1749.314
24502.62,3350.190,-1749.015
24504.36,3353.254,-1749.016
24506.28,3356.422,-1748.813
24507.86,3359.445,-1748.653
24509.79,3362.471,-1748.641
24511.52,3365.486,-1748.974
24513.27,3368.543,-1748.936
24515.23,3371.545,-1748.734
24516.88,3374.610,-1748.811
24519.01,3377.672,-1749.377
24520.84,3380.732,-1748.659
24522.83,3383.767,-1749.100
24524.78,3386.795,-1748.852
24526.70,3389.823,-1748.749
24528.79,3392.864,-1749.011
24530.75,3395.899,-1748.653
24532.96,3398.926,-1748.699
24534.70,3401.942,-1749.145
24537.05,3404.945,-1748.719
24539.09,3407.967,-1748.878
24541.19,3410.973,-1748.751
24543.52,3414.033,-1748.437
24545.83,3417.044,-1749.034
24548.14,3420.051,-1748.964
24550.36,3423.062,-1748.801
24552.48,3426.085,-1748.844
24554.82,3429.124,-1748.487
24557.23,3432.157,-1748.906
24559.43,3435.167,-1749.306
24562.14,3438.190,-1749.065
24564.50,3441.193,-1748.688
24567.12,3444.265,-1748.893
24569.42,3447.337,-1748.634
