time [sec],V [mV],I [mA]
0.0,3176.199,-1.449
0.04,3179.327,-346.128
0.06,3184.334,-828.603
0.08,3189.389,-1262.583
0.1,3193.32,-1565.518
0.13,3196.562,-1783.07
0.38,3199.657,-1748.793
0.92,3202.701,-1749.456
1.62,3205.712,-1749.364
2.5,3208.745,-1749.951
3.41,3211.848,-1750.13
4.39,3214.895,-1749.743
5.41,3217.92,-1749.8
6.4,3220.947,-1750.062
7.52,3223.963,-1749.893
8.52,3226.985,-1749.963
9.74,3229.988,-1749.617
10.82,3232.993,-1749.571
12.02,3236.033,-1749.818
13.15,3239.036,-1749.671
14.35,3242.052,-1749.671
15.62,3245.081,-1750.163
16.91,3248.122,-1749.06
18.07,3251.136,-1749.613
19.34,3254.158,-1749.378
20.78,3257.164,-1749.714
22.01,3260.179,-1750.116
23.42,3263.226,-1749.733
24.73,3266.269,-1749.576
26.21,3269.347,-1749.92
27.67,3272.353,-1749.736
28.96,3275.42,-1749.76
30.53,3278.528,-1749.877
32.02,3281.565,-1749.852
33.58,3284.632,-1749.722
35.02,3287.717,-1749.691
36.65,3290.739,-1749.792
38.2,3293.776,-1750.04
39.9,3296.797,-1749.787
41.39,3299.819,-1749.448
43.05,3302.819,-1749.718
44.88,3305.822,-1749.596
46.45,3308.825,-1750.044
48.13,3311.833,-1749.569
49.93,3314.866,-1749.666
51.74,3317.867,-1749.853
53.39,3320.89,-1749.45
55.29,3323.895,-1749.506
56.9,3326.929,-1749.916
58.76,3329.972,-1749.958
60.91,3333.055,-1749.653
62.67,3336.081,-1749.662
64.78,3339.127,-1749.362
66.86,3342.194,-1749.865
68.8,3345.198,-1749.938
70.76,3348.227,-1749.716
72.58,3351.233,-1749.802
74.76,3354.304,-1749.558
76.92,3357.335,-1749.634
78.99,3360.342,-1749.257
81.11,3363.4,-1749.785
83.32,3366.416,-1749.726
85.54,3369.433,-1749.994
87.83,3372.438,-1749.762
90.0,3375.491,-1749.803
92.32,3378.545,-1749.92
94.75,3381.586,-1749.889
96.99,3384.624,-1749.503
99.54,3387.626,-1749.442
101.83,3390.626,-1749.78
104.25,3393.694,-1750.015
106.93,3396.75,-1749.79
109.29,3399.755,-1749.878
112.01,3402.786,-1750.056
114.55,3405.853,-1749.457
116.88,3408.89,-1749.95
119.93,3411.92,-1749.65
122.29,3414.959,-1749.715
125.21,3417.974,-1749.966
127.93,3421.003,-1749.85
130.59,3424.024,-1749.515
133.44,3427.045,-1750.056
136.16,3430.089,-1748.691
139.0,3433.153,-1749.57
142.13,3436.169,-1749.804
145.01,3439.24,-1749.546
147.88,3442.253,-1749.755
151.02,3445.315,-1749.529
154.13,3448.343,-1749.928
157.02,3451.364,-1749.662
160.12,3454.381,-1749.72
163.48,3457.445,-1749.997
166.86,3460.469,-1749.292
169.99,3463.476,-1749.853
172.8,3466.478,-1749.485
176.61,3469.503,-1749.866
179.95,3472.569,-1749.507
183.49,3475.624,-1749.827
186.88,3478.693,-1749.789
190.39,3481.746,-1749.972
193.92,3484.798,-1750.049
197.75,3487.826,-1749.652
201.44,3490.832,-1749.925
204.64,3493.842,-1750.021
208.76,3496.902,-1749.868
212.6,3499.908,-1749.458
216.41,3502.919,-1749.926
220.15,3505.924,-1749.407
224.23,3508.963,-1749.645
228.06,3511.977,-1749.644
231.82,3515.023,-1749.792
236.19,3518.027,-1749.494
240.16,3521.029,-1750.199
244.2,3524.04,-1750.389
248.63,3527.046,-1749.674
252.39,3530.056,-1749.718
257.0,3533.075,-1749.446
261.37,3536.076,-1749.966
265.5,3539.135,-1749.915
270.2,3542.166,-1749.715
274.44,3545.172,-1749.853
279.15,3548.195,-1750.052
283.51,3551.225,-1749.798
288.14,3554.236,-1749.678
292.96,3557.269,-1749.525
297.46,3560.305,-1749.735
302.51,3563.327,-1749.734
307.43,3566.372,-1749.55
312.43,3569.389,-1749.596
317.26,3572.408,-1749.794
322.38,3575.429,-1749.55
327.28,3578.431,-1749.85
332.39,3581.449,-1749.364
337.46,3584.499,-1750.248
342.81,3587.538,-1749.64
348.43,3590.564,-1749.922
353.41,3593.602,-1749.787
358.92,3596.72,-1749.63
364.41,3599.759,-1749.598
370.33,3602.802,-1749.591
375.61,3605.813,-1749.038
381.28,3608.861,-1749.818
387.3,3611.895,-1749.683
393.02,3614.942,-1749.791
398.76,3617.945,-1749.644
404.47,3620.997,-1749.738
410.92,3624.021,-1749.639
416.78,3627.076,-1749.587
422.87,3630.088,-1749.768
429.44,3633.094,-1750.369
435.16,3636.11,-1750.002
441.39,3639.154,-1750.265
447.72,3642.166,-1749.782
455.03,3645.209,-1749.849
461.64,3648.22,-1749.778
468.77,3651.231,-1749.524
474.76,3654.238,-1749.754
481.69,3657.256,-1750.222
488.44,3660.281,-1749.647
495.54,3663.31,-1749.57
502.02,3666.314,-1750.126
509.36,3669.347,-1749.563
517.08,3672.463,-1749.595
524.77,3675.533,-1749.164
532.12,3678.555,-1749.882
539.02,3681.612,-1749.314
547.14,3684.618,-1749.323
555.55,3687.627,-1749.415
563.39,3690.646,-1749.517
571.05,3693.651,-1749.348
580.22,3696.676,-1749.644
588.54,3699.709,-1749.583
596.92,3702.75,-1749.992
606.19,3705.77,-1749.992
614.87,3708.782,-1750.074
624.14,3711.805,-1749.533
634.63,3714.822,-1749.696
644.36,3717.868,-1749.603
655.67,3720.925,-1749.623
666.2,3723.945,-1749.364
678.23,3726.974,-1749.795
691.26,3730.035,-1749.449
704.59,3733.052,-1750.05
719.77,3736.128,-1749.725
736.4,3739.186,-1749.902
753.92,3742.232,-1749.512
774.64,3745.26,-1749.96
797.15,3748.263,-1750.046
819.46,3751.291,-1749.88
846.92,3754.313,-1749.452
873.35,3757.383,-1750.334
902.17,3760.393,-1749.273
932.2,3763.458,-1749.799
960.84,3766.466,-1749.736
994.27,3769.506,-1750.048
1026.77,3772.553,-1749.82
1056.23,3775.607,-1750.014
1089.43,3778.612,-1749.82
1124.45,3781.626,-1749.672
1156.57,3784.664,-1749.844
1191.54,3787.691,-1749.914
1223.71,3790.705,-1749.861
1258.95,3793.736,-1749.511
1293.06,3796.782,-1749.32
1325.46,3799.811,-1749.868
1361.93,3802.858,-1750.574
1394.56,3805.86,-1749.608
1428.19,3808.889,-1749.928
