Frequency[Hz],Z_real[ohm],Z_img[ohm]
1.000e+005,7.8505e-003,2.2992e-002
7.900e+004,7.4404e-003,1.8472e-002
6.300e+004,7.1521e-003,1.5040e-002
5.000e+004,6.8438e-003,1.2206e-002
4.000e+004,6.5785e-003,1.0003e-002
3.200e+004,6.3394e-003,8.2032e-003
2.500e+004,6.0841e-003,6.6041e-003
2.000e+004,5.8900e-003,5.4208e-003
1.600e+004,5.7096e-003,4.4508e-003
1.300e+004,5.5593e-003,3.6962e-003
1.000e+004,5.4051e-003,2.8958e-003
7.900e+003,5.2964e-003,2.2845e-003
6.300e+003,5.2241e-003,1.7881e-003
5.000e+003,5.1752e-003,1.3566e-003
4.000e+003,5.1554e-003,1.0107e-003
3.200e+003,5.1656e-003,7.1353e-004
2.500e+003,5.1938e-003,4.4203e-004
2.000e+003,5.2445e-003,2.2934e-004
1.600e+003,5.3048e-003,5.1104e-005
1.300e+003,5.3672e-003,-8.9277e-005
1.000e+003,5.4625e-003,-2.3798e-004
7.899e+002,5.5463e-003,-3.4903e-004
6.301e+002,5.6464e-003,-4.3986e-004
5.000e+002,5.7406e-003,-5.0027e-004
4.000e+002,5.8403e-003,-5.6894e-004
3.200e+002,5.9455e-003,-6.2004e-004
2.500e+002,6.0633e-003,-6.8646e-004
2.000e+002,6.1666e-003,-7.3008e-004
1.600e+002,6.2846e-003,-7.8049e-004
1.300e+002,6.3854e-003,-8.3568e-004
1.000e+002,6.5124e-003,-8.6989e-004
7.900e+001,6.6649e-003,-9.4230e-004
6.300e+001,6.8101e-003,-9.9610e-004
5.000e+001,6.9398e-003,-1.0309e-003
4.000e+001,7.1122e-003,-1.0919e-003
3.200e+001,7.2468e-003,-1.1571e-003
2.500e+001,7.4566e-003,-1.2421e-003
2.000e+001,7.6625e-003,-1.2778e-003
1.600e+001,7.8669e-003,-1.3193e-003
1.300e+001,8.0511e-003,-1.3680e-003
1.000e+001,8.3369e-003,-1.4113e-003
7.900e+000,8.6069e-003,-1.4077e-003
6.300e+000,8.8664e-003,-1.3770e-003
5.000e+000,9.1054e-003,-1.3020e-003
4.000e+000,9.3074e-003,-1.2018e-003
3.200e+000,9.4868e-003,-1.1251e-003
2.500e+000,9.6408e-003,-1.0135e-003
2.000e+000,9.7653e-003,-9.4187e-004
1.600e+000,9.8759e-003,-8.7284e-004
1.300e+000,9.9753e-003,-8.4029e-004
1.000e+000,1.0079e-002,-7.9272e-004
7.900e-001,1.0163e-002,-7.7214e-004
6.300e-001,1.0239e-002,-7.6465e-004
5.000e-001,1.0336e-002,-7.8741e-004
4.000e-001,1.0422e-002,-8.0753e-004
3.200e-001,1.0499e-002,-8.3297e-004
2.500e-001,1.0607e-002,-8.9781e-004
2.000e-001,1.0701e-002,-9.5841e-004
1.600e-001,1.0798e-002,-1.0603e-003
1.300e-001,1.0886e-002,-1.1425e-003
1.000e-001,1.1042e-002,-1.3112e-003
7.900e-002,1.1189e-002,-1.4640e-003
6.300e-002,1.1326e-002,-1.6556e-003
5.000e-002,1.1495e-002,-1.8928e-003
4.000e-002,1.1697e-002,-2.1771e-003
3.200e-002,1.1890e-002,-2.4758e-003
2.500e-002,1.2166e-002,-2.8865e-003
2.000e-002,1.2459e-002,-3.3246e-003
1.600e-002,1.2783e-002,-3.8281e-003
1.300e-002,1.3148e-002,-4.3825e-003
1.000e-002,1.3721e-002,-5.1660e-003
