Frequency[Hz],Z_real[ohm],Z_img[ohm]
1.000e+005,6.7221e-003,1.5714e-002
7.900e+004,6.4878e-003,1.2597e-002
6.300e+004,6.2706e-003,1.0220e-002
5.000e+004,6.0613e-003,8.2843e-003
4.000e+004,5.9087e-003,6.7800e-003
3.200e+004,5.7478e-003,5.5690e-003
2.500e+004,5.5924e-003,4.4911e-003
2.000e+004,5.4594e-003,3.7036e-003
1.600e+004,5.3273e-003,3.0470e-003
1.300e+004,5.2076e-003,2.5358e-003
1.000e+004,5.0784e-003,1.9888e-003
7.900e+003,4.9953e-003,1.5664e-003
6.300e+003,4.9314e-003,1.2018e-003
5.000e+003,4.8966e-003,8.8883e-004
4.000e+003,4.8859e-003,6.1438e-004
3.200e+003,4.9033e-003,3.9146e-004
2.500e+003,4.9422e-003,1.7254e-004
2.000e+003,4.9981e-003,1.2779e-005
1.600e+003,5.0599e-003,-1.3985e-004
1.300e+003,5.1401e-003,-2.5607e-004
1.000e+003,5.2369e-003,-3.8292e-004
7.899e+002,5.3392e-003,-4.6022e-004
6.301e+002,5.4465e-003,-5.4465e-004
5.000e+002,5.5551e-003,-5.9851e-004
4.000e+002,5.6560e-003,-6.5658e-004
3.200e+002,5.7734e-003,-7.0342e-004
2.500e+002,5.9003e-003,-7.5084e-004
2.000e+002,6.0222e-003,-7.8889e-004
1.600e+002,6.1436e-003,-8.1845e-004
1.300e+002,6.2543e-003,-8.5494e-004
1.000e+002,6.4156e-003,-8.9267e-004
7.900e+001,6.5543e-003,-9.2118e-004
6.300e+001,6.7010e-003,-9.4307e-004
5.000e+001,6.8390e-003,-9.6618e-004
4.000e+001,7.0043e-003,-9.8454e-004
3.200e+001,7.1559e-003,-9.9101e-004
2.500e+001,7.3331e-003,-1.0077e-003
2.000e+001,7.5070e-003,-9.9724e-004
1.600e+001,7.6678e-003,-9.6877e-004
1.300e+001,7.8123e-003,-9.4419e-004
1.000e+001,7.9812e-003,-9.0428e-004
7.900e+000,8.1291e-003,-8.4943e-004
6.300e+000,8.2606e-003,-8.0041e-004
5.000e+000,8.3675e-003,-7.3667e-004
4.000e+000,8.4668e-003,-6.9200e-004
3.200e+000,8.5458e-003,-6.4884e-004
2.500e+000,8.6304e-003,-6.1184e-004
2.000e+000,8.7080e-003,-5.9197e-004
1.600e+000,8.7732e-003,-5.7623e-004
1.300e+000,8.8323e-003,-5.5217e-004
1.000e+000,8.9021e-003,-5.6862e-004
7.900e-001,8.9593e-003,-5.6689e-004
6.300e-001,9.0212e-003,-5.7763e-004
5.000e-001,9.1094e-003,-6.3228e-004
4.000e-001,9.1936e-003,-6.7431e-004
3.200e-001,9.2476e-003,-7.2022e-004
2.500e-001,9.3433e-003,-7.9028e-004
2.000e-001,9.4323e-003,-8.8163e-004
1.600e-001,9.5327e-003,-9.6560e-004
1.300e-001,9.6419e-003,-1.0560e-003
1.000e-001,9.7752e-003,-1.2123e-003
7.900e-002,9.9198e-003,-1.3731e-003
6.300e-002,1.0061e-002,-1.5667e-003
5.000e-002,1.0242e-002,-1.7645e-003
4.000e-002,1.0417e-002,-2.0013e-003
3.200e-002,1.0594e-002,-2.2632e-003
2.500e-002,1.0843e-002,-2.6272e-003
2.000e-002,1.1088e-002,-3.0106e-003
1.600e-002,1.1376e-002,-3.4727e-003
1.300e-002,1.1713e-002,-3.9730e-003
1.000e-002,1.2302e-002,-4.7091e-003
