Frequency[Hz],Z_real[ohm],Z_img[ohm]
1.000e+005,6.7548e-003,1.4271e-002
7.900e+004,6.5370e-003,1.1435e-002
6.300e+004,6.2928e-003,9.3436e-003
5.000e+004,6.1417e-003,7.5719e-003
4.000e+004,5.9785e-003,6.2293e-003
3.200e+004,5.8153e-003,5.1352e-003
2.500e+004,5.6482e-003,4.1632e-003
2.000e+004,5.5078e-003,3.4449e-003
1.600e+004,5.3721e-003,2.8436e-003
1.300e+004,5.2528e-003,2.3653e-003
1.000e+004,5.1363e-003,1.8495e-003
7.900e+003,5.0382e-003,1.4489e-003
6.300e+003,4.9790e-003,1.1193e-003
5.000e+003,4.9471e-003,8.2225e-004
4.000e+003,4.9459e-003,5.7439e-004
3.200e+003,4.9578e-003,3.6627e-004
2.500e+003,4.9894e-003,1.5863e-004
2.000e+003,5.0439e-003,1.3878e-006
1.600e+003,5.1120e-003,-1.2536e-004
1.300e+003,5.1725e-003,-2.3270e-004
1.000e+003,5.2657e-003,-3.4203e-004
7.899e+002,5.3538e-003,-4.1885e-004
6.301e+002,5.4486e-003,-4.9188e-004
5.000e+002,5.5452e-003,-5.5100e-004
4.000e+002,5.6540e-003,-6.0808e-004
3.200e+002,5.7536e-003,-6.5220e-004
2.500e+002,5.8696e-003,-6.9522e-004
2.000e+002,5.9674e-003,-7.4587e-004
1.600e+002,6.0784e-003,-7.9361e-004
1.300e+002,6.1890e-003,-8.1697e-004
1.000e+002,6.3350e-003,-8.7534e-004
7.900e+001,6.4724e-003,-9.2543e-004
6.300e+001,6.6053e-003,-9.7616e-004
5.000e+001,6.7455e-003,-1.0153e-003
4.000e+001,6.8916e-003,-1.0561e-003
3.200e+001,7.0420e-003,-1.0942e-003
2.500e+001,7.2431e-003,-1.1652e-003
2.000e+001,7.4300e-003,-1.2011e-003
1.600e+001,7.6253e-003,-1.2158e-003
1.300e+001,7.8112e-003,-1.2396e-003
1.000e+001,8.0637e-003,-1.2485e-003
7.900e+000,8.2902e-003,-1.2270e-003
6.300e+000,8.5056e-003,-1.1737e-003
5.000e+000,8.7096e-003,-1.1018e-003
4.000e+000,8.8720e-003,-1.0154e-003
3.200e+000,9.0027e-003,-9.4041e-004
2.500e+000,9.1244e-003,-8.5882e-004
2.000e+000,9.2310e-003,-7.9648e-004
1.600e+000,9.3230e-003,-7.5086e-004
1.300e+000,9.4024e-003,-7.1835e-004
1.000e+000,9.4824e-003,-6.9578e-004
7.900e-001,9.5815e-003,-6.9581e-004
6.300e-001,9.6370e-003,-6.9116e-004
5.000e-001,9.7260e-003,-7.0919e-004
4.000e-001,9.7855e-003,-7.4732e-004
3.200e-001,9.8887e-003,-7.8879e-004
2.500e-001,9.9614e-003,-8.4316e-004
2.000e-001,1.0062e-002,-9.3054e-004
1.600e-001,1.0141e-002,-1.0185e-003
1.300e-001,1.0256e-002,-1.1033e-003
1.000e-001,1.0396e-002,-1.2492e-003
7.900e-002,1.0510e-002,-1.4308e-003
6.300e-002,1.0656e-002,-1.6024e-003
5.000e-002,1.0827e-002,-1.8363e-003
4.000e-002,1.1024e-002,-2.0851e-003
3.200e-002,1.1228e-002,-2.4117e-003
2.500e-002,1.1472e-002,-2.8016e-003
2.000e-002,1.1797e-002,-3.2333e-003
1.600e-002,1.2085e-002,-3.7172e-003
1.300e-002,1.2435e-002,-4.2488e-003
1.000e-002,1.2993e-002,-5.0239e-003
