time [sec],V [mV],I [mA]
04:48:14.16,3192.269564,3.720012
04:48:14.20,3195.538759,-309.665084
04:48:14.22,3201.098442,-788.710713
04:48:14.24,3206.784248,-1231.343508
04:48:14.26,3211.197615,-1545.611501
04:48:14.29,3215.127230,-1776.291370
04:48:14.42,3218.127489,-1748.280525
04:48:14.90,3221.188307,-1748.477221
04:48:15.51,3224.190950,-1748.575687
04:48:16.32,3227.221251,-1748.603582
04:48:17.05,3230.244875,-1749.182463
04:48:17.91,3233.289957,-1748.920798
04:48:18.90,3236.354589,-1748.892546
04:48:19.85,3239.385128,-1748.810053
04:48:20.74,3242.460966,-1748.906016
04:48:21.74,3245.530367,-1748.863697
04:48:22.88,3248.604059,-1748.690605
04:48:23.95,3251.632929,-1748.981237
04:48:24.90,3254.688025,-1749.065638
04:48:26.00,3257.706881,-1748.872280
04:48:27.19,3260.740995,-1748.657465
04:48:28.28,3263.743639,-1748.339415
04:48:29.38,3266.749859,-1748.778701
04:48:30.47,3269.762278,-1748.882771
04:48:31.81,3272.812128,-1748.903155
04:48:32.93,3275.828362,-1748.828411
04:48:34.15,3278.843641,-1749.003291
04:48:35.49,3281.864643,-1749.101281
04:48:36.62,3284.880161,-1749.026775
04:48:38.03,3287.906647,-1748.738885
04:48:39.29,3290.920973,-1748.765349
04:48:40.73,3293.922424,-1748.999715
04:48:41.96,3296.923876,-1749.052167
04:48:43.33,3299.966335,-1748.904943
04:48:44.60,3302.997351,-1748.857617
04:48:46.17,3306.030750,-1748.636246
04:48:47.39,3309.082031,-1749.061465
04:48:48.80,3312.099457,-1748.839736
04:48:50.38,3315.114737,-1748.656750
04:48:51.94,3318.130732,-1749.248743
04:48:53.58,3321.147680,-1749.066353
04:48:55.02,3324.164867,-1748.603821
04:48:56.53,3327.205896,-1749.051929
04:48:58.04,3330.240250,-1748.939037
04:48:59.72,3333.301544,-1749.089241
04:49:01.35,3336.319447,-1749.107599
04:49:02.93,3339.360714,-1748.854518
04:49:04.64,3342.364788,-1748.879671
04:49:06.39,3345.390558,-1748.872757
04:49:07.80,3348.426104,-1748.686433
04:49:09.64,3351.437569,-1748.842359
04:49:11.58,3354.485989,-1748.886704
04:49:13.24,3357.527018,-1749.168873
04:49:15.10,3360.566854,-1749.119282
04:49:17.01,3363.603592,-1748.733878
04:49:18.87,3366.629362,-1749.085188
04:49:20.58,3369.648457,-1749.101400
04:49:22.62,3372.700930,-1749.141455
04:49:24.32,3375.762939,-1748.776913
04:49:26.44,3378.762960,-1748.759627
04:49:28.37,3381.771326,-1748.628497
04:49:30.22,3384.779692,-1748.978376
04:49:32.39,3387.814999,-1748.809576
04:49:34.28,3390.855312,-1748.841286
04:49:36.44,3393.858194,-1748.724818
04:49:38.30,3396.889210,-1748.954415
04:49:40.60,3399.906158,-1748.816013
04:49:42.83,3402.960777,-1748.894691
04:49:44.86,3405.990362,-1748.414278
04:49:47.08,3409.019709,-1749.000430
04:49:49.30,3412.111282,-1749.015450
04:49:51.57,3415.120840,-1748.850226
04:49:53.86,3418.146372,-1748.797536
04:49:56.20,3421.192884,-1748.769045
04:49:58.54,3424.219847,-1748.846054
04:50:00.92,3427.226782,-1749.126196
04:50:03.22,3430.261612,-1749.130130
04:50:05.62,3433.277369,-1748.571157
04:50:08.04,3436.285973,-1748.773932
04:50:10.43,3439.302921,-1749.028802
04:50:12.89,3442.331314,-1748.604894
04:50:15.26,3445.385933,-1749.091744
04:50:17.93,3448.435307,-1748.502016
04:50:20.63,3451.507330,-1748.959064
04:50:23.34,3454.540014,-1748.803258
04:50:25.95,3457.541704,-1749.085426
04:50:28.61,3460.606575,-1748.794436
04:50:31.45,3463.665485,-1748.646259
04:50:33.98,3466.670513,-1748.834491
04:50:36.82,3469.715834,-1748.702645
04:50:39.55,3472.752571,-1748.894453
04:50:42.60,3475.779772,-1748.948336
04:50:45.40,3478.823900,-1749.277949
04:50:48.21,3481.866837,-1748.974442
04:50:51.29,3484.903574,-1749.086857
04:50:54.15,3487.931490,-1748.835206
04:50:57.01,3490.992069,-1748.941302
04:51:00.14,3494.013786,-1748.854041
04:51:03.27,3497.043848,-1749.215722
04:51:06.37,3500.069380,-1749.007821
04:51:09.40,3503.097534,-1748.876214
04:51:12.63,3506.103992,-1748.761058
04:51:15.90,3509.161949,-1749.230981
04:51:19.20,3512.170553,-1748.949766
04:51:21.87,3515.202522,-1749.039292
04:51:25.47,3518.290997,-1748.561144
04:51:28.97,3521.309853,-1748.944879
04:51:32.11,3524.328709,-1748.781919
04:51:35.51,3527.335882,-1748.807669
04:51:38.74,3530.369520,-1748.950362
04:51:42.69,3533.408403,-1748.814344
04:51:46.18,3536.413908,-1748.843193
04:51:49.44,3539.433718,-1749.241948
04:51:52.97,3542.454004,-1748.805761
04:51:56.63,3545.506001,-1748.872399
04:52:00.43,3548.540115,-1749.024272
04:52:03.71,3551.593781,-1749.187350
04:52:07.92,3554.630280,-1748.831987
04:52:11.46,3557.672739,-1749.019027
04:52:15.49,3560.675144,-1748.961091
04:52:19.13,3563.721895,-1748.857141
04:52:23.27,3566.785097,-1748.748779
04:52:26.90,3569.819689,-1748.783827
04:52:30.80,3572.827578,-1749.054551
04:52:34.70,3575.871706,-1748.971701
04:52:39.09,3578.886509,-1749.058962
04:52:43.41,3581.888914,-1749.088049
04:52:47.05,3584.938765,-1748.885512
04:52:51.46,3587.954283,-1749.431729
04:52:55.73,3591.031790,-1748.757601
04:52:59.91,3594.042063,-1748.707891
04:53:04.24,3597.042084,-1749.081254
04:53:08.89,3600.075483,-1748.692393
04:53:13.06,3603.167534,-1748.875022
04:53:17.75,3606.168270,-1749.049425
04:53:22.16,3609.190941,-1749.134421
04:53:26.64,3612.226486,-1749.134421
04:53:31.53,3615.239382,-1748.907208
04:53:36.13,3618.242025,-1749.035835
04:53:41.23,3621.259928,-1749.340773
04:53:45.60,3624.314785,-1748.869538
04:53:50.55,3627.339363,-1749.216199
04:53:55.45,3630.400181,-1748.747230
04:54:00.30,3633.422375,-1748.996139
04:54:05.22,3636.464596,-1749.047279
04:54:10.22,3639.484406,-1749.029756
04:54:15.92,3642.502785,-1748.819709
04:54:21.03,3645.517588,-1749.106765
04:54:26.69,3648.568392,-1748.905420
04:54:32.18,3651.584387,-1748.960137
04:54:37.83,3654.664755,-1748.909235
04:54:42.86,3657.752514,-1748.656392
04:54:48.45,3660.790205,-1748.937607
04:54:54.47,3663.791895,-1748.840809
04:54:59.93,3666.819811,-1748.686075
04:55:05.63,3669.860363,-1749.009728
04:55:12.07,3672.929287,-1748.934031
04:55:18.11,3675.990343,-1748.878121
04:55:23.43,3679.003239,-1748.766184
04:55:30.41,3682.054043,-1748.786569
04:55:36.31,3685.102463,-1748.785138
04:55:43.19,3688.106298,-1748.703718
04:55:49.56,3691.123247,-1749.012351
04:55:55.84,3694.228411,-1749.044180
04:56:03.08,3697.259188,-1749.123216
04:56:09.66,3700.266361,-1748.704553
04:56:16.80,3703.268528,-1748.851657
04:56:24.20,3706.312180,-1749.158263
04:56:31.64,3709.358692,-1749.188423
04:56:39.49,3712.378979,-1748.976827
04:56:46.65,3715.384960,-1748.684525
04:56:54.08,3718.385220,-1748.687625
04:57:02.55,3721.446991,-1748.647690
04:57:10.83,3724.450111,-1748.747706
04:57:19.23,3727.484703,-1749.000311
04:57:28.86,3730.505228,-1748.610973
04:57:36.88,3733.510971,-1748.780727
04:57:47.36,3736.514568,-1749.011874
04:57:57.29,3739.516973,-1749.050140
04:58:07.29,3742.539167,-1748.804212
04:58:19.99,3745.618105,-1749.078989
04:58:31.47,3748.638391,-1749.046803
04:58:44.19,3751.641273,-1748.744130
04:59:00.31,3754.701138,-1748.939276
04:59:15.82,3757.703066,-1749.010921
04:59:33.76,3760.741234,-1749.524593
04:59:53.76,3763.798475,-1748.902917
05:00:16.86,3766.845942,-1748.985410
05:00:44.27,3769.873619,-1748.982668
05:01:12.61,3772.890806,-1749.006987
05:01:43.85,3775.894403,-1749.051809
05:02:14.74,3778.894901,-1748.674750
05:02:46.59,3781.965971,-1749.073744
05:03:23.71,3784.986973,-1749.014854
05:03:55.87,3788.027525,-1749.071836
05:04:32.58,3791.100025,-1748.471737
05:05:10.99,3794.148922,-1748.832464
05:05:45.88,3797.153950,-1748.792887
05:06:18.20,3800.156116,-1749.199748
05:06:55.46,3803.248882,-1749.381781
05:07:33.78,3806.261063,-1748.834252
05:08:09.30,3809.275627,-1748.582363
05:08:44.86,3812.302589,-1748.921394
05:09:19.11,3815.346241,-1748.887062
05:09:54.50,3818.373919,-1748.305440
05:10:27.75,3821.387291,-1748.645663
05:11:00.73,3824.481964,-1749.112725
05:11:37.24,3827.545404,-1748.795271
05:12:10.17,3830.578804,-1749.062777
05:12:44.08,3833.580017,-1748.782158
05:13:13.69,3836.590767,-1748.917818
05:13:45.26,3839.630127,-1748.784661
05:14:18.35,3842.631340,-1749.201179
05:14:49.36,3845.671892,-1748.797774
05:15:19.16,3848.705292,-1748.981595
05:15:49.81,3851.717472,-1749.086142
05:16:19.29,3854.732275,-1748.825550
05:16:49.26,3857.740879,-1748.936772
05:17:20.53,3860.758066,-1749.157548
05:17:49.52,3863.763332,-1748.576045
05:18:20.87,3866.786718,-1748.797178
05:18:47.82,3869.838238,-1749.082923
05:19:20.48,3872.881651,-1748.805285
05:19:54.66,3875.886440,-1749.140143
05:20:23.36,3878.899097,-1748.923063
05:20:55.93,3881.914139,-1748.827696
05:21:29.00,3884.943247,-1749.090314
05:22:00.99,3887.961149,-1748.924613
05:22:35.78,3890.976191,-1749.112129
05:23:09.94,3893.983603,-1748.750806
05:23:42.05,3897.028685,-1748.612523
05:24:18.80,3900.036812,-1748.570323
05:24:52.50,3903.070211,-1748.851776
05:25:24.71,3906.088829,-1748.938799
05:26:01.27,3909.127712,-1748.777509
05:26:36.54,3912.152052,-1749.061108
05:27:13.34,3915.160418,-1748.821855
05:27:47.18,3918.184280,-1748.851061
05:28:25.33,3921.259880,-1748.884439
05:29:06.09,3924.268961,-1748.785019
05:29:42.71,3927.278757,-1749.077678
05:30:20.74,3930.337191,-1748.598218
05:31:01.93,3933.393955,-1748.903275
05:31:42.40,3936.403990,-1748.991013
05:32:27.30,3939.409971,-1748.692393
05:33:07.13,3942.461014,-1748.970628
05:33:49.04,3945.490599,-1748.978615
05:34:35.67,3948.491096,-1749.032736
05:35:18.11,3951.509953,-1749.149084
05:35:59.42,3954.555750,-1748.578906
05:36:47.28,3957.556248,-1748.761177
05:37:33.41,3960.587025,-1748.948693
05:38:18.33,3963.589907,-1748.900652
05:39:05.72,3966.599703,-1748.800278
05:39:47.00,3969.604015,-1748.600125
05:40:35.59,3972.616673,-1748.832703
05:41:14.31,3975.651264,-1748.762488
05:41:57.50,3978.670835,-1749.180198
05:42:39.07,3981.690645,-1748.580456
05:43:19.52,3984.693050,-1748.922706
05:44:00.20,3987.712860,-1748.247147
05:44:39.05,3990.723133,-1748.702765
05:45:16.52,3993.787289,-1749.047756
05:45:58.58,3996.794462,-1749.023199
05:46:37.17,3999.815226,-1749.135971
05:47:15.59,4002.856255,-1748.966217
05:47:54.88,4005.871773,-1748.833179
05:48:34.04,4008.905888,-1749.021292
05:49:12.02,4011.952877,-1748.976231
05:49:49.91,4014.980793,-1748.578787
05:50:29.02,4018.016815,-1749.198556
05:51:10.26,4021.028519,-1748.951674
05:51:52.02,4024.054050,-1748.960018
05:52:33.55,4027.104378,-1749.139905
05:53:16.57,4030.114651,-1748.883247
05:54:02.64,4033.130646,-1749.060035
05:54:46.62,4036.135674,-1749.286771
05:55:32.45,4039.136410,-1748.719692
05:56:23.84,4042.140007,-1749.120831
05:57:18.72,4045.146465,-1748.752594
05:58:10.67,4048.178196,-1748.998880
05:59:10.67,4050.477982,-1748.857141
05:59:56.23,4053.522587,-1748.732328
06:00:56.23,4055.778503,-1749.082804
06:01:47.87,4058.871269,-1748.909473
06:02:47.87,4060.576439,-1748.771191
06:03:44.23,4063.604832,-1748.848438
06:04:44.23,4065.450668,-1749.181390
06:05:44.23,4068.254948,-1748.934746
06:06:44.23,4070.590019,-1749.123573
06:07:44.23,4072.850704,-1748.996019
06:08:44.23,4075.347900,-1748.634458
06:09:44.23,4077.550888,-1748.758316
06:10:44.23,4080.045700,-1748.983979
06:11:44.23,4082.263947,-1748.583317
06:12:44.23,4084.409714,-1749.135494
06:13:44.23,4086.677074,-1748.916268
06:14:44.23,4088.890553,-1748.627543
06:15:44.23,4091.542244,-1748.853683
06:16:44.23,4093.736172,-1748.908877
06:17:44.23,4096.397400,-1749.213457
06:18:44.23,4098.569870,-1748.936892
06:19:44.23,4100.917339,-1748.584151
06:20:44.23,4103.123665,-1748.951435
06:21:44.23,4105.888844,-1749.032855
06:22:44.23,4108.283520,-1748.952627
06:23:44.23,4111.065388,-1749.024987
06:24:44.23,4113.673210,-1748.780370
06:25:37.84,4116.691113,-1748.965025
06:26:37.84,4118.770599,-1749.120831
06:27:33.16,4121.786118,-1748.999119
06:28:30.25,4124.791145,-1748.900533
06:29:30.16,4127.849102,-1748.376250
06:30:28.05,4130.865574,-1748.891830
06:31:23.52,4133.948326,-1748.731375
06:32:18.71,4136.952877,-1748.819590
06:33:11.34,4140.010357,-1749.075532
06:34:00.29,4143.011093,-1748.502135
06:34:49.39,4146.030903,-1748.548985
06:35:39.05,4149.056435,-1748.556018
06:36:27.19,4152.060509,-1748.927593
06:37:12.08,4155.084133,-1748.854160
06:37:56.21,4158.119678,-1749.241471
06:38:39.03,4161.152363,-1749.015927
06:39:22.13,4164.164066,-1748.193741
06:40:03.75,4167.240620,-1748.739600
06:40:38.99,4170.262814,-1748.774767
06:41:15.04,4173.264027,-1748.973012
06:41:54.71,4176.287174,-1748.969197
06:42:28.60,4179.287434,-1749.204516
06:42:58.66,4182.289600,-1748.329043
06:43:34.96,4185.307503,-1749.091864
06:44:04.04,4188.321114,-1748.664498
06:44:33.79,4191.323757,-1748.565435
06:45:02.80,4194.336891,-1749.166489
06:45:31.43,4197.392464,-1748.839378
06:45:48.62,4199.164867,-1749.021292
06:45:48.63,4199.019432,-1716.770768
06:45:48.66,4194.399357,-1156.117797
06:45:48.68,4189.859867,-675.587058
06:45:48.70,4185.924530,-303.226769
06:45:48.73,4182.318211,-1.307870
06:45:49.07,4179.272175,3.734155
06:45:50.50,4176.257133,4.168066
06:45:54.09,4173.230171,4.078334
06:45:59.13,4170.221806,3.790427
06:46:05.11,4167.210579,3.554673
06:46:13.92,4164.184570,4.089626
06:46:26.89,4161.170959,4.284518
06:46:45.14,4158.130169,4.321654
06:47:09.84,4155.122757,4.031258
06:47:41.32,4152.109623,4.197430
06:48:31.01,4149.104118,4.118364
06:49:31.01,4146.709442,3.696945
06:50:31.01,4144.944191,4.359519
06:51:31.01,4143.357754,3.840917
06:52:31.01,4142.330170,3.838893
06:53:31.01,4141.087532,3.675976
06:54:31.01,4140.324593,3.820446
06:55:31.01,4139.314651,3.563021
