time [sec],V [mV],I [mA]
50:26.6,3189.98,3.565
50:26.7,3195.297,-543.361
50:26.7,3200.709,-1022.907
50:26.7,3205.453,-1405.287
50:26.7,3208.735,-1649.939
50:26.8,3211.993,-1819.194
50:27.1,3215.006,-1747.592
50:27.6,3218.027,-1747.981
50:28.4,3221.096,-1748.111
50:29.2,3224.151,-1747.636
50:30.0,3227.156,-1747.907
50:30.9,3230.24,-1748.626
50:31.9,3233.266,-1748.293
50:32.9,3236.27,-1748.322
50:33.9,3239.3,-1748.548
50:35.0,3242.331,-1748.669
50:35.8,3245.338,-1748.378
50:37.1,3248.398,-1748.617
50:38.1,3251.489,-1748.396
50:39.4,3254.529,-1748.258
50:40.3,3257.531,-1748.343
50:41.7,3260.541,-1748.221
50:42.7,3263.621,-1748.329
50:44.0,3266.705,-1748.345
50:45.2,3269.708,-1748.247
50:46.6,3272.799,-1748.707
50:47.7,3275.8,-1748.539
50:49.0,3278.943,-1748.472
50:50.4,3281.98,-1748.652
50:51.8,3284.999,-1748.582
50:53.1,3287.999,-1748.368
50:54.4,3291.048,-1748.621
50:55.9,3294.068,-1748.631
50:57.3,3297.115,-1748.572
50:58.8,3300.143,-1748.657
51:00.0,3303.184,-1748.773
51:01.6,3306.203,-1748.654
51:03.1,3309.232,-1748.557
51:04.6,3312.253,-1748.599
51:06.0,3315.266,-1748.356
51:07.8,3318.346,-1748.1
51:09.4,3321.38,-1748.344
51:11.0,3324.404,-1748.423
51:12.6,3327.418,-1748.718
51:14.2,3330.442,-1748.425
51:15.8,3333.484,-1748.621
51:17.6,3336.489,-1748.226
51:19.4,3339.501,-1748.746
51:21.0,3342.512,-1748.604
51:23.0,3345.537,-1748.366
51:24.7,3348.552,-1748.75
51:26.3,3351.562,-1748.557
51:28.3,3354.672,-1748.458
51:30.2,3357.695,-1748.377
51:32.1,3360.721,-1748.287
51:34.1,3363.744,-1748.396
51:35.8,3366.75,-1748.225
51:37.8,3369.785,-1748.645
51:39.9,3372.79,-1748.79
51:41.8,3375.868,-1748.591
51:43.8,3378.889,-1748.369
51:45.9,3381.89,-1748.682
51:48.0,3384.892,-1748.421
51:50.2,3387.955,-1748.239
51:52.3,3390.97,-1748.625
51:54.4,3394.016,-1748.68
51:56.6,3397.055,-1748.497
51:58.8,3400.057,-1748.331
52:01.3,3403.074,-1748.734
52:03.7,3406.128,-1748.469
52:05.8,3409.157,-1748.699
52:08.1,3412.208,-1748.562
52:10.5,3415.223,-1748.059
52:13.1,3418.228,-1748.517
52:15.5,3421.256,-1748.195
52:18.0,3424.283,-1748.726
52:20.3,3427.302,-1748.528
52:22.7,3430.358,-1748.457
52:25.4,3433.359,-1748.327
52:28.1,3436.366,-1748.59
52:30.4,3439.375,-1748.767
52:33.3,3442.449,-1748.348
52:36.1,3445.462,-1748.233
52:38.8,3448.463,-1748.47
52:41.2,3451.487,-1748.72
52:44.1,3454.49,-1748.545
52:47.2,3457.562,-1748.597
52:49.9,3460.567,-1748.681
52:53.0,3463.587,-1748.688
52:55.5,3466.594,-1748.148
52:58.6,3469.631,-1748.691
53:01.6,3472.654,-1748.522
53:04.5,3475.663,-1748.507
53:07.8,3478.693,-1748.295
53:10.8,3481.732,-1748.517
53:14.1,3484.746,-1748.803
53:17.2,3487.765,-1748.236
53:20.4,3490.801,-1748.177
53:23.4,3493.843,-1748.397
53:26.9,3496.913,-1748.653
53:30.2,3499.935,-1748.511
53:33.6,3502.96,-1748.604
53:37.0,3506.034,-1748.377
53:40.5,3509.043,-1748.374
53:43.5,3512.082,-1748.387
53:47.4,3515.092,-1748.068
53:51.0,3518.173,-1748.07
53:54.5,3521.211,-1748.34
