time [sec],V [mV],I [mA]
8181.70,3200.383902,2.494207
8181.74,3203.571558,-317.314148
8181.76,3209.074259,-796.950042
8181.78,3214.675426,-1237.455487
8181.80,3219.137907,-1549.046874
8181.82,3222.152472,-1727.680922
8181.88,3225.281954,-1810.040593
8182.22,3228.290558,-1748.280883
8182.82,3231.342316,-1748.032928
8183.49,3234.383583,-1748.405457
8184.36,3237.401485,-1748.381853
8185.22,3240.442514,-1748.337984
8186.16,3243.497133,-1748.470783
8187.13,3246.562958,-1748.570323
8188.10,3249.607801,-1748.762727
8188.95,3252.679825,-1748.397470
8190.14,3255.685568,-1748.272181
8191.11,3258.746386,-1748.658419
8192.16,3261.760235,-1748.404264
8193.28,3264.762402,-1748.402953
8194.32,3267.789602,-1748.499990
8195.53,3270.790815,-1748.582602
8196.61,3273.796558,-1748.669744
8197.75,3276.825905,-1748.373747
8198.88,3279.839039,-1748.367190
8200.18,3282.886028,-1748.532891
8201.41,3285.903215,-1748.536110
8202.62,3289.011717,-1748.536229
8203.90,3292.065382,-1748.341322
8205.12,3295.146704,-1748.127103
8206.59,3298.221350,-1748.634815
8207.73,3301.238060,-1748.399973
8209.12,3304.286480,-1748.799443
8210.55,3307.303667,-1748.728395
8211.89,3310.317516,-1748.096347
8213.16,3313.326597,-1748.584509
8214.59,3316.337347,-1748.460531
8215.99,3319.352388,-1748.283982
8217.60,3322.375059,-1748.268008
8218.91,3325.391769,-1748.265862
8220.56,3328.419924,-1748.698354
8222.03,3331.456423,-1748.301744
8223.60,3334.503412,-1748.877645
8225.02,3337.527752,-1748.647332
8226.69,3340.554237,-1748.261452
8228.11,3343.566418,-1748.260975
8229.81,3346.566677,-1748.452187
8231.43,3349.571228,-1748.249292
8233.12,3352.582693,-1748.323917
8234.88,3355.599165,-1748.657942
8236.51,3358.628511,-1748.427153
8238.24,3361.633778,-1748.540759
8240.12,3364.640236,-1749.037147
8241.78,3367.690086,-1748.128057
8243.66,3370.720863,-1748.586178
8245.39,3373.722315,-1748.495698
8247.33,3376.735926,-1748.495340
8249.08,3379.750013,-1748.517394
8251.01,3382.786989,-1748.484612
8252.91,3385.801554,-1748.294234
8254.94,3388.824701,-1748.599172
8256.71,3391.855001,-1748.629570
8258.61,3394.873619,-1748.322725
8260.95,3397.902012,-1748.608351
8262.87,3400.919676,-1748.842955
8264.78,3403.934479,-1748.623967
8266.83,3406.985521,-1748.440504
8269.21,3410.016775,-1748.559952
8271.11,3413.029671,-1748.455405
8273.31,3416.051388,-1748.507142
8275.70,3419.064283,-1748.896837
8277.68,3422.097683,-1748.376608
8280.13,3425.141096,-1748.563647
8282.33,3428.158998,-1748.570323
8284.60,3431.177139,-1748.355508
8286.89,3434.210300,-1748.430014
8289.34,3437.221050,-1748.684645
8291.73,3440.287113,-1748.313069
8294.30,3443.320036,-1748.474240
8296.45,3446.336746,-1748.484373
8299.00,3449.364662,-1748.519897
8301.58,3452.426434,-1748.408318
8304.11,3455.468893,-1748.487115
8306.74,3458.480358,-1748.588681
8309.20,3461.524963,-1748.399973
8311.68,3464.533806,-1748.539329
8314.50,3467.560530,-1748.634338
8317.51,3470.640182,-1748.462915
8319.79,3473.645210,-1748.727798
8322.80,3476.683378,-1748.556018
8325.57,3479.710817,-1748.747706
8328.39,3482.722044,-1748.388767
8331.27,3485.735655,-1748.507261
8333.93,3488.741159,-1748.361230
8336.86,3491.787195,-1748.498321
8339.74,3494.820833,-1748.332739
8342.44,3497.854233,-1748.380065
8345.57,3500.903130,-1748.071194
8348.76,3503.909588,-1748.354673
