time [sec],V [mV],I [mA]
13656.08,3194.392,3.672
13656.13,3199.910,-543.265
13656.14,3202.925,-789.050
13656.15,3205.983,-1023.320
13656.17,3211.332,-1406.308
13656.19,3215.242,-1651.171
13656.22,3218.486,-1806.150
13656.43,3221.535,-1746.728
13656.89,3224.590,-1748.831
13657.67,3227.614,-1748.870
13658.35,3230.741,-1748.707
13659.25,3233.826,-1748.991
13660.12,3236.826,-1748.989
13661.13,3239.867,-1748.881
13661.97,3242.873,-1749.241
13662.93,3245.911,-1748.894
13664.00,3248.938,-1748.993
13665.07,3251.990,-1749.214
13666.04,3255.038,-1748.660
13667.18,3258.054,-1748.854
13668.16,3261.073,-1749.217
13669.27,3264.116,-1748.943
13670.40,3267.135,-1749.291
13671.53,3270.155,-1749.010
13672.81,3273.160,-1748.978
13673.89,3276.194,-1749.049
13675.08,3279.213,-1748.632
13676.24,3282.254,-1748.801
13677.60,3285.271,-1749.302
13678.90,3288.301,-1749.129
13680.26,3291.303,-1748.960
13681.47,3294.358,-1748.900
13682.68,3297.362,-1749.177
13684.05,3300.439,-1749.156
13685.32,3303.446,-1749.342
13686.72,3306.460,-1749.091
13688.02,3309.488,-1748.903
13689.62,3312.543,-1749.279
13691.12,3315.547,-1749.357
13692.57,3318.603,-1748.835
13694.02,3321.667,-1748.786
13695.47,3324.708,-1748.887
13697.05,3327.718,-1748.980
13698.54,3330.730,-1749.132
13700.18,3333.802,-1749.169
13701.80,3336.887,-1749.263
13703.49,3339.897,-1748.800
13704.93,3342.906,-1749.409
13706.74,3345.910,-1748.997
13708.35,3348.974,-1749.097
13710.10,3352.004,-1749.195
13711.78,3355.024,-1749.087
13713.49,3358.087,-1748.783
13715.13,3361.093,-1748.886
13717.01,3364.117,-1749.008
13718.96,3367.140,-1749.037
13720.68,3370.151,-1748.668
13722.57,3373.184,-1748.944
13724.45,3376.223,-1748.917
13726.31,3379.259,-1749.272
13728.29,3382.277,-1748.817
13730.11,3385.292,-1749.021
13732.06,3388.320,-1749.064
13734.10,3391.346,-1749.086
13735.99,3394.348,-1749.144
13738.16,3397.350,-1748.758
13740.10,3400.368,-1748.919
13742.36,3403.410,-1748.898
13744.44,3406.435,-1748.644
13746.52,3409.520,-1749.243
13748.72,3412.520,-1749.180
13750.99,3415.576,-1749.057
13753.10,3418.593,-1749.202
13755.60,3421.599,-1748.863
13757.76,3424.736,-1748.940
