time [sec],V [mV],I [mA]
0.0,3179.788,-1.065
0.05,3184.861,-566.698
0.07,3189.918,-1043.64
0.09,3194.356,-1420.37
0.11,3197.468,-1659.393
0.16,3200.572,-1822.735
0.65,3203.575,-1748.726
1.23,3206.609,-1747.552
1.91,3209.625,-1749.407
2.8,3212.641,-1749.022
3.78,3215.686,-1747.445
4.62,3218.689,-1748.763
5.64,3221.699,-1749.002
6.73,3224.724,-1746.675
7.8,3227.738,-1749.389
8.87,3230.753,-1747.25
9.93,3233.79,-1749.34
11.07,3236.823,-1749.078
12.28,3239.828,-1747.148
13.46,3242.913,-1748.179
14.54,3245.934,-1747.808
15.86,3248.937,-1748.468
17.13,3251.939,-1748.764
18.32,3254.971,-1748.275
19.56,3257.975,-1749.282
20.89,3261.026,-1747.005
22.29,3264.026,-1746.751
23.63,3267.069,-1748.703
24.96,3270.086,-1747.69
26.32,3273.117,-1747.617
27.71,3276.129,-1747.382
29.15,3279.159,-1748.037
30.59,3282.168,-1748.835
32.03,3285.224,-1747.369
33.67,3288.229,-1748.112
35.09,3291.244,-1748.808
36.64,3294.261,-1748.824
38.24,3297.359,-1748.98
39.81,3300.359,-1747.353
41.44,3303.39,-1747.495
43.0,3306.467,-1749.147
44.81,3309.583,-1747.533
46.43,3312.631,-1747.522
47.99,3315.634,-1748.885
49.74,3318.686,-1749.068
51.7,3321.735,-1747.273
53.39,3324.79,-1748.954
55.2,3327.841,-1747.766
57.01,3330.915,-1748.279
58.95,3333.925,-1748.505
60.86,3336.938,-1749.243
62.62,3339.942,-1748.576
64.66,3342.962,-1747.917
66.72,3345.97,-1748.978
68.48,3348.988,-1748.205
70.6,3352.032,-1747.8
72.62,3355.092,-1747.802
74.75,3358.16,-1748.749
76.61,3361.177,-1748.85
78.87,3364.182,-1747.101
80.95,3367.242,-1747.232
83.2,3370.285,-1748.931
85.28,3373.317,-1748.714
87.49,3376.327,-1747.575
89.63,3379.379,-1749.128
91.97,3382.415,-1746.988
94.2,3385.454,-1748.982
96.5,3388.471,-1747.844
99.09,3391.564,-1749.302
101.62,3394.625,-1748.856
103.97,3397.63,-1748.731
106.15,3400.665,-1747.939
108.74,3403.666,-1748.019
111.3,3406.692,-1748.686
113.77,3409.722,-1747.85
116.22,3412.729,-1747.885
119.03,3415.807,-1749.469
121.8,3418.811,-1748.685
124.42,3421.826,-1748.004
127.1,3424.881,-1749.085
129.89,3427.909,-1747.955
132.7,3430.925,-1749.034
135.41,3433.925,-1748.366
138.41,3436.974,-1747.555
141.09,3440.008,-1748.814
144.18,3443.098,-1747.929
147.47,3446.123,-1747.844
149.75,3449.147,-1748.754
153.3,3452.159,-1748.667
156.54,3455.17,-1747.836
159.52,3458.205,-1748.379
162.46,3461.216,-1748.735
165.87,3464.229,-1748.068
169.27,3467.252,-1748.035
172.2,3470.282,-1747.853
175.46,3473.283,-1747.272
178.74,3476.301,-1747.779
182.53,3479.314,-1748.559
185.82,3482.318,-1747.676
189.64,3485.362,-1748.697
193.29,3488.393,-1747.479
196.7,3491.401,-1747.642
200.33,3494.451,-1748.783
203.89,3497.463,-1747.309
207.62,3500.47,-1748.519
211.25,3503.472,-1748.16
214.84,3506.502,-1747.711
218.95,3509.526,-1747.444
222.77,3512.549,-1747.963
226.51,3515.577,-1748.608
231.24,3518.59,-1748.581
235.0,3521.607,-1748.681
239.34,3524.649,-1747.932
243.01,3527.703,-1748.922
247.59,3530.708,-1747.415
251.67,3533.734,-1748.801
255.72,3536.75,-1748.34
260.29,3539.796,-1749.061
264.72,3542.836,-1748.938
269.12,3545.892,-1748.345
273.99,3548.947,-1748.139
278.48,3551.955,-1748.926
283.03,3554.965,-1748.518
287.43,3557.977,-1747.938
292.23,3561.002,-1748.859
297.07,3564.022,-1747.838
302.0,3567.056,-1748.252
306.89,3570.063,-1747.356
311.53,3573.066,-1748.226
316.65,3576.081,-1748.578
321.32,3579.096,-1748.002
326.64,3582.106,-1748.481
331.9,3585.106,-1749.106
336.98,3588.166,-1747.255
342.54,3591.204,-1747.286
347.14,3594.216,-1747.111
352.75,3597.265,-1747.236
358.3,3600.299,-1749.349
363.35,3603.321,-1747.609
369.47,3606.346,-1748.4
374.2,3609.358,-1746.966
380.51,3612.368,-1747.796
385.95,3615.37,-1747.402
392.01,3618.378,-1749.328
397.59,3621.392,-1748.986
403.38,3624.421,-1749.756
408.75,3627.505,-1747.821
415.99,3630.525,-1747.115
421.81,3633.543,-1749.285
427.81,3636.587,-1748.778
433.94,3639.609,-1747.274
440.59,3642.612,-1748.282
446.85,3645.624,-1749.549
454.16,3648.669,-1749.086
460.8,3651.761,-1748.204
467.43,3654.799,-1747.983
474.06,3657.814,-1747.852
480.54,3660.816,-1747.098
487.92,3663.818,-1748.895
495.1,3666.918,-1748.082
501.91,3669.919,-1749.2
509.09,3672.998,-1747.47
516.61,3676.049,-1748.812
524.0,3679.15,-1749.041
531.29,3682.151,-1747.533
538.77,3685.182,-1748.984
546.27,3688.184,-1748.854
554.84,3691.196,-1747.412
562.22,3694.198,-1749.108
570.9,3697.23,-1748.774
578.76,3700.27,-1748.734
587.82,3703.283,-1749.031
596.32,3706.328,-1747.508
605.21,3709.348,-1748.483
614.78,3712.403,-1747.245
623.41,3715.417,-1748.918
633.1,3718.435,-1747.531
644.43,3721.456,-1747.803
654.87,3724.463,-1748.626
666.71,3727.491,-1747.3
680.37,3730.523,-1747.373
691.55,3733.53,-1749.183
707.81,3736.573,-1748.247
723.89,3739.583,-1747.099
739.38,3742.585,-1747.945
761.01,3745.589,-1749.488
781.54,3748.625,-1748.512
804.1,3751.648,-1748.263
828.24,3754.655,-1748.012
855.29,3757.658,-1747.001
882.54,3760.666,-1748.224
911.8,3763.677,-1748.666
941.64,3766.689,-1748.134
975.05,3769.696,-1748.814
1007.27,3772.704,-1747.807
1040.13,3775.734,-1748.531
1075.75,3778.816,-1748.241
1107.77,3781.851,-1748.569
1144.35,3784.882,-1747.685
1178.44,3787.968,-1747.813
1212.99,3791.014,-1748.017
1249.97,3794.07,-1747.911
1285.48,3797.105,-1748.594
1321.07,3800.106,-1747.718
1357.21,3803.131,-1748.839
1392.13,3806.143,-1747.807
1429.41,3809.182,-1747.916
1465.03,3812.197,-1747.578
1496.71,3815.228,-1747.379
1532.44,3818.264,-1747.421
1566.19,3821.306,-1748.504
1598.2,3824.334,-1746.794
1632.53,3827.348,-1747.78
1664.03,3830.408,-1746.599
1698.34,3833.444,-1750.177
1729.94,3836.503,-1748.881
1760.61,3839.521,-1747.609
1794.36,3842.577,-1749.346
1826.8,3845.622,-1747.601
1859.64,3848.654,-1748.406
1891.79,3851.673,-1746.96
1924.33,3854.676,-1747.169
1959.23,3857.691,-1747.865
1992.65,3860.719,-1747.891
2025.61,3863.744,-1747.136
2060.41,3866.755,-1748.949
2099.29,3869.776,-1748.702
2132.55,3872.83,-1746.699
2174.84,3875.881,-1747.811
2212.39,3878.933,-1749.034
2251.66,3881.936,-1747.835
2289.95,3884.962,-1747.735
2328.05,3887.964,-1747.638
2370.07,3890.987,-1749.379
2410.68,3893.993,-1746.915
2447.28,3897.022,-1748.723
2492.41,3900.042,-1747.348
2535.08,3903.061,-1747.895
2575.99,3906.087,-1749.469
2622.4,3909.105,-1747.955
2667.32,3912.174,-1748.39
2717.2,3915.195,-1746.953
2763.97,3918.209,-1747.168
2813.63,3921.275,-1746.624
2870.94,3924.297,-1749.591
2925.48,3927.311,-1747.41
2985.48,3930.039,-1749.665
3039.58,3933.087,-1747.041
3099.58,3935.623,-1749.087
3155.47,3938.626,-1747.244
3215.47,3940.809,-1746.633
3267.27,3943.85,-1748.118
3327.27,3946.664,-1749.115
3387.27,3949.129,-1748.89
3435.1,3952.133,-1749.075
3491.65,3955.151,-1747.994
3551.65,3957.591,-1749.218
3601.68,3960.615,-1748.484
3655.83,3963.643,-1748.668
3711.72,3966.664,-1748.853
3764.5,3969.666,-1747.726
3820.49,3972.67,-1747.409
3870.43,3975.709,-1747.044
3917.25,3978.725,-1747.921
3965.25,3981.746,-1748.195
4012.57,3984.802,-1749.032
4060.46,3987.816,-1747.076
4104.14,3990.826,-1749.362
4148.03,3993.832,-1748.145
4193.34,3996.841,-1748.263
4236.0,3999.853,-1747.722
4280.3,4002.921,-1747.884
4324.16,4005.939,-1748.903
4366.96,4008.955,-1747.488
4410.63,4011.958,-1749.756
4454.57,4014.963,-1747.005
4495.86,4017.964,-1749.21
4540.31,4020.977,-1747.289
4585.12,4023.979,-1748.284
4629.73,4026.989,-1749.449
4678.26,4030.002,-1747.131
4723.14,4033.007,-1749.188
4771.68,4036.026,-1748.909
4825.75,4039.032,-1748.024
4877.39,4042.046,-1749.141
4932.62,4045.075,-1749.379
4989.73,4048.082,-1748.674
5048.79,4051.138,-1748.662
5108.79,4053.774,-1747.18
5168.79,4055.965,-1747.841
5215.93,4058.98,-1748.187
5275.93,4061.037,-1749.376
5335.93,4063.757,-1749.105
5395.93,4065.788,-1748.569
5455.63,4068.795,-1747.252
5515.63,4070.714,-1749.018
5575.63,4072.856,-1748.847
5635.63,4075.392,-1746.77
5695.63,4077.374,-1747.716
5755.63,4079.944,-1747.435
5815.63,4081.677,-1747.767
5875.63,4084.327,-1748.689
5935.63,4086.002,-1748.738
5995.63,4088.161,-1748.883
6055.63,4090.502,-1748.729
6115.63,4093.052,-1748.651
6175.63,4095.116,-1748.012
6235.63,4097.171,-1748.55
6295.63,4099.123,-1748.451
6355.63,4101.582,-1747.931
6415.63,4103.837,-1749.135
6475.63,4106.031,-1748.152
6535.63,4108.17,-1749.112
6595.63,4110.803,-1748.665
6655.63,4113.101,-1748.581
6715.63,4115.098,-1748.668
6775.63,4117.481,-1748.441
6835.63,4120.064,-1747.763
6895.63,4122.163,-1748.063
6955.63,4124.644,-1747.514
7015.63,4126.985,-1748.676
7075.63,4129.345,-1749.35
7135.63,4131.927,-1748.483
7195.63,4134.469,-1748.438
7253.85,4137.477,-1749.384
7313.85,4139.493,-1747.718
7363.35,4142.557,-1748.555
7423.35,4144.668,-1747.891
7475.86,4147.679,-1748.286
7533.87,4150.698,-1747.2
7590.45,4153.724,-1747.301
7640.82,4156.744,-1748.12
7696.44,4159.825,-1747.64
7748.56,4162.885,-1748.311
7802.21,4165.892,-1747.554
7844.37,4168.972,-1748.707
7889.68,4171.988,-1747.44
7928.76,4174.998,-1749.02
7970.06,4178.009,-1748.797
8007.83,4181.061,-1748.392
8046.36,4184.134,-1748.116
8082.22,4187.14,-1748.328
8112.39,4190.205,-1747.995
8148.7,4193.225,-1748.219
8178.6,4196.234,-1748.434
8207.01,4198.761,-1748.11
8207.02,4198.601,-1715.902
8207.05,4194.393,-1157.331
8207.07,4190.353,-678.322
8207.09,4187.058,-306.496
8207.12,4184.022,-5.598
8207.75,4180.949,-0.291
8209.91,4177.936,-0.529
8213.84,4174.928,-0.294
8219.68,4171.916,-0.087
8228.05,4168.899,-0.461
8236.01,4165.88,-0.897
8250.82,4162.822,-0.89
8269.39,4159.759,-1.003
8296.03,4156.694,-0.836
8333.93,4153.665,-0.962
8393.93,4151.002,-0.396
8453.93,4149.12,-0.415
8513.93,4147.511,0.101
8573.93,4146.59,-0.191
8633.93,4145.555,-0.111
8693.93,4144.969,-0.429
8753.93,4144.283,-0.467
8807.01,4143.492,-0.162
8807.02,4143.558,-0.065
8807.07,4138.751,619.285
8807.09,4134.881,1090.19
8807.11,4131.605,1452.518
8807.14,4128.302,1744.405
8807.97,4125.241,1749.528
8810.41,4122.218,1749.859
8814.82,4119.213,1749.48
8821.51,4116.208,1749.211
8829.17,4113.152,1749.02
8837.96,4110.099,1749.76
8850.1,4107.096,1749.384
8862.68,4104.09,1749.842
8878.09,4101.079,1749.771
8896.31,4098.077,1749.89
8915.21,4095.018,1749.762
8940.8,4091.972,1749.616
8966.22,4088.957,1750.166
8991.99,4085.934,1749.554
9024.73,4082.912,1750.244
9057.5,4079.903,1749.355
9091.02,4076.892,1749.507
9128.77,4073.825,1749.32
9166.04,4070.784,1749.602
9208.63,4067.781,1749.437
9250.24,4064.769,1749.732
9289.12,4061.755,1749.157
9335.96,4058.746,1750.052
9375.79,4055.744,1749.74
9415.5,4052.727,1749.603
9460.97,4049.713,1750.168
9503.92,4046.708,1749.878
9544.16,4043.705,1749.903
9585.38,4040.689,1749.771
9631.31,4037.66,1749.826
9674.48,4034.648,1749.456
9713.5,4031.623,1749.355
9757.44,4028.61,1749.561
9797.4,4025.581,1749.675
9841.19,4022.552,1749.886
9883.71,4019.5,1749.432
9923.48,4016.494,1749.921
9967.8,4013.473,1748.95
10010.81,4010.466,1750.369
10053.13,4007.396,1749.395
10099.11,4004.387,1749.595
10152.34,4001.363,1749.634
10202.2,3998.35,1749.895
10260.11,3995.319,1749.808
10320.11,3992.503,1749.299
10380.11,3989.685,1750.666
10440.11,3987.312,1749.414
10500.11,3985.154,1749.435
10560.11,3982.756,1749.758
10620.11,3980.862,1749.626
10680.11,3978.867,1750.159
10740.11,3976.615,1749.417
10800.11,3974.781,1749.143
10860.11,3972.867,1749.564
10920.11,3971.238,1749.664
10980.11,3969.298,1749.244
11040.11,3967.425,1749.914
11100.11,3965.108,1749.301
11160.11,3963.234,1750.138
11220.11,3961.21,1749.521
11280.11,3958.78,1749.368
11340.11,3956.875,1749.75
11400.11,3954.813,1750.153
11459.89,3951.81,1749.548
11519.89,3949.708,1750.085
11579.89,3947.329,1749.925
11639.15,3944.325,1749.327
11699.15,3942.027,1749.668
11759.04,3938.993,1750.086
11819.04,3936.368,1749.42
11873.86,3933.33,1749.485
11932.6,3930.299,1749.835
11986.72,3927.281,1749.335
12041.16,3924.266,1749.667
12094.28,3921.259,1749.316
12147.68,3918.222,1749.729
12196.15,3915.221,1749.472
12244.73,3912.159,1749.728
12290.25,3909.151,1749.669
12335.45,3906.142,1749.908
12379.07,3903.112,1750.17
12426.4,3900.091,1749.923
12469.68,3897.09,1749.328
12513.77,3894.088,1749.41
12559.21,3891.041,1749.568
12603.53,3887.926,1749.765
12648.87,3884.892,1750.075
12689.2,3881.881,1750.226
12735.56,3878.881,1749.605
12779.21,3875.876,1749.406
12824.99,3872.807,1749.83
12871.89,3869.754,1749.926
12915.48,3866.725,1749.765
12963.11,3863.723,1749.885
13010.6,3860.722,1749.388
13057.55,3857.715,1749.556
13105.84,3854.692,1749.624
13153.07,3851.683,1749.568
13205.47,3848.643,1749.769
13254.98,3845.631,1749.607
13306.67,3842.619,1749.186
13365.1,3839.597,1749.979
13415.11,3836.589,1749.356
13470.4,3833.577,1749.301
13523.15,3830.561,1750.191
13579.55,3827.506,1749.179
13636.58,3824.506,1749.244
13693.91,3821.488,1749.577
13750.62,3818.466,1749.309
13805.64,3815.456,1750.041
13864.01,3812.422,1749.37
13919.14,3809.396,1749.873
13979.14,3806.673,1749.277
14032.29,3803.671,1749.746
14087.51,3800.589,1749.787
14144.11,3797.542,1750.123
14201.64,3794.538,1749.999
14256.69,3791.528,1749.773
14312.77,3788.5,1749.761
14364.22,3785.483,1749.689
14420.71,3782.467,1749.566
14470.97,3779.428,1750.434
14525.02,3776.425,1749.581
14577.37,3773.377,1749.596
14627.06,3770.365,1749.636
14674.18,3767.327,1748.891
14719.89,3764.321,1750.2
14767.18,3761.287,1749.468
14812.5,3758.282,1749.537
14856.19,3755.275,1749.309
14897.6,3752.273,1749.301
14938.85,3749.238,1749.817
14978.57,3746.208,1749.941
15023.01,3743.186,1749.874
15058.97,3740.158,1749.802
15098.43,3737.155,1750.215
15135.83,3734.139,1749.666
15172.17,3731.132,1749.149
15206.78,3728.111,1749.897
15245.0,3725.053,1749.586
15279.02,3722.04,1749.553
15315.15,3718.967,1749.433
15350.29,3715.962,1749.277
15384.62,3712.933,1749.628
15418.82,3709.892,1749.396
15454.98,3706.853,1749.385
15489.24,3703.809,1749.709
15525.56,3700.804,1749.901
15562.18,3697.772,1749.927
15599.93,3694.769,1750.188
15636.34,3691.728,1749.563
15677.6,3688.687,1749.244
15718.68,3685.665,1749.869
15756.97,3682.626,1749.33
15795.91,3679.592,1749.668
15835.06,3676.573,1749.925
15872.16,3673.508,1749.214
15907.31,3670.483,1750.094
15941.98,3667.445,1749.655
15975.18,3664.417,1749.293
16007.54,3661.41,1749.644
16034.56,3658.41,1749.743
16063.79,3655.386,1749.489
16087.8,3652.376,1749.504
16114.81,3649.346,1749.509
16137.86,3646.338,1749.918
16161.4,3643.318,1749.728
16184.22,3640.261,1749.4
16201.59,3637.211,1749.736
16220.73,3634.186,1749.272
16237.06,3631.079,1749.585
16255.52,3628.05,1749.781
16269.44,3624.995,1749.512
16284.03,3621.988,1749.526
16297.62,3618.97,1749.394
16311.28,3615.92,1750.486
16323.17,3612.916,1748.786
16335.18,3609.862,1749.92
16346.29,3606.845,1749.388
16357.83,3603.798,1750.239
16368.2,3600.763,1749.395
16377.98,3597.756,1749.632
16388.04,3594.746,1749.353
16397.57,3591.698,1749.503
16405.79,3588.69,1749.802
16414.61,3585.69,1749.392
16422.75,3582.652,1750.117
16431.41,3579.638,1749.423
16439.44,3576.541,1749.585
16447.4,3573.488,1749.692
16454.47,3570.43,1749.564
16462.06,3567.399,1749.756
16469.5,3564.348,1749.754
16476.33,3561.333,1749.778
16483.24,3558.331,1749.972
16489.88,3555.282,1749.184
16496.47,3552.274,1749.716
16502.95,3549.24,1749.649
16509.6,3546.212,1750.124
16515.95,3543.209,1749.627
16522.33,3540.208,1749.494
16528.42,3537.172,1750.323
16534.49,3534.153,1749.921
16540.15,3531.139,1749.658
16546.19,3528.11,1749.805
16552.41,3525.077,1750.094
16558.38,3522.049,1749.812
16564.07,3519.023,1749.942
16569.5,3515.972,1749.799
16575.57,3512.925,1749.894
16581.26,3509.895,1749.44
16586.57,3506.89,1749.284
16592.07,3503.869,1749.465
16597.26,3500.822,1749.678
16602.68,3497.809,1749.703
16608.08,3494.794,1749.496
16613.08,3491.746,1749.732
16618.19,3488.728,1749.44
16623.35,3485.682,1750.419
16628.76,3482.658,1749.547
16633.83,3479.582,1749.422
16638.76,3476.578,1749.573
16643.77,3473.559,1750.05
16648.98,3470.558,1749.358
16653.3,3467.505,1749.925
16658.4,3464.496,1750.231
16662.83,3461.493,1749.482
16667.81,3458.481,1749.521
16672.17,3455.436,1749.674
16677.22,3452.397,1749.84
16681.92,3449.385,1749.665
16686.7,3446.353,1749.978
16691.02,3443.315,1749.455
16695.45,3440.249,1749.523
16699.95,3437.229,1749.946
16704.12,3434.211,1750.134
16708.69,3431.136,1750.156
16712.86,3428.11,1749.124
16716.99,3425.093,1750.095
16721.21,3422.062,1749.234
16725.56,3419.043,1749.707
16729.65,3416.016,1749.302
16733.89,3413.015,1749.089
16737.66,3410.001,1749.872
16741.81,3406.981,1750.211
16745.99,3403.968,1750.112
16749.82,3400.937,1749.733
16753.52,3397.894,1749.702
16757.36,3394.876,1749.539
16761.12,3391.821,1749.834
16765.14,3388.799,1749.296
16769.13,3385.775,1749.987
16772.51,3382.765,1749.897
16776.27,3379.76,1749.789
16780.09,3376.713,1749.706
16783.34,3373.684,1749.358
16787.07,3370.668,1749.995
16790.73,3367.581,1749.812
16794.12,3364.575,1749.828
16797.54,3361.516,1749.94
16801.12,3358.492,1749.322
16804.42,3355.463,1749.625
16807.8,3352.384,1749.868
16811.26,3349.336,1749.862
16814.6,3346.314,1750.007
16817.96,3343.298,1749.49
16821.08,3340.298,1749.178
16824.13,3337.257,1749.575
16827.21,3334.256,1749.457
16830.34,3331.143,1749.724
16833.43,3328.058,1748.982
16836.81,3325.053,1750.065
16839.84,3322.052,1749.469
16842.72,3319.031,1749.212
16845.88,3316.009,1749.618
16848.75,3313.005,1749.727
16851.61,3309.989,1750.128
16854.33,3306.945,1749.228
16857.37,3303.924,1749.739
16860.18,3300.902,1749.864
16862.79,3297.896,1749.722
16865.71,3294.841,1749.73
16868.19,3291.785,1749.755
16871.18,3288.677,1749.411
16873.96,3285.579,1749.014
16876.36,3282.549,1749.38
16879.07,3279.466,1749.786
16881.7,3276.45,1749.845
16884.33,3273.371,1749.543
16886.87,3270.349,1749.672
16889.3,3267.252,1749.967
16891.74,3264.228,1749.427
16893.98,3261.226,1749.822
16896.41,3258.203,1749.758
16898.88,3255.201,1749.65
16901.22,3252.16,1749.717
16903.56,3249.117,1749.484
16905.77,3246.105,1750.122
16907.95,3243.075,1749.328
16910.25,3239.991,1749.558
16912.77,3236.982,1749.797
16914.61,3233.976,1749.785
16916.96,3230.935,1749.807
16918.95,3227.907,1749.628
16921.14,3224.886,1749.961
16923.19,3221.866,1749.773
16925.15,3218.826,1749.921
16927.27,3215.807,1749.58
16929.16,3212.761,1750.01
16931.16,3209.74,1749.375
16933.28,3206.73,1749.392
16935.2,3203.681,1749.945
16937.11,3200.681,1749.675
16938.89,3197.643,1749.421
16940.72,3194.608,1749.667
16942.5,3191.528,1749.911
16944.42,3188.528,1749.656
16946.26,3185.484,1749.734
16948.24,3182.431,1750.147
16949.77,3179.374,1749.51
16951.55,3176.37,1749.42
16953.41,3173.346,1749.637
16954.9,3170.344,1750.098
16956.57,3167.321,1749.917
16958.21,3164.238,1749.366
16959.92,3161.189,1749.84
16961.29,3158.184,1749.522
16963.02,3155.144,1749.693
16964.56,3152.135,1749.52
16966.25,3149.039,1749.206
16967.75,3146.016,1749.402
16969.16,3142.936,1749.706
16970.61,3139.857,1749.87
16972.0,3136.851,1749.518
16973.52,3133.838,1749.735
16974.85,3130.799,1749.775
16976.37,3127.788,1749.618
16977.57,3124.758,1749.922
16978.77,3121.732,1749.576
16980.01,3118.723,1750.032
16981.37,3115.686,1749.908
16982.56,3112.616,1749.716
16983.89,3109.597,1750.101
16985.16,3106.579,1749.865
16986.32,3103.532,1749.536
16987.65,3100.52,1750.104
16988.78,3097.481,1749.534
16989.85,3094.466,1749.514
16991.12,3091.458,1749.637
16992.28,3088.412,1750.048
16993.24,3085.4,1749.421
16994.36,3082.38,1749.684
16995.51,3079.317,1749.334
16996.56,3076.288,1749.574
16997.54,3073.276,1749.495
16998.57,3070.263,1749.972
16999.63,3067.242,1749.809
17000.54,3064.219,1749.612
17001.61,3061.192,1750.2
17002.55,3058.178,1749.872
17003.41,3055.156,1749.349
17004.4,3052.138,1749.682
17005.28,3049.11,1749.871
17006.25,3046.072,1750.03
17007.17,3043.0,1750.328
17008.03,3039.994,1749.857
17008.83,3036.951,1749.502
