Frequency[Hz],Z_real[ohm],Z_img[ohm]
1.000e+005,6.8409e-003,1.4213e-002
7.900e+004,6.6111e-003,1.1417e-002
6.300e+004,6.4093e-003,9.3035e-003
5.000e+004,6.1842e-003,7.5993e-003
4.000e+004,6.0211e-003,6.2582e-003
3.200e+004,5.8555e-003,5.1637e-003
2.500e+004,5.6700e-003,4.1874e-003
2.000e+004,5.5229e-003,3.4796e-003
1.600e+004,5.3728e-003,2.8698e-003
1.300e+004,5.2417e-003,2.3944e-003
1.000e+004,5.1104e-003,1.8789e-003
7.900e+003,5.0206e-003,1.4717e-003
6.300e+003,4.9608e-003,1.1366e-003
5.000e+003,4.9286e-003,8.3782e-004
4.000e+003,4.9245e-003,5.7875e-004
3.200e+003,4.9346e-003,3.6535e-004
2.500e+003,4.9769e-003,1.5983e-004
2.000e+003,5.0277e-003,4.6453e-007
1.600e+003,5.0835e-003,-1.2840e-004
1.300e+003,5.1516e-003,-2.3593e-004
1.000e+003,5.2514e-003,-3.5835e-004
7.899e+002,5.3397e-003,-4.4078e-004
6.301e+002,5.4459e-003,-5.1605e-004
5.000e+002,5.5493e-003,-5.7675e-004
4.000e+002,5.6388e-003,-6.2714e-004
3.200e+002,5.7438e-003,-6.7366e-004
2.500e+002,5.8703e-003,-7.2355e-004
2.000e+002,5.9701e-003,-7.7280e-004
1.600e+002,6.0887e-003,-8.1256e-004
1.300e+002,6.1971e-003,-8.4315e-004
1.000e+002,6.3516e-003,-9.0865e-004
7.900e+001,6.4798e-003,-9.4738e-004
6.300e+001,6.6222e-003,-9.9563e-004
5.000e+001,6.7621e-003,-1.0287e-003
4.000e+001,6.9206e-003,-1.0854e-003
3.200e+001,7.0717e-003,-1.1396e-003
2.500e+001,7.2648e-003,-1.2136e-003
2.000e+001,7.4703e-003,-1.2532e-003
1.600e+001,7.6594e-003,-1.2844e-003
1.300e+001,7.8507e-003,-1.3225e-003
1.000e+001,8.1189e-003,-1.3650e-003
7.900e+000,8.3785e-003,-1.3625e-003
6.300e+000,8.6281e-003,-1.3209e-003
5.000e+000,8.8619e-003,-1.2439e-003
4.000e+000,9.0584e-003,-1.1653e-003
3.200e+000,9.2256e-003,-1.0691e-003
2.500e+000,9.3867e-003,-9.8246e-004
2.000e+000,9.4837e-003,-9.0148e-004
1.600e+000,9.5915e-003,-8.4804e-004
1.300e+000,9.6822e-003,-7.9834e-004
1.000e+000,9.7835e-003,-7.6823e-004
7.900e-001,9.8630e-003,-7.5981e-004
6.300e-001,9.9377e-003,-7.4590e-004
5.000e-001,1.0031e-002,-7.5393e-004
4.000e-001,1.0122e-002,-7.8611e-004
3.200e-001,1.0207e-002,-8.3577e-004
2.500e-001,1.0292e-002,-8.9667e-004
2.000e-001,1.0392e-002,-9.5452e-004
1.600e-001,1.0476e-002,-1.0283e-003
1.300e-001,1.0594e-002,-1.1435e-003
1.000e-001,1.0736e-002,-1.2913e-003
7.900e-002,1.0842e-002,-1.4504e-003
6.300e-002,1.0991e-002,-1.6248e-003
5.000e-002,1.1169e-002,-1.8636e-003
4.000e-002,1.1361e-002,-2.1172e-003
3.200e-002,1.1549e-002,-2.4324e-003
2.500e-002,1.1802e-002,-2.8503e-003
2.000e-002,1.2079e-002,-3.3003e-003
1.600e-002,1.2387e-002,-3.8164e-003
1.300e-002,1.2749e-002,-4.3725e-003
1.000e-002,1.3276e-002,-5.1829e-003
