time [sec],V [mV],I [mA]
0.0,3169.665,-3.03
0.05,3174.799,-561.367
0.07,3179.883,-1037.972
0.09,3184.183,-1414.793
0.12,3188.062,-1727.382
0.33,3191.069,-1745.972
0.83,3194.117,-1750.081
1.54,3197.185,-1748.559
2.37,3200.303,-1750.726
3.19,3203.309,-1749.868
4.11,3206.387,-1750.673
5.17,3209.402,-1745.727
6.11,3212.411,-1748.506
7.18,3215.415,-1746.32
8.29,3218.422,-1747.13
9.31,3221.439,-1750.401
10.5,3224.491,-1751.024
11.64,3227.511,-1750.909
12.79,3230.547,-1749.203
13.99,3233.554,-1745.892
15.16,3236.603,-1747.586
16.63,3239.622,-1750.869
17.9,3242.661,-1746.174
18.97,3245.727,-1745.727
20.46,3248.76,-1751.21
21.72,3251.801,-1746.64
23.04,3254.87,-1746.047
24.65,3257.919,-1746.107
26.04,3260.926,-1749.407
27.34,3263.968,-1746.571
28.9,3266.994,-1746.188
30.31,3270.011,-1750.033
31.88,3273.047,-1750.174
33.4,3276.122,-1748.767
34.98,3279.155,-1750.39
36.55,3282.224,-1750.934
38.14,3285.255,-1747.069
39.72,3288.31,-1746.181
41.46,3291.317,-1746.465
43.06,3294.408,-1751.201
44.78,3297.412,-1751.055
46.41,3300.484,-1747.478
48.14,3303.489,-1748.638
50.15,3306.502,-1750.608
51.64,3309.527,-1751.176
53.51,3312.545,-1746.498
55.15,3315.575,-1747.995
57.28,3318.621,-1750.208
59.21,3321.629,-1749.294
61.12,3324.664,-1748.947
62.61,3327.665,-1746.079
64.88,3330.714,-1750.385
66.96,3333.719,-1750.845
68.95,3336.721,-1747.14
70.92,3339.739,-1749.326
72.87,3342.747,-1748.187
74.88,3345.782,-1746.543
77.14,3348.788,-1746.339
79.07,3351.802,-1750.917
81.58,3354.842,-1748.423
83.75,3357.874,-1750.661
86.04,3360.937,-1747.043
88.04,3363.98,-1746.1
90.46,3367.017,-1747.706
92.64,3370.042,-1749.089
94.99,3373.065,-1747.836
97.32,3376.132,-1746.541
99.67,3379.149,-1748.159
102.25,3382.189,-1750.475
104.43,3385.203,-1749.239
106.89,3388.233,-1750.082
109.36,3391.329,-1746.918
111.74,3394.333,-1749.952
114.55,3397.392,-1746.829
117.29,3400.409,-1746.487
119.98,3403.44,-1748.386
122.66,3406.517,-1750.914
125.44,3409.536,-1749.169
128.13,3412.541,-1750.307
130.82,3415.548,-1750.771
133.92,3418.584,-1749.135
136.55,3421.615,-1746.274
139.2,3424.625,-1750.169
142.45,3427.642,-1746.747
145.39,3430.761,-1746.661
148.1,3433.767,-1747.006
151.35,3436.8,-1749.22
154.39,3439.857,-1747.368
157.45,3442.909,-1747.847
160.49,3445.942,-1750.506
163.58,3449.007,-1748.499
167.07,3452.127,-1746.85
170.29,3455.147,-1750.595
173.53,3458.155,-1746.99
176.79,3461.155,-1750.878
180.08,3464.205,-1749.697
183.46,3467.216,-1749.706
186.92,3470.229,-1750.2
190.22,3473.245,-1747.296
193.86,3476.254,-1747.561
197.3,3479.312,-1750.622
200.88,3482.329,-1749.943
204.85,3485.429,-1746.485
207.93,3488.445,-1750.495
212.31,3491.457,-1746.866
215.69,3494.522,-1748.102
219.74,3497.617,-1749.77
223.36,3500.648,-1750.848
227.03,3503.668,-1750.276
230.97,3506.695,-1750.635
235.06,3509.7,-1746.892
238.99,3512.733,-1746.658
243.1,3515.761,-1747.814
247.34,3518.764,-1747.757
251.36,3521.786,-1747.968
255.47,3524.804,-1747.241
259.73,3527.817,-1746.523
263.81,3530.841,-1746.517
268.25,3533.898,-1751.109
272.52,3536.918,-1749.201
277.19,3539.973,-1750.646
281.52,3542.988,-1748.601
285.75,3545.99,-1750.977
290.37,3549.021,-1750.448
295.01,3552.044,-1750.988
299.67,3555.088,-1750.48
304.29,3558.146,-1748.751
309.21,3561.155,-1749.508
313.6,3564.173,-1750.853
319.11,3567.206,-1748.614
323.43,3570.238,-1750.861
328.82,3573.306,-1750.377
333.78,3576.359,-1746.222
338.61,3579.435,-1746.304
343.71,3582.44,-1750.993
348.92,3585.451,-1747.118
354.23,3588.541,-1749.137
359.01,3591.622,-1747.464
364.66,3594.632,-1746.558
369.85,3597.669,-1748.8
375.41,3600.735,-1748.327
380.85,3603.812,-1748.037
386.91,3606.834,-1746.081
392.46,3609.852,-1750.838
397.97,3612.855,-1746.142
403.73,3615.885,-1750.499
409.12,3618.896,-1746.827
415.37,3621.914,-1746.786
420.88,3624.931,-1747.079
426.8,3627.969,-1746.098
433.2,3630.976,-1746.121
439.22,3634.012,-1748.799
445.38,3637.051,-1750.934
451.62,3640.062,-1749.181
458.16,3643.068,-1746.322
465.32,3646.079,-1748.539
472.18,3649.108,-1746.826
478.64,3652.135,-1747.021
485.69,3655.139,-1750.596
492.18,3658.151,-1750.559
499.7,3661.214,-1747.036
507.57,3664.217,-1749.285
514.61,3667.222,-1750.465
522.1,3670.281,-1750.554
529.92,3673.314,-1747.336
538.25,3676.357,-1747.105
546.4,3679.39,-1750.793
554.91,3682.46,-1750.519
563.44,3685.479,-1750.318
572.53,3688.479,-1746.457
581.48,3691.488,-1748.434
590.07,3694.546,-1750.056
599.8,3697.547,-1746.321
610.65,3700.568,-1750.103
620.5,3703.605,-1749.617
630.24,3706.638,-1750.348
641.26,3709.648,-1749.871
653.43,3712.649,-1750.101
664.81,3715.687,-1750.54
676.24,3718.706,-1746.535
689.49,3721.732,-1750.838
702.83,3724.749,-1746.473
717.16,3727.836,-1748.386
731.76,3730.871,-1751.154
747.06,3733.871,-1749.613
764.68,3736.925,-1746.501
781.87,3739.936,-1747.58
800.74,3743.032,-1748.176
820.9,3746.05,-1745.937
842.57,3749.073,-1745.752
865.48,3752.074,-1750.025
888.69,3755.088,-1747.171
913.57,3758.111,-1750.938
943.47,3761.137,-1749.874
970.13,3764.16,-1746.865
999.9,3767.188,-1749.243
1031.04,3770.19,-1749.027
1061.63,3773.211,-1747.612
1095.94,3776.216,-1750.349
1129.44,3779.22,-1749.307
1164.62,3782.237,-1748.618
1198.38,3785.247,-1750.366
1234.44,3788.25,-1751.104
