time [sec],V [mV],I [mA]
6503.19,3200.222,4.553
6503.23,3203.348,-308.818
6503.25,3208.642,-787.962
6503.27,3214.125,-1230.749
6503.29,3218.549,-1545.257
6503.31,3221.642,-1726.275
6503.36,3224.707,-1819.494
6503.70,3227.715,-1748.572
6504.29,3230.734,-1748.610
6505.03,3233.753,-1749.142
6505.85,3236.779,-1748.794
6506.75,3239.819,-1748.655
6507.71,3242.862,-1749.438
6508.62,3245.905,-1749.112
6509.74,3248.980,-1748.946
6510.70,3252.033,-1748.878
6511.76,3255.134,-1748.804
6512.92,3258.156,-1749.146
6513.86,3261.190,-1748.840
6515.08,3264.234,-1748.873
6516.12,3267.268,-1748.988
6517.33,3270.285,-1749.039
6518.48,3273.330,-1748.636
6519.67,3276.374,-1749.341
6520.99,3279.397,-1748.803
6522.10,3282.446,-1749.145
6523.40,3285.461,-1748.931
6524.71,3288.480,-1749.028
6526.04,3291.538,-1748.791
6527.31,3294.544,-1749.183
6528.70,3297.550,-1748.915
6529.94,3300.562,-1748.857
6531.45,3303.601,-1748.663
6532.79,3306.652,-1749.090
6534.26,3309.696,-1748.772
6535.76,3312.708,-1748.999
6537.19,3315.776,-1749.123
6538.70,3318.842,-1749.190
6540.21,3321.851,-1748.768
6541.73,3324.876,-1748.747
6543.33,3327.897,-1749.384
6544.92,3330.911,-1748.851
6546.44,3333.943,-1748.898
6548.06,3336.966,-1748.606
6549.80,3340.010,-1748.777
6551.28,3343.010,-1748.810
6552.94,3346.014,-1749.095
6554.83,3349.092,-1748.864
6556.48,3352.103,-1749.149
6558.41,3355.125,-1749.061
6560.02,3358.126,-1749.113
6561.84,3361.141,-1748.924
6563.79,3364.243,-1748.986
6565.40,3367.278,-1748.988
6567.38,3370.309,-1749.405
6569.18,3373.358,-1748.838
6571.22,3376.358,-1748.734
6573.08,3379.388,-1749.060
6575.19,3382.400,-1748.903
6576.88,3385.423,-1748.842
6579.14,3388.429,-1748.784
6580.98,3391.433,-1749.051
6583.33,3394.460,-1748.977
6585.28,3397.507,-1748.895
6587.55,3400.545,-1748.898
6589.62,3403.568,-1748.888
6591.70,3406.574,-1748.906
6594.06,3409.603,-1749.057
6596.25,3412.616,-1748.971
6598.54,3415.619,-1748.856
6600.83,3418.629,-1748.985
6603.09,3421.646,-1748.493
6605.40,3424.671,-1749.148
6607.87,3427.672,-1749.387
6610.19,3430.699,-1748.460
6612.72,3433.703,-1749.014
6615.16,3436.718,-1749.241
6617.67,3439.751,-1748.809
6620.33,3442.775,-1749.218
6622.72,3445.808,-1748.860
6625.16,3448.832,-1748.870
6627.98,3451.833,-1748.943
6630.46,3454.854,-1748.922
6633.28,3457.860,-1749.300
6635.94,3460.863,-1749.040
6638.85,3463.890,-1748.803
6641.45,3466.892,-1748.424
6644.10,3469.902,-1749.197
6646.91,3472.910,-1749.149
6649.78,3475.915,-1748.950
6652.65,3478.935,-1748.872
6655.38,3481.945,-1748.776
6658.53,3484.980,-1748.990
6661.63,3487.998,-1748.676
6664.73,3491.055,-1748.921
6667.65,3494.067,-1748.988
6670.76,3497.073,-1748.769
6674.29,3500.083,-1748.608
6677.06,3503.096,-1749.200
6680.58,3506.112,-1748.802
6683.59,3509.122,-1748.770
6686.75,3512.149,-1748.879
6689.92,3515.151,-1749.000
6693.46,3518.177,-1748.980
6696.77,3521.238,-1749.183
6700.43,3524.320,-1749.120
6703.78,3527.332,-1749.203
6707.08,3530.358,-1749.071
6710.82,3533.372,-1748.725
6714.28,3536.404,-1749.055
6717.76,3539.421,-1749.243
6721.37,3542.434,-1748.980
6725.39,3545.539,-1748.713
6728.69,3548.546,-1748.835
6732.49,3551.610,-1749.465
6736.49,3554.642,-1748.813
6740.21,3557.665,-1748.792
6744.41,3560.713,-1748.938
6748.39,3563.760,-1748.974
6752.12,3566.777,-1748.984
6756.10,3569.788,-1748.973
6760.26,3572.809,-1749.141
6764.35,3575.835,-1749.175
6768.61,3578.877,-1748.913
6772.87,3581.900,-1749.224
6777.19,3584.909,-1749.193
6780.94,3587.920,-1748.886
6785.22,3590.926,-1748.642
6789.48,3593.928,-1749.021
