time [sec],V [mV],I [mA]
49:58.7,3194.154,4.027
49:58.8,3197.245,-304.36
49:58.8,3202.549,-782.245
49:58.8,3207.916,-1225.898
49:58.8,3212.189,-1541.897
49:58.9,3216.042,-1774.82
49:59.1,3219.113,-1746.704
49:59.6,3222.135,-1748.605
50:00.2,3225.142,-1748.6
50:01.0,3228.176,-1748.718
50:01.9,3231.197,-1748.464
50:02.7,3234.22,-1748.39
50:03.6,3237.224,-1748.702
50:04.7,3240.266,-1748.828
50:05.6,3243.283,-1748.616
50:06.7,3246.295,-1748.455
50:07.8,3249.348,-1748.603
50:08.9,3252.352,-1748.523
50:09.9,3255.384,-1748.605
50:11.1,3258.398,-1748.8
50:12.1,3261.403,-1748.817
50:13.3,3264.429,-1748.927
50:14.4,3267.433,-1748.899
50:15.6,3270.476,-1748.373
50:16.9,3273.502,-1749.079
50:18.1,3276.505,-1748.456
50:19.3,3279.551,-1748.32
50:20.7,3282.571,-1748.697
50:22.1,3285.599,-1748.332
50:23.3,3288.599,-1748.199
50:24.7,3291.629,-1748.336
50:26.1,3294.681,-1749.167
50:27.5,3297.688,-1748.874
50:28.8,3300.726,-1749.63
50:30.3,3303.739,-1748.102
50:31.8,3306.801,-1748.534
50:33.1,3309.836,-1748.73
50:34.8,3312.9,-1748.592
50:36.3,3315.93,-1748.573
50:37.7,3318.958,-1748.747
50:39.3,3321.979,-1748.528
50:40.8,3325.004,-1748.399
50:42.6,3328.058,-1748.336
50:44.2,3331.102,-1748.522
50:45.9,3334.109,-1747.53
50:47.4,3337.145,-1747.499
50:49.2,3340.165,-1748.548
50:50.9,3343.175,-1749.886
50:52.7,3346.205,-1748.484
50:54.4,3349.221,-1748.143
50:56.1,3352.246,-1748.024
50:58.1,3355.296,-1747.905
51:00.0,3358.319,-1748.745
51:01.7,3361.325,-1748.732
51:03.7,3364.371,-1748.381
51:05.5,3367.378,-1748.861
51:07.5,3370.402,-1748.716
51:09.5,3373.406,-1748.688
51:11.2,3376.424,-1748.755
51:13.5,3379.424,-1748.404
51:15.4,3382.434,-1748.71
51:17.4,3385.466,-1748.838
51:19.6,3388.468,-1748.895
51:21.6,3391.481,-1748.916
51:23.7,3394.486,-1748.607
51:26.0,3397.501,-1748.634
51:27.9,3400.51,-1748.86
51:30.3,3403.534,-1748.417
51:32.5,3406.541,-1748.433
51:34.9,3409.611,-1748.866
51:37.2,3412.615,-1748.537
51:39.5,3415.673,-1748.395
51:41.9,3418.75,-1748.682
51:44.5,3421.759,-1748.809
51:46.7,3424.78,-1748.682
51:49.3,3427.78,-1748.538
51:51.8,3430.799,-1748.628
51:54.1,3433.804,-1748.561
51:56.9,3436.819,-1748.48
51:59.3,3439.833,-1748.631
52:01.7,3442.889,-1749.028
52:04.7,3445.972,-1749.203
52:07.3,3448.991,-1748.656
52:10.0,3452.009,-1748.587
52:12.8,3455.016,-1749.031
52:15.5,3458.069,-1748.467
52:18.4,3461.102,-1748.862
52:21.0,3464.122,-1748.686
52:24.2,3467.132,-1748.78
52:27.1,3470.137,-1748.821
52:29.9,3473.153,-1748.942
52:32.8,3476.179,-1748.719
52:36.0,3479.202,-1748.508
52:38.9,3482.203,-1748.997
52:41.9,3485.205,-1748.183
52:44.9,3488.218,-1748.856
52:48.0,3491.251,-1748.564
52:51.5,3494.278,-1748.852
52:54.7,3497.28,-1748.383
52:57.9,3500.295,-1748.374
53:01.2,3503.317,-1748.814
53:04.4,3506.325,-1748.861
53:07.6,3509.341,-1749.082
53:11.1,3512.359,-1748.5
53:14.7,3515.37,-1748.767
